material_id,topology_id,q_TJ,G0_nm,G1_nm,T1_C,rho_switch,T2_first_success_C,T2_last_success_C,T_lower_density_C,T_upper_growth_C,window_width_C,first_step_growth_fraction,maximum_second_step_growth_fraction,prep_growth_tolerance,second_step_growth_tolerance,practical_T2_less_T1,tier,rejection_reason
E0142,D0065,1,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.05,0.1,True,Tier_B,
E0142,D0065,1,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.1,0.1,True,Tier_B,
E0142,D0065,1,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.2,0.1,True,Tier_B,
E0142,D0087,1,300,302.93301080737535,1500,0.88,1060,1100,1050,1110,40,0.009776702691250961,0.07464651842166227,0.05,0.1,True,Tier_B,
E0142,D0087,1,300,302.93301080737535,1500,0.88,1060,1100,1050,1110,40,0.009776702691250961,0.07464651842166227,0.1,0.1,True,Tier_B,
E0142,D0087,1,300,302.93301080737535,1500,0.88,1060,1100,1050,1110,40,0.009776702691250961,0.07464651842166227,0.2,0.1,True,Tier_B,
E0142,D0115,0,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.05,0.1,True,Tier_B,
E0142,D0115,0,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.1,0.1,True,Tier_B,
E0142,D0115,0,300,303.86340809979646,1500,0.88,1060,1100,1050,1110,40,0.01287802699932142,0.09546138307439327,0.2,0.1,True,Tier_B,
E0142,D0039,1,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.05,0.1,True,Tier_B,
E0142,D0039,1,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.1,0.1,True,Tier_B,
E0142,D0039,1,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.2,0.1,True,Tier_B,
E0142,D0064,0,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.05,0.1,True,Tier_B,
E0142,D0064,0,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.1,0.1,True,Tier_B,
E0142,D0064,0,300,304.3202614886007,1500,0.88,1060,1090,1050,1100,30,0.014400871628668845,0.07769017040308292,0.2,0.1,True,Tier_B,
