material_id,tier,n_unique_windows,max_width_C,minimum_G1_nm
E0021,Tier_C,8,70.0,352.4738577406806
E0021,reject,7,nan,352.4738577406806
E0142,Tier_B,5,40.0,302.93301080737535
E0142,Tier_C,29,80.0,301.8440361423597
E0142,reject,12,0.0,301.8440361423597
