parameter,value,n_windows,median_width_C,best_tier
TJ_drag_strength,0,105,40.0,Tier_B
TJ_drag_strength,12,12,50.0,Tier_C
TJ_drag_strength,48,15,40.0,Tier_C
TJ_drag_strength,80,14,70.0,Tier_C
TJ_drag_strength,120,17,40.0,Tier_C
pore_drag_strength,0,58,50.0,Tier_C
pore_drag_strength,30,63,40.0,Tier_B
pore_drag_strength,80,42,30.0,Tier_B
XJ_capacity,0.75,80,35.0,Tier_B
XJ_capacity,1.0,64,40.0,Tier_B
XJ_capacity,1.5,19,40.0,Tier_C
lambda_ref,0.1,25,40.0,Tier_B
lambda_ref,0.25,52,30.0,Tier_B
lambda_ref,0.5,38,40.0,Tier_B
lambda_ref,4.5,5,10.0,Tier_C
lambda_ref,30.0,43,40.0,Tier_B
K_ref,1,80,40.0,Tier_B
K_ref,2,21,40.0,Tier_B
K_ref,8,57,40.0,Tier_B
K_ref,12,5,10.0,Tier_C
Q_TJ_event,280000.0,26,30.0,Tier_B
Q_TJ_event,320000.0,21,30.0,Tier_B
Q_TJ_event,340000.0,10,40.0,Tier_C
Q_TJ_event,360000.0,33,40.0,Tier_B
Q_TJ_event,380000.0,17,40.0,Tier_C
Q_TJ_event,460000.0,14,70.0,Tier_C
Q_TJ_event,500000.0,42,40.0,Tier_B
