column,human_readable_label,units,definition,proxy_or_status,appears_in
Chen_window_width_C,Chen Window Width C,degC,Chen Window Width C,measured/model-output/metadata,results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv
Chen_window_width_C_exact,Chen Window Width C Exact,degC,Chen Window Width C Exact,measured/model-output/metadata,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv;results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv
D50_nm,Median pore-diameter proxy,nm,Median pore-diameter proxy,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
D90_nm,90th-percentile pore-diameter proxy,nm,90th-percentile pore-diameter proxy,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/pore_store_histories.csv
G0_nm,Initial mean grain size,nm,Initial mean grain size,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/extended_robustness.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv
G1_nm,Mean grain size after first step,nm,Mean grain size after first step,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv;results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv
G2_nm,Final mean grain size,nm,Final mean grain size,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
G50_nm,Median grain size proxy,nm,Median grain size proxy,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
G90_nm,90th-percentile grain size proxy,nm,90th-percentile grain size proxy,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
G_dot,Grain-growth rate,nm s^-1,Grain-growth rate,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv;results/figure_source_data_package/candidate_693168/fine_T2_scan.csv;results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv
G_dot_nm_s,G Dot Nm S,s,G Dot Nm S,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
G_fast_nm,G Fast Nm,nm,G Fast Nm,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
G_final_nm,G Final Nm,nm,G Final Nm,measured/model-output/metadata,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv;results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv
G_highT_nm,G Hight Nm,nm,G Hight Nm,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv;results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv
G_mean_nm,Mean grain size,nm,Mean grain size,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/dense_time_histories.csv
G_nm,G Nm,nm,G Nm,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv;results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv
G_ref_nm,G Ref Nm,nm,G Ref Nm,measured/model-output/metadata,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv;results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv
G_ref_over_G_fast,G Ref Over G Fast,model-native or categorical; see definition/provenance,G Ref Over G Fast,measured/model-output/metadata,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv
