material_id,peak_T_C,hold_h,fast_rate_C_min,both_paths_attained,numerical_censored,max_ratio,span_ge_1p2,span_ge_1p5,meaningful,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form
M060,1450,8,20,True,False,1.5204232157065958,0.16900000000000015,0.03700000000000003,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M060,1450,8,50,True,False,1.8443124275735903,0.16900000000000015,0.09700000000000009,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M060,1450,8,100,True,False,1.8443110361179698,0.16900000000000015,0.09700000000000009,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M060,1550,20,20,True,False,1.5430476415975827,0.16900000000000015,0.14900000000000013,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M060,1550,20,50,True,False,2.172554079712433,0.16900000000000015,0.16800000000000015,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M060,1550,20,100,True,False,2.2425625905988946,0.16900000000000015,0.16800000000000015,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.0002,balanced,serial_fraction
M065,1450,8,50,True,False,1.7833991312256499,0.16900000000000015,0.07400000000000007,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction
M065,1450,8,100,True,False,1.7833973746480687,0.16900000000000015,0.07400000000000007,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction
M065,1550,20,20,True,False,1.52271335651236,0.16900000000000015,0.13200000000000012,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction
M065,1550,20,50,True,False,2.0873865006409225,0.16900000000000015,0.16800000000000015,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction
M065,1550,20,100,True,False,2.1514087662358827,0.16900000000000015,0.16800000000000015,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.75,0.002,balanced,serial_fraction
M070,1550,20,20,True,False,1.5376188584090442,0.17000000000000015,0.17000000000000015,True,,350000.0,2e-05,650000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.65,0.002,smoothing,serial_fraction
M070,1550,20,50,True,False,2.0298917243356733,0.17000000000000015,0.17000000000000015,True,,350000.0,2e-05,650000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.65,0.002,smoothing,serial_fraction
M070,1550,20,100,True,False,2.059056319330123,0.17000000000000015,0.17000000000000015,True,,350000.0,2e-05,650000.0,0.0002,500000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,10,1.0,0.35,2,0.004,2.2e-08,0.65,1.0000000000000001e-07,0.65,0.002,smoothing,serial_fraction
M185,1450,8,100,True,False,2.2891934698652605,0.10100000000000009,0.030000000000000027,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,isolation,serial_fraction
M185,1550,20,20,True,False,1.5581362289303382,0.16900000000000015,0.09200000000000008,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,isolation,serial_fraction
M185,1550,20,50,True,False,2.0523069170411756,0.16900000000000015,0.1270000000000001,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,isolation,serial_fraction
M185,1550,20,100,True,False,2.8149497348377,0.16900000000000015,0.13800000000000012,True,,350000.0,2e-05,450000.0,0.0002,500000.0,2e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,isolation,serial_fraction
M190,1450,8,50,True,False,1.934342427298579,0.14500000000000013,0.04300000000000004,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,balanced,serial_fraction
M190,1450,8,100,True,False,2.1425864798418917,0.14600000000000013,0.04500000000000004,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,balanced,serial_fraction
M190,1550,20,20,True,False,1.5317874897695298,0.16900000000000015,0.12900000000000011,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,balanced,serial_fraction
M190,1550,20,50,True,False,1.934342427298579,0.16900000000000015,0.16900000000000015,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,balanced,serial_fraction
M190,1550,20,100,True,False,2.6124513272474617,0.16900000000000015,0.16900000000000015,True,,350000.0,2e-05,550000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,0.002,balanced,serial_fraction
M195,1450,8,50,True,False,1.934342435350516,0.14500000000000013,0.04300000000000004,True,,350000.0,2e-05,650000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,2e-05,balanced,serial_fraction
M195,1450,8,100,True,False,2.1425864922776694,0.14600000000000013,0.04500000000000004,True,,350000.0,2e-05,650000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,2e-05,balanced,serial_fraction
M195,1550,20,20,True,False,1.5317879414271875,0.16900000000000015,0.12900000000000011,True,,350000.0,2e-05,650000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,2e-05,balanced,serial_fraction
M195,1550,20,50,True,False,1.934342435350516,0.16900000000000015,0.16900000000000015,True,,350000.0,2e-05,650000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,2e-05,balanced,serial_fraction
M195,1550,20,100,True,False,2.612451357123857,0.16900000000000015,0.16900000000000015,True,,350000.0,2e-05,650000.0,0.0002,500000.0,3e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,1,0.004,2.2e-08,0.65,5.0000000000000004e-08,0.75,2e-05,balanced,serial_fraction
