figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,path_label,stage,physical_time_s,physical_time_h,T_C,rho,phi_open,phi_connected,phi_GBseg,phi_TJ,phi_iso,phi_closed,N_open,N_connected,N_GBseg,N_TJ,N_iso,N_closed,D50_nm,D90_nm,large_pore_fraction,connected_fine_pore_fraction,removable_pore_fraction,closed_fraction,isolated_fraction
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,0.0,0.0,1400.0,0.7,0.2968838985529751,0.2048970689075034,0.1742347923590129,0.0306622765484905,0.0919868296454716,0.003116101447025,0.2968838985529751,0.2048970689075034,0.1742347923590129,0.0306622765484905,0.0919868296454716,0.003116101447025,,,0.0,0.5807826411967095,0.5807826411967095,0.0103870048234166,0.3066227654849052
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,12.105720747451688,0.0033627002076254,1400.0,0.702,0.2761289026054689,0.2025804343462531,0.1716743810756095,0.0309060532706436,0.0735484682592158,0.021871097394531,0.2767970827188782,0.2032486144596861,0.1723425611890899,0.0309060532705961,0.0735484682591921,0.0219747085621271,,,0.0007396796072796,0.5760885270993609,0.5760885270993609,0.0733929442769499,0.2468069404671671
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,21.47431934746904,0.0059650887076302,1400.0,0.704,0.2610883242574706,0.1991972878393467,0.1671704421440565,0.0320268456952902,0.0618910364181238,0.0349116757425295,0.2648285417796158,0.2029375053615165,0.1709106596662754,0.032026845695241,0.0618910364180993,0.0355809236013467,,,0.0041644840401706,0.5647650072434339,0.5647650072434339,0.1179448504815185,0.2090913392504184
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,29.67402074162699,0.0082427835393408,1400.0,0.706,0.2491507857189363,0.1962193374918825,0.1631695196159614,0.0330498178759211,0.0529314482270537,0.0448492142810637,0.2556949201287238,0.2027634719016947,0.1697136540258227,0.0330498178758719,0.0529314482270291,0.0463200457932662,,,0.0073107137076844,0.5549983660406851,0.5549983660406851,0.1525483478947745,0.1800389395478018
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,37.15580961419013,0.0103210582261639,1400.0,0.708,0.2391882376656854,0.1935850139662484,0.1596240832798481,0.0339609306864002,0.0456032236994371,0.0528117623343145,0.2482296878815333,0.2026264641821208,0.1686655334957698,0.033960930686351,0.0456032236994125,0.0552337354082381,,,0.0101321254452355,0.5466578194515348,0.5466578194515348,0.1808621997750499,0.1561754236282092
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,44.13894822589149,0.0122608189516365,1400.0,0.71,0.2305998815140644,0.1911936774148796,0.1564008358620018,0.0347928415528778,0.0394062040991847,0.0594001184859356,0.2419215588677521,0.2025153547685919,0.1677225132157633,0.0347928415528285,0.0394062040991601,0.0628788063563067,,,0.0127260593897935,0.5393132271103509,0.5393132271103509,0.2048279947790884,0.1358834624109819
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,50.75162361604136,0.0140976732266781,1400.0,0.712,0.223036890505673,0.188986356209877,0.1534216449577128,0.0355647112521642,0.0340505342957959,0.064963109494327,0.2364742250843244,0.2024236907885531,0.1668589795364381,0.0355647112521149,0.0340505342957713,0.0695783556726364,,,0.0151495102408885,0.5327140449920583,0.5327140449920583,0.2255663524108578,0.1182310218604024
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,57.07682176192841,0.0158546727116467,1400.0,0.714,0.2162749689699559,0.1869248445073065,0.1506358832809139,0.0362889612263926,0.0293501244626494,0.0697250310300441,0.2316974374281634,0.2023473129655386,0.1660583517391952,0.0362889612263433,0.0293501244626248,0.075540023693282,,,0.0174393625411702,0.526698892590608,0.526698892590608,0.243793814790364,0.1026228128064664
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,63.17207105182234,0.017547797514395,1400.0,0.716,0.2101596688277198,0.1849826529253348,0.1480084439311075,0.0369742089942272,0.0251770159023849,0.0738403311722802,0.227460368018718,0.2022833521163577,0.1653091431221797,0.036974208994178,0.0251770159023603,0.080906720462001,,,0.019621169649414,0.5211564927151673,0.5211564927151673,0.2600011660995784,0.0886514644450174
Candidate 693168,pore_store,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",highT_reference,single_step,69.0792757186156,0.0191886876996154,1400.0,0.718,0.2045792456055215,0.1831404951210243,0.1455137625178997,0.0376267326031245,0.0214387504844971,0.0774207543944786,0.2236684802046324,0.2022297297201598,0.1646029971170845,0.0376267326030753,0.0214387504844725,0.0857817967977505,,,0.0217135277097986,0.5160062500634742,0.5160062500634742,0.274541682249924,0.0760239378882877
