figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,T1_C,T2_C,rho_switch,G0_nm,G1_nm,first_step_growth_fraction,rho2,G2_nm,growth_fraction,target_density,target_attained,classification,lower_boundary_flag,upper_boundary_flag,success_band_flag,practical_T2_less_than_T1,window_width_C,closed_fraction,phi_closed,phi_open,phi_connected,phi_iso,closed_accommodation_capacity,closed_accommodation_used,closed_accommodation_factor,open_shrinkage_flux,closed_shrinkage_flux,open_shrinkage_contribution,closed_shrinkage_contribution,PR_damage_memory,H_PR,H_dens,w_PR,w_dens,migration_factor,G_dot,rho_dot
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,800.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9010942418698464,117.0668452284628,6.81180612138732e-07,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8963164088494042,0.9860007063339032,,,1.873205143545506e-07,0.021099734264416,0.9537694315691644,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,805.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9043632893237316,117.06686875669054,8.821618866505787e-07,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.893823572893526,0.983258440333858,,,2.4250865441537914e-07,0.0243696769932895,0.956786832060914,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,810.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9081118302444524,117.06689887319308,1.1394210874815514e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.890741387272975,0.979867855079688,,,3.138911335701205e-07,0.0281192628806313,0.9603822562462444,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,815.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9124087727377852,117.06693731377032,1.4677856501332798e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8868767566688796,0.9756165343767128,,,4.0640871008162505e-07,0.0324174303579096,0.9646860543195744,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,820.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9173341655667676,117.06698623641742,1.8856894583585415e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8819435196625709,0.9701896838530488,,,5.2670988308624e-07,0.0373442686553411,0.969869636024264,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,825.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9229822894981924,117.06704831094083,2.4159383567035064e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8754971436397647,0.9630982915176792,,,6.839153830542903e-07,0.0429941160366316,0.9761653781733924,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,830.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9294670054976856,117.06712682099332,3.086581746636341e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8668027992977958,0.9535340019680812,,,8.908837469601567e-07,0.0494809236772459,0.9839011075542744,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,835.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9369329339042825,117.06722577483448,3.931858719719017e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8545340757161597,0.9400376852680028,,,1.1664795377572383e-06,0.0569494786873426,0.9935648797496028,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,840.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.9455864639668984,117.0673505336066,4.997564871045412e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8359331904600403,0.919575618725549,,,1.5401240856572346e-06,0.0656065825942614,1.0,,,,,,,
Candidate 693168,fine_T2,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete fine scan including failures.,1400.0,845.0,0.8800000102226334,102.95481792457316,117.06676548485184,0.1370693265721414,0.955839252754784,117.06750840454367,6.346119573619191e-06,0.98,False,DENSIFICATION_EXHAUSTION_FAILURE,False,False,False,True,270.0,,,,,,,0.8032198395250252,0.8835890108602754,,,2.062779023806992e-06,0.0758658207254071,1.0,,,,,,,
