figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,path_label,stage,physical_time_s,physical_time_h,T_C,rho,phi_closed,closed_fraction,closed_accommodation_capacity,closed_accommodation_available,closed_accommodation_used,closed_accommodation_factor,closed_shrinkage_flux,open_shrinkage_flux
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1150761.2520409068,319.65590334469636,900.0,0.9692321049064044,3.852067238540609e-06,0.0001251976200134,0.9090423597991542,0.8847648093051903,0.0242775504939638,0.9732932682044346,4.34356556867133e-07,2.164031595502705e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1151661.2520409068,319.90590334469636,900.0,0.9692398274135918,2.2332366457159515e-06,7.260156422863295e-05,0.9090423597991542,0.8847310182957617,0.0243113415033924,0.9732560961089164,2.4828537275568034e-07,2.163735885617559e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1152561.2520409068,320.15590334469636,900.0,0.9692443127262657,3.84993469300256e-06,0.0001251779763117,0.9090423597991542,0.8848020581386769,0.0242403016604773,0.9733342441095562,4.344362871827443e-07,2.1632126656656237e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1153461.2520409068,320.40590334469636,900.0,0.9692520309639796,2.232011171206136e-06,7.259052357544024e-05,0.9090423597991542,0.884767974350344,0.0242743854488101,0.9732967499400432,2.483305202424643e-07,2.1629169791610097e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1154361.2520409068,320.65590334469636,900.0,0.9692565138200224,3.847808019731042e-06,0.0001251584806357,0.9090423597991542,0.8848387070077677,0.0242036527913864,0.9733745600185958,4.345156389727919e-07,2.1623939056848477e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1155261.2520409068,320.90590334469636,900.0,0.9692642277999884,2.230789013299057e-06,7.257956620651333e-05,0.9090423597991542,0.8848043354911825,0.0242380243079716,0.9733367493311018,2.4837545961619725e-07,2.162098243242796e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1156161.2520409068,321.15590334469636,900.0,0.9692687082060226,3.845687177386927e-06,0.000125139131904,0.9090423597991542,0.8848747660968215,0.0241675937023326,0.9734142271349464,4.345946177252982e-07,2.1615753166002395e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1157061.2520409068,321.40590334469636,900.0,0.9692764179398832,2.2295701486987547e-06,7.256869151312373e-05,0.9090423597991542,0.8848401118140534,0.0242022479851007,0.9733761053880392,2.4842019388588345e-07,2.1612796788972328e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1157961.2520409068,321.65590334469636,900.0,0.9692808959024856,3.843572124947128e-06,0.000125119929043,0.9090423597991542,0.8849102454128865,0.0241321143862676,0.973453256466949,4.346732288396775e-07,2.1607568994428127e-11
Candidate 693168,closed_accommodation,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Named model diagnostics; work channels are model proxies, not absolute energies.",lower_failure,second_step,1158861.2520409068,321.90590334469636,900.0,0.9692886014018016,2.228354554287436e-06,7.25578988909401e-05,0.9090423597991542,0.884875313238987,0.0241670465601671,0.973414829023472,2.48464726011998e-07,2.160461287149827e-11
