figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,rho0,G0_nm,high_density_attainment,median_reduction,span20,window_width_C,complete,first_step_growth,closed_fraction_at_switch,classification
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,50.0,True,0.6772561873147915,0.0299999999999966,440.0,False,6.962026912094364,0.9986993594564982,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,75.0,True,0.6727685633995085,0.0299999999999966,440.0,False,4.391906318431307,0.9986244396798386,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,100.0,True,0.6669794680945912,0.0299999999999966,440.0,False,3.1254473657481574,0.998577957874643,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,150.0,True,0.6523997863275904,0.0299999999999966,440.0,False,1.8889599510215789,0.998531717402482,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,225.0,True,0.6253781455410508,0.0299999999999966,440.0,False,1.1025954407152576,0.9985046250503742,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.6,300.0,True,0.5946445693135375,0.0299999999999966,440.0,False,0.734692787284627,0.9984915397585766,outside_joint_criteria
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.65,50.0,True,0.941725149610142,0.0299999999999966,280.0,True,0.6290146884424574,0.7823516937259333,Tier_B_like
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.65,75.0,True,0.9284899196075728,0.0299999999999966,300.0,True,0.3416444068711408,0.7819810169694531,Tier_B_like
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.65,100.0,True,0.9137946622483448,0.0299999999999966,320.0,True,0.2193346452448894,0.781720497421793,Tier_B_like
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.65,150.0,True,0.8822140614255135,0.0299999999999966,340.0,True,0.1200281128683753,0.7814410249830577,Tier_B_like
Candidate 693168,robustness,693168,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Existing bounded cases only.,0.65,225.0,True,0.8330130149899073,0.0299999999999966,360.0,True,0.0712964308356758,0.7812769221340187,Tier_B_like
