run_id,family,peak_C,rate_C_min,hold_h,rho,G_nm,D10_nm,D50_nm,D90_nm,D90_over_D50,sigma_ln_r,pore_surface_area_proxy,large_pore_tail_fraction,connected_fine_pore_fraction,useful_closed_inventory,Zener_pinning_metric_minv,phi_open,phi_precursor,phi_isolated,phi_closed,M0,M1,M2,M3,M4
lognormal:1300:0.2:0,lognormal,1300,0.2,0,0.996487167207553,1848.7038998761852,84.70795391808441,97.3187796862938,109.92960545450319,1.1295826541276028,0.08370401007754752,186153.572088412,0.002313310025112623,0.0,1.342964417728598e-06,4.231183665862923,1.6924734663451689e-06,4.17211793273305e-06,2.2616802035747544e-06,0.0035047065208442937,4.637849116827659e+18,262077073669.23666,14813.630586042123,0.0008386270547598564,4.790832762528038e-11
lognormal:1300:0.2:1,lognormal,1300,0.2,1,0.9990986867408981,2041.652287968744,84.72789184903749,97.41846934105928,110.10904683308104,1.130268701385488,0.16000134556070364,47517.634462474976,0.008583098296027976,0.0,5.506710190343226e-07,3.4310156998905725,1.372406279956229e-06,4.113506657717418e-06,2.2501473941578565e-06,0.0008935771987700823,1.1825410983100562e+18,66835251927.82977,3781.333204368345,0.00021517269069050373,1.2650097980791504e-11
lognormal:1300:0.2:2,lognormal,1300,0.2,2,0.9990986867408981,2041.652287968744,84.72789184903749,97.41846934105928,110.10904683308104,1.130268701385488,0.16000134556070364,47517.634462474976,0.008583098296027976,0.0,5.506710190343226e-07,3.4310156998905725,1.372406279956229e-06,4.113506657717418e-06,2.2501473941578565e-06,0.0008935771987700823,1.1825410983100562e+18,66835251927.82977,3781.333204368345,0.00021517269069050373,1.2650097980791504e-11
lognormal:1300:0.2:8,lognormal,1300,0.2,8,0.9990986867408981,2041.652287968744,84.72789184903749,97.41846934105928,110.10904683308104,1.130268701385488,0.16000134556070364,47517.634462474976,0.008583098296027976,0.0,5.506710190343226e-07,3.4310156998905725,1.372406279956229e-06,4.113506657717418e-06,2.2501473941578565e-06,0.0008935771987700823,1.1825410983100562e+18,66835251927.82977,3781.333204368345,0.00021517269069050373,1.2650097980791504e-11
lognormal:1300:0.2:20,lognormal,1300,0.2,20,0.9990986867408981,2041.652287968744,84.72789184903749,97.41846934105928,110.10904683308104,1.130268701385488,0.16000134556070364,47517.634462474976,0.008583098296027976,0.0,5.506710190343226e-07,3.4310156998905725,1.372406279956229e-06,4.113506657717418e-06,2.2501473941578565e-06,0.0008935771987700823,1.1825410983100562e+18,66835251927.82977,3781.333204368345,0.00021517269069050373,1.2650097980791504e-11
lognormal:1300:1:0,lognormal,1300,1.0,0,0.9316550391353664,826.9431001419516,65.28708520876624,89.44352792302207,109.49815002121272,1.2242154638114262,0.2009086474165838,4079732.8222411103,0.003624819026694527,0.0,2.676373613515392e-05,381.85441469959346,0.00015274176587983738,4.0032112018125406e-05,9.044031884182865e-05,0.06806174666789384,1.4173096016075805e+20,6676988868939.51,324654.8225769607,0.016316157535542872,8.569051617365783e-10
lognormal:1300:1:1,lognormal,1300,1.0,1,0.970318873150235,1222.8236740094474,84.7203472533846,97.38089570418242,110.04144415498025,1.1300105976562103,0.13844669082940647,1568032.7562116226,0.006145822242632205,0.0,6.788374637483474e-06,309.6411327444109,0.00012385645309776437,2.8315409221130227e-05,3.3184955122206856e-05,0.029495770032323846,3.903739598292025e+19,2206272047360.2974,124780.08204054431,0.007085847082016502,4.1267900338801553e-10
lognormal:1300:1:2,lognormal,1300,1.0,2,0.9856665883955221,1505.816786880173,84.73573686766274,97.45770267108104,110.17966847449934,1.1305383305243182,0.18747486043831296,754144.6276971834,0.011005597804335344,0.0,3.2624232629947417e-06,251.08425378043341,0.00010043370151217336,3.0606751514508716e-05,2.7070401587999708e-05,0.014175300749863203,1.876048947184135e+19,1060397399868.0245,60012.92265210192,0.003421849962335086,2.0424348549167791e-10
lognormal:1300:1:8,lognormal,1300,1.0,8,0.9990806198196446,2128.0873338529227,85.14982199743298,99.65487635123868,468.86074518825245,4.7048449845618086,0.6015723180464383,43572.714801266724,0.13041631842451007,0.0,5.180061713347238e-07,133.87578430966605,5.355031372386641e-05,3.85370700194539e-05,2.7816145900320406e-05,0.0007994766507118127,1.0598603822284087e+18,60096067866.94744,3467.4064722774965,0.00021948585042643303,2.0515985902955487e-11
lognormal:1300:1:20,lognormal,1300,1.0,20,0.9990806198196446,2128.0873338529227,85.14982199743298,99.65487635123868,468.86074518825245,4.7048449845618086,0.6015723180464383,43572.714801266724,0.13041631842451007,0.0,5.180061713347238e-07,133.87578430966605,5.355031372386641e-05,3.85370700194539e-05,2.7816145900320406e-05,0.0007994766507118127,1.0598603822284087e+18,60096067866.94744,3467.4064722774965,0.00021948585042643303,2.0515985902955487e-11
