family,D50_input_nm,sigma_ln_input,tail_weight,bin,radius_nm,phi_open,provenance
lognormal,10.0,0.3,0.0,0,3.0,0.004401154731781904,synthetic_forward_state
lognormal,10.0,0.3,0.0,1,4.157036494298019,0.0412945032066222,synthetic_forward_state
lognormal,10.0,0.3,0.0,2,5.760317471641877,0.11879145381583908,synthetic_forward_state
lognormal,10.0,0.3,0.0,3,7.981949982785926,0.10477206230726002,synthetic_forward_state
lognormal,10.0,0.3,0.0,4,11.060419124700841,0.02833173239381334,synthetic_forward_state
lognormal,10.0,0.3,0.0,5,15.326188647871078,0.002348919389787613,synthetic_forward_state
lognormal,10.0,0.3,0.0,6,21.237175175898688,5.970771321649803e-05,synthetic_forward_state
lognormal,10.0,0.3,0.0,7,29.42790408067032,4.6532898668365773e-07,synthetic_forward_state
lognormal,10.0,0.3,0.0,8,40.777623738016025,1.1118779530189212e-09,synthetic_forward_state
lognormal,10.0,0.3,0.0,9,56.50469000989538,8.145569889109159e-13,synthetic_forward_state
lognormal,10.0,0.3,0.0,10,78.29735282337724,1.8295874521456462e-16,synthetic_forward_state
lognormal,10.0,0.3,0.0,11,108.49498436456926,1.2599468215394787e-20,synthetic_forward_state
lognormal,10.0,0.3,0.0,12,150.33920315060243,2.660226410905468e-25,synthetic_forward_state
lognormal,10.0,0.3,0.0,13,208.3218513402464,1.722076062035028e-30,synthetic_forward_state
lognormal,10.0,0.3,0.0,14,288.66717952704414,3.417853174189427e-36,synthetic_forward_state
lognormal,10.0,0.3,0.0,15,400.0,2.0798011685316088e-42,synthetic_forward_state
lognormal,10.0,0.45,0.0,0,3.0,0.0039624127818290245,synthetic_forward_state
lognormal,10.0,0.45,0.0,1,4.157036494298019,0.018459024013973476,synthetic_forward_state
lognormal,10.0,0.45,0.0,2,5.760317471641877,0.05084701492109596,synthetic_forward_state
lognormal,10.0,0.45,0.0,3,7.981949982785926,0.08281898374927844,synthetic_forward_state
lognormal,10.0,0.45,0.0,4,11.060419124700841,0.07976310293038505,synthetic_forward_state
lognormal,10.0,0.45,0.0,5,15.326188647871078,0.045423635691646154,synthetic_forward_state
lognormal,10.0,0.45,0.0,6,21.237175175898688,0.015295703336999849,synthetic_forward_state
lognormal,10.0,0.45,0.0,7,29.42790408067032,0.0030455428879542635,synthetic_forward_state
lognormal,10.0,0.45,0.0,8,40.777623738016025,0.0003585648353252912,synthetic_forward_state
lognormal,10.0,0.45,0.0,9,56.50469000989538,2.4961942591157098e-05,synthetic_forward_state
lognormal,10.0,0.45,0.0,10,78.29735282337724,1.0275353517825472e-06,synthetic_forward_state
lognormal,10.0,0.45,0.0,11,108.49498436456926,2.5010528736875134e-08,synthetic_forward_state
lognormal,10.0,0.45,0.0,12,150.33920315060243,3.599620212810465e-10,synthetic_forward_state
lognormal,10.0,0.45,0.0,13,208.3218513402464,3.0633611393943234e-12,synthetic_forward_state
lognormal,10.0,0.45,0.0,14,288.66717952704414,1.5415138244432884e-14,synthetic_forward_state
lognormal,10.0,0.45,0.0,15,400.0,4.5867424752455197e-17,synthetic_forward_state
lognormal,10.0,0.65,0.0,0,3.0,0.0014248826065823659,synthetic_forward_state
lognormal,10.0,0.65,0.0,1,4.157036494298019,0.004958604987386633,synthetic_forward_state
lognormal,10.0,0.65,0.0,2,5.760317471641877,0.013414351145303255,synthetic_forward_state
lognormal,10.0,0.65,0.0,3,7.981949982785926,0.028210420406569518,synthetic_forward_state
lognormal,10.0,0.65,0.0,4,11.060419124700841,0.04611892502985112,synthetic_forward_state
lognormal,10.0,0.65,0.0,5,15.326188647871078,0.058610917984128555,synthetic_forward_state
lognormal,10.0,0.65,0.0,6,21.237175175898688,0.0579038713741779,synthetic_forward_state
lognormal,10.0,0.65,0.0,7,29.42790408067032,0.04446992618020504,synthetic_forward_state
lognormal,10.0,0.65,0.0,8,40.777623738016025,0.026549414379497423,synthetic_forward_state
lognormal,10.0,0.65,0.0,9,56.50469000989538,0.012321773274797459,synthetic_forward_state
lognormal,10.0,0.65,0.0,10,78.29735282337724,0.004445506101882931,synthetic_forward_state
lognormal,10.0,0.65,0.0,11,108.49498436456926,0.001246806156240169,synthetic_forward_state
lognormal,10.0,0.65,0.0,12,150.33920315060243,0.00027183563958969295,synthetic_forward_state
lognormal,10.0,0.65,0.0,13,208.3218513402464,4.6072691349216626e-05,synthetic_forward_state
lognormal,10.0,0.65,0.0,14,288.66717952704414,6.070304818347897e-06,synthetic_forward_state
lognormal,10.0,0.65,0.0,15,400.0,6.217376204194082e-07,synthetic_forward_state
lognormal,10.0,0.85,0.0,0,3.0,0.0003216183347038242,synthetic_forward_state
lognormal,10.0,0.85,0.0,1,4.157036494298019,0.0010011727974258632,synthetic_forward_state
lognormal,10.0,0.85,0.0,2,5.760317471641877,0.0026898017635965097,synthetic_forward_state
lognormal,10.0,0.85,0.0,3,7.981949982785926,0.006236982103227204,synthetic_forward_state
lognormal,10.0,0.85,0.0,4,11.060419124700841,0.012481641731597786,synthetic_forward_state
