ablation,source_state,T2_C,final_rho,final_G_nm,growth_fraction,classification,density_gain,closed_density_gain,PR_memory,rho,G_nm,D10_nm,D50_nm,D90_nm,D90_over_D50,sigma_ln_r,pore_surface_area_proxy,large_pore_tail_fraction,connected_fine_pore_fraction,useful_closed_inventory,Zener_pinning_metric_minv,phi_open,phi_precursor,phi_isolated,phi_closed,M0,M1,M2,M3,M4
baseline,high_useful_closed,850,0.9823572058518449,67.16211820545197,0.033263357006953514,SUCCESS,0.162357205851845,0.16235720580286675,0.9852824435803615,0.9823572058518449,67.16211820545197,62.571102737089525,88.55507805672673,120.96528916394412,1.3659893008784432,0.2521684218591046,1067197.954868334,0.005899101550104426,0.0,0.0018751466313961902,0.000924503068614114,3.698012274456456e-10,5.176143966337174e-06,1.7371845262035993e-05,0.017620245789125504,4.13952046558485e+19,1819559293563.4146,84924.91488742843,0.004211906847947475,2.2280829259796548e-10
no_regularization,high_useful_closed,850,0.9823669617103614,67.16211820545197,0.033263357006953514,SUCCESS,0.16236696171036147,0.16236696166138423,0.9852824443545186,0.9823669617103614,67.16211820545197,62.53182363286853,88.42646973402074,120.48165309018364,1.362506650469957,0.2518915719531274,1067951.4822172502,0.005773900444457738,0.0,0.001880227379700545,0.0009244289706555541,3.6977158826222165e-10,5.173521801249616e-06,1.737469170246325e-05,0.017610489706363284,4.151043582110185e+19,1822869403508.4072,84984.87868859584,0.004209577808286961,2.223747322775457e-10
no_damaging_coarsening,high_useful_closed,850,0.9823521853443108,67.16211820545197,0.033263357006953514,SUCCESS,0.16235218534431084,0.16235218529589285,0.9852824440779581,0.9823521853443108,67.16211820545197,62.57604199629147,88.53155107418085,120.75801848566846,1.3640111013584857,0.25166371420356287,1067719.9204209226,0.005798529747102501,0.0,0.0018758241427355945,0.0008854188848958213,3.541675539583285e-10,4.916993898650189e-06,1.7098482911508814e-05,0.01762579882471153,4.1409903850295304e+19,1820481919952.365,84966.45158633748,0.004213105405833807,2.2276492473216143e-10
no_PR_pinch_off,high_useful_closed,850,0.948387334270615,67.16211820545197,0.033263357006953514,SUCCESS,0.128387334270615,0.12838623299380444,0.0,0.948387334270615,67.16211820545197,81.6863814600486,656.341453609848,771.2682907219696,1.1751022070601045,0.8796502303747189,1022819.8622691676,0.0,0.0,0.0013067212644991145,99997.24680797372,0.039998898723189485,5.5225085011412914e-11,5.02461618374189e-08,0.011613716704808642,2.8894795871029146e+19,1313991844123.0012,81393.4184863548,0.01232161631547194,3.960082604501546e-09
no_precursor_to_closed,high_useful_closed,850,0.9366345856779528,67.16211820545197,0.033263357006953514,SUCCESS,0.11663458567795282,0.11663458562868696,0.9852824335932091,0.9366345856779528,67.16211820545197,16.675403052064176,38.61552274457159,93.56439515223889,2.4229736774803023,0.6442844923000371,10318525.301149385,0.2937803675424631,0.0,0.0012486207499793052,0.0009475095706836355,3.7900382827345417e-10,0.029999999785865216,0.021999999871519113,0.011365414285659077,7.625783511003521e+21,66514285682618.875,821122.1535483561,0.015127378365629697,4.187816125514989e-10
no_closed_shrinkage,high_useful_closed,850,0.8200000000492252,67.16211820545197,0.033263357006953514,DENSIFICATION_EXHAUSTION_FAILURE,4.9225290510435116e-11,0.0,0.9852824374872307,0.8200000000492252,67.16211820545197,14.231007757822443,29.051764848900532,58.16186913437443,2.002008120225287,0.5508888526336118,36851211.20549153,0.23758702153241407,0.0,1.5411418411021311,0.0009443035802623947,3.7772143210495786e-10,4.521571105950353e-05,5.8361740815725366e-05,0.1798964221211781,3.2672422468687506e+22,268841144256642.6,2932526.2111387113,0.04297183462306009,8.551669997799146e-10
no_accommodation_recovery,high_useful_closed,850,0.982357184680063,67.16211820545197,0.033263357006953514,SUCCESS,0.162357184680063,0.16235718463108506,0.9852824435803464,0.982357184680063,67.16211820545197,62.570978296958515,88.55501931895799,120.96605465622626,1.3659988511834662,0.2521707317425814,1067200.2486825292,0.005899466988001146,0.0,0.0018751419024402526,0.0009245031066858159,3.6980124267432636e-10,5.17614403226692e-06,1.7371846328755904e-05,0.01762026695977479,4.139551692895064e+19,1819567050545.7925,84925.09742336225,0.004211911902338101,2.2280860741204628e-10
infinite_accommodation,high_useful_closed,850,0.985260066688423,67.16211820545197,0.033263357006953514,SUCCESS,0.16526006668842308,0.1652600666394355,0.9852824435819645,0.985260066688423,67.16211820545197,66.89873479501838,96.15525367123104,137.7264137998843,1.432333736758588,0.250252768573041,816695.7160110135,0.013726011818038997,0.0,0.00173382510791527,0.0009252331356623263,3.7009325426493053e-10,5.21822084892602e-06,1.7274072965734316e-05,0.014717440647669057,2.6491119524191064e+19,1274068826696.9302,64990.580102563785,0.003518899871073548,2.0301927022216106e-10
no_gas_pressure,high_useful_closed,850,0.9847162961639032,67.16211820545197,0.033263357006953514,SUCCESS,0.16471629616390326,0.16471629611491717,0.9852824435744667,0.9847162961639032,67.16211820545197,65.78479024770678,94.69611828322861,135.301270706766,1.428794264851391,0.2516445914096528,862469.9180492416,0.011838251439231106,0.0,0.0013191659753682683,0.000925124359415108,3.7004974376604317e-10,5.20940025486729e-06,1.7292006078088902e-05,0.015261202059714114,2.908300730448947e+19,1371337517098.1816,68633.17536279933,0.0036487155214010563,2.0683631418075867e-10
high_gas_pressure,high_useful_closed,850,0.8200000000492252,67.16211820545197,0.033263357006953514,DENSIFICATION_EXHAUSTION_FAILURE,4.9225290510435116e-11,0.0,0.9852824374872307,0.8200000000492252,67.16211820545197,14.231007757822443,29.051764848900532,58.16186913437443,2.002008120225287,0.5508888526336118,36851211.20549153,0.23758702153241407,0.0,1.5411418411021311,0.0009443035802623947,3.7772143210495786e-10,4.521571105950353e-05,5.8361740815725366e-05,0.1798964221211781,3.2672422468687506e+22,268841144256642.6,2932526.2111387113,0.04297183462306009,8.551669997799146e-10
no_distributional_Zener,high_useful_closed,850,0.9823572058518449,67.16211820545197,0.033263357006953514,SUCCESS,0.162357205851845,0.16235720580286675,0.9852824435803615,0.9823572058518449,67.16211820545197,62.571102737089525,88.55507805672673,120.96528916394412,1.3659893008784432,0.2521684218591046,1067197.954868334,0.005899101550104426,0.0,0.0018751466313961902,0.000924503068614114,3.698012274456456e-10,5.176143966337174e-06,1.7371845262035993e-05,0.017620245789125504,4.13952046558485e+19,1819559293563.4146,84924.91488742843,0.004211906847947475,2.2280829259796548e-10
mean_radius_Zener_only,high_useful_closed,850,0.9823572058518449,67.16211820545197,0.033263357006953514,SUCCESS,0.162357205851845,0.16235720580286675,0.9852824435803615,0.9823572058518449,67.16211820545197,62.571102737089525,88.55507805672673,120.96528916394412,1.3659893008784432,0.2521684218591046,1067197.954868334,0.005899101550104426,0.0,0.0018751466313961902,0.000924503068614114,3.698012274456456e-10,5.176143966337174e-06,1.7371845262035993e-05,0.017620245789125504,4.13952046558485e+19,1819559293563.4146,84924.91488742843,0.004211906847947475,2.2280829259796548e-10
no_energy_ledger_coupling,high_useful_closed,850,0.9484126040563762,67.16211820545197,0.033263357006953514,SUCCESS,0.12841260405637622,0.1283862327560852,0.0,0.9484126040563762,67.16211820545197,14.920483569026747,33.49121650849683,91.61718409174969,2.735558562601216,0.6698141014917678,9352619.787002623,0.26830777343535916,0.8071699439027405,0.0013067212870235669,2876597.2157187695,0.039973628699709066,5.521146266249014e-11,5.023993568632939e-08,0.011613716948767602,8.01518813795877e+21,66194557380425.836,744257.8349802685,0.012315583598499782,3.1532153084437433e-10
strict_GB_area_only_power_balance_diagnostic,high_useful_closed,850,0.9484126040563762,67.16211820545197,0.033263357006953514,SUCCESS,0.12841260405637622,0.1283862327560852,0.0,0.9484126040563762,67.16211820545197,14.920483569026747,33.49121650849683,91.61718409174969,2.735558562601216,0.6698141014917678,9352619.787002623,0.26830777343535916,0.8071699439027405,0.0013067212870235669,2876597.2157187695,0.039973628699709066,5.521146266249014e-11,5.023993568632939e-08,0.011613716948767602,8.01518813795877e+21,66194557380425.836,744257.8349802685,0.012315583598499782,3.1532153084437433e-10
