family,peak_C,hold_h,rho_target,both_attain,G_reference_over_G_fast,D50_difference_nm,D90_difference_nm,large_tail_difference,connected_fine_difference,useful_closed_difference,Zener_difference,density_span_ratio_above_1p2,density_span_ratio_above_1p5,density_span_ratio_above_2p0
bimodal,1300,0,0.75,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.8,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.85,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.88,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.9,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.92,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,0,0.95,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,1,0.75,True,0.06867798661135831,0.07909493413752955,-0.3482746097167535,0.026432561520510114,-1.3080352830687286e-238,-0.011689063180029368,-84657.04190100772,0.0,0.0,0.0
bimodal,1300,1,0.8,True,0.11647296664617224,5.1299359814699415,-2.0483898627720976,0.0067412304155558544,-1.3080352830687286e-238,-0.012404552061327038,-85254.9775863203,0.0,0.0,0.0
bimodal,1300,1,0.85,True,0.23629363661719185,-15.251303221781882,-23.046933471217045,-0.08399111404792198,0.0,6.3981360156020105e-06,-60724.83248486685,0.0,0.0,0.0
bimodal,1300,1,0.88,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,1,0.9,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,1,0.92,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,1,0.95,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,2,0.75,True,0.06867798661135831,0.07909493413752955,-0.3482746097167535,0.026432561520510114,-1.3080352830687286e-238,-0.011689063180029368,-84657.04190100772,0.0,0.0,0.0
bimodal,1300,2,0.8,True,0.11647296664617224,5.1299359814699415,-2.0483898627720976,0.0067412304155558544,-1.3080352830687286e-238,-0.012404552061327038,-85254.9775863203,0.0,0.0,0.0
bimodal,1300,2,0.85,True,0.22841367731551726,-18.044527626735658,-61.93514063312176,-0.08484895102610163,-5.262130855885681e-213,7.934331595068722e-06,-27527.438807592116,0.0,0.0,0.0
bimodal,1300,2,0.88,True,0.32435984228720294,-7.454022027010822,-63.71323442402553,-0.08998778735264203,-5.262130855885681e-213,1.8483104268828363e-06,-27682.647896087947,0.0,0.0,0.0
bimodal,1300,2,0.9,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,2,0.92,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,2,0.95,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,8,0.75,True,0.06867798661135831,0.07909493413752955,-0.3482746097167535,0.026432561520510114,-1.3080352830687286e-238,-0.011689063180029368,-84657.04190100772,0.0,0.0,0.0
bimodal,1300,8,0.8,True,0.11647296664617224,5.1299359814699415,-2.0483898627720976,0.0067412304155558544,-1.3080352830687286e-238,-0.012404552061327038,-85254.9775863203,0.0,0.0,0.0
bimodal,1300,8,0.85,True,0.22841367731551726,-18.044527626735658,-61.93514063312176,-0.08484895102610163,-5.262130855885681e-213,7.934331595068722e-06,-27527.438807592116,0.0,0.0,0.0
bimodal,1300,8,0.88,True,0.32435984228720294,-7.454022027010822,-63.71323442402553,-0.08998778735264203,-5.262130855885681e-213,1.8483104268828363e-06,-27682.647896087947,0.0,0.0,0.0
bimodal,1300,8,0.9,True,0.47693589878274095,-5.97858026123815,-89.65022479931784,-0.1011062621833415,0.0,1.3265137348830954e-07,-13683.789130996072,0.0,0.0,0.0
bimodal,1300,8,0.92,True,0.5599735381686269,-4.053563997764201,-107.9534082801413,-0.10400995681407602,0.0,1.6645027290590386e-06,-8772.850785004914,0.0,0.0,0.0
bimodal,1300,8,0.95,False,,,,,,,,0.0,0.0,0.0
bimodal,1300,20,0.75,True,0.06867798661135831,0.07909493413752955,-0.3482746097167535,0.026432561520510114,-1.3080352830687286e-238,-0.011689063180029368,-84657.04190100772,0.0,0.0,0.0
bimodal,1300,20,0.8,True,0.11647296664617224,5.1299359814699415,-2.0483898627720976,0.0067412304155558544,-1.3080352830687286e-238,-0.012404552061327038,-85254.9775863203,0.0,0.0,0.0
bimodal,1300,20,0.85,True,0.22841367731551726,-18.044527626735658,-61.93514063312176,-0.08484895102610163,-5.262130855885681e-213,7.934331595068722e-06,-27527.438807592116,0.0,0.0,0.0
bimodal,1300,20,0.88,True,0.32435984228720294,-7.454022027010822,-63.71323442402553,-0.08998778735264203,-5.262130855885681e-213,1.8483104268828363e-06,-27682.647896087947,0.0,0.0,0.0
bimodal,1300,20,0.9,True,0.47693589878274095,-5.97858026123815,-89.65022479931784,-0.1011062621833415,0.0,1.3265137348830954e-07,-13683.789130996072,0.0,0.0,0.0
bimodal,1300,20,0.92,True,0.5599735381686269,-4.053563997764201,-107.9534082801413,-0.10400995681407602,0.0,1.6645027290590386e-06,-8772.850785004914,0.0,0.0,0.0
bimodal,1300,20,0.95,True,0.6792858196101507,-2.415612890558606,-156.2143407297206,-0.09925578060556305,0.0,1.5813780202168016e-07,-1413.2919971458289,0.0,0.0,0.0
bimodal,1350,0,0.75,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.8,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.85,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.88,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.9,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.92,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,0,0.95,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,1,0.75,True,1.1014512274388426,1.6892114138937018,0.49844017900730364,0.030192174633736586,-1.6568423975996276e-111,0.0006180657915064687,-94960.32128005277,0.0,0.0,0.0
bimodal,1350,1,0.8,True,0.07243919392558566,-18.99603429186952,-4.005453911281961,0.010063838985946372,-9.788766487719833e-239,-0.0016819318589883156,-68587.58445316253,0.0,0.0,0.0
bimodal,1350,1,0.85,True,0.1524136275357808,-1.6908309501698255,-0.5568721549491329,-0.043672095189261496,-9.788766487719833e-239,-0.0017274452217060986,-69102.71181600034,0.0,0.0,0.0
bimodal,1350,1,0.88,True,0.20865780833894368,-12.249952242853922,-6.440273425617704,-0.08993954422391282,0.0,9.952767443730451e-07,-48630.17655609304,0.0,0.0,0.0
bimodal,1350,1,0.9,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,1,0.92,False,,,,,,,,0.0,0.0,0.0
bimodal,1350,1,0.95,False,,,,,,,,0.0,0.0,0.0
