state_id,representation,closed_kernel,m,T2_C,hold_h,initial_state_fingerprint,candidate_response_target_only,initial_rho,initial_G_nm,final_rho,final_G_nm,growth_fraction,classification,strict_success,rho,G_nm,D10_nm,D50_nm,D90_nm,D90_over_D50,sigma_ln_r,pore_surface_area_proxy,large_pore_tail_fraction,connected_fine_pore_fraction,useful_closed_inventory,Zener_pinning_metric_minv,phi_open,phi_precursor,phi_isolated,phi_closed,M0,M1,M2,M3,M4,map_scope
narrow_fine_connected,lognormal,renewal,3,850,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8200093810432499,67.16211820545197,0.033263357006953514,DENSIFICATION_EXHAUSTION_FAILURE,False,0.8200093810432499,67.16211820545197,15.551903000884657,23.255605263638483,35.93169428202809,1.545076719125837,0.3108852146501343,41896009.97903697,0.019157907052363636,0.0,0.016293679036341383,2.3116512456921478e-06,9.24660498276859e-13,2.758148433350739e-08,2.162379339605003e-08,0.17999056975054767,2.6821621060623414e+22,284929604872989.75,3333978.541995554,0.042969595075704865,6.100077170630214e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,875,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8200621844364169,70.43055487085049,0.08354699801308435,DENSIFICATION_EXHAUSTION_FAILURE,False,0.8200621844364169,70.43055487085049,15.495627686391037,23.23339558130784,35.954645413137136,1.5475415673662456,0.3119792267450685,41929551.31293821,0.019412083280339016,0.0,0.039261796602960204,2.316655878169232e-06,9.266623512676928e-13,2.7601033748599908e-08,2.1620073671665755e-08,0.1799377663415491,2.6956918879116312e+22,285664338620430.5,3336647.676539694,0.04295698919415306,6.095774112963791e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,900,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8203508132534015,77.74439131958331,0.19606755876282012,MIXED_FAILURE,False,0.8203508132534015,77.74439131958331,15.51706382392605,23.242355857794095,35.94719710013382,1.5466245039906004,0.3115724404992958,41844224.5599055,0.01932140327493998,0.0,0.08597220590478058,2.3230757185893685e-06,9.292302874357473e-13,2.7596176531448496e-08,2.1596657572998887e-08,0.17964913755283515,2.6858397977145845e+22,284887686086061.7,3329857.589278124,0.04288808413974024,6.08708017742214e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,925,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8215759435579797,92.52857109599574,0.42351647839993445,MIXED_FAILURE,False,0.8215759435579797,92.52857109599574,15.838373287727615,23.37252365946846,35.85227604773947,1.5339497167741805,0.305926818744428,41302370.785168126,0.0181055517628404,0.0,0.158210033966058,2.331188319315084e-06,9.324753277260335e-13,2.7495504446516466e-08,2.148940762528684e-08,0.17842400745617576,2.5911968973582355e+22,278490550080317.0,3286738.2359368973,0.042595605823882304,6.061943009362283e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,950,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.825233300373059,119.20900008324868,0.8339846166653643,MIXED_FAILURE,False,0.825233300373059,119.20900008324868,16.300105674784653,23.772474458657186,35.63638155700915,1.4990606728375937,0.29001364868385887,39709814.50604628,0.014962573729679357,0.0,0.22577084828758326,2.341192663304695e-06,9.36477065321878e-13,2.7215189204192667e-08,2.1132052894953707e-08,0.1747666512787624,2.3329377453569925e+22,260334988227308.66,3160006.633949759,0.04172247620022625,5.992126442371506e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,975,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8329290759921717,162.72752583544766,1.5035003974684253,MIXED_FAILURE,False,0.8329290759921717,162.72752583544766,16.951355071167626,24.49847649294568,35.416323765218195,1.4456541318157599,0.2637187266689708,36712179.28445694,0.010493419566368959,0.0,0.25469336471174736,2.352987698339768e-06,9.411950793359071e-13,2.8922267540372423e-08,2.029083721543085e-08,0.16707087479378235,1.931048643213782e+22,229400605307952.8,2921462.402398602,0.039885245104164434,5.837540325373917e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,1000,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8457185140732997,228.72045859752612,2.5187762861157865,MIXED_FAILURE,False,0.8457185140732997,228.72045859752612,17.871756203655533,25.457305473009463,35.39927875205751,1.3905351762223541,0.23090171568753717,32382321.536517233,0.006094562347135098,0.0,0.24464386211575656,2.366067599408937e-06,9.464270397635746e-13,3.0134552061312004e-08,1.883407785634029e-08,0.15428143695712399,1.4806808392609135e+22,190181096074972.66,2576903.2706639287,0.036831991669195575,5.552789360194886e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,1025,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8631655294649798,324.24707378709036,3.98841651980139,MIXED_FAILURE,False,0.8631655294649798,324.24707378709036,22.252706373824793,26.38955973624978,30.52641309867476,1.1567609844109081,0.1367373191471509,27031958.504099883,0.00010510035598348028,0.0,0.16032425790947566,2.379158251903428e-06,9.516633007613712e-13,2.8597274546643822e-08,1.6966395507620692e-08,0.1368344249703985,9.89541407938907e+21,144405316383494.2,2151134.908691246,0.032666823556516164,5.054785664100407e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,1050,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.8815520657791662,458.5422400867834,6.054496001335129,MIXED_FAILURE,False,0.8815520657791662,458.5422400867834,22.973992453804758,26.386609271417058,29.799226089029357,1.1293313886035736,0.0018769618520456598,23185391.4451058,3.51365586669924e-07,0.0,0.16095837075769023,2.39115655668438e-06,9.56462622673752e-13,2.6255881966103587e-08,1.536168946861758e-08,0.11844789260230593,7.854819836270577e+21,120384450682249.31,1845034.8280045649,0.028277361345404057,4.333876632624586e-10,synthetic_failure_modes_only_process_grid_not_justified
narrow_fine_connected,lognormal,renewal,3,1075,96,"{""A"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""G"": 6.5e-08, ""phi"": [[3.141291498e-05, 0.00128129036897, 0.0160233835299, 0.06143675057268, 0.07222201323819, 0.02603024686544, 0.00287643342436, 9.745356026e-05, 1.01229813e-06, 3.22394e-09, 3.15e-12, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""rho"": 0.82}",False,0.82,65.0,0.9188545536749377,643.7925309226523,8.904500475733112,GRAIN_GROWTH_FAILURE,False,0.9188545536749377,643.7925309226523,22.973992551894742,26.386609761866968,29.7992269718392,1.129331401069342,0.002171517435902369,15883677.008176187,4.6633886633326797e-07,0.0,0.17415144941292426,2.3978206922444277e-06,9.59128276897771e-13,2.364686660533139e-08,1.4193449713728278e-08,0.0811454084837868,5.381122029126314e+21,82472091423093.16,1263982.8551631635,0.019372048338047593,2.969028816672766e-10,synthetic_failure_modes_only_process_grid_not_justified
