mobility_case_id,gb_mobility_mode,M0_factor,Q_M_kJ_mol,M0_or_K0_value,M0_refit,calibration_target_used,non_validation_flag,final_rho_5,final_G_um_5,final_rho_50,final_G_um_50,matched_fast_smaller_G_fraction,matched_fast_smaller_D90_fraction,strict_Chen_success_count,finite_strict_Chen_window_count,lower_boundary_present,upper_boundary_present,T_lower_density_C,T_upper_growth_C,boundary_gap_C,PR_closed_accommodation_active,pathway_consistency_flag
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,0.9370101360405385,0.9379048593667857,0.9005037465317097,0.25847102380067877,0.94,0.14,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_01,CS_endpoint_calibrated,1.0,405.238394904,0.0058,True,inherited global CS endpoint calibration,True,0.9370101360405385,0.9379048593667857,0.9005037465317097,0.25847102380067877,0.94,0.14,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_02,CS_curve_regularized,1.0,405.238394904,0.0058,True,inherited CS curve/final-G regularized calibration,True,0.9370101360405385,0.9379048593667857,0.9005037465317097,0.25847102380067877,0.94,0.14,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_03,bounded_uncertainty_factor,0.03,405.238394904,0.00017399999999999997,False,bounded intrinsic M0 uncertainty,True,0.9491773449706975,0.11878277713223627,0.9102368394891728,0.06094266856757827,0.7,0.08,0,0,False,False,,1200.0,,True,False
mobility_04,bounded_uncertainty_factor,0.1,405.238394904,0.00058,False,bounded intrinsic M0 uncertainty,True,0.9460914923577346,0.22436624207278189,0.9083702130294878,0.08271756465861964,0.74,0.14,0,0,False,True,,1200.0,,True,False
mobility_05,bounded_uncertainty_factor,0.3,405.238394904,0.0017399999999999998,False,bounded intrinsic M0 uncertainty,True,0.9423337345389807,0.4576701719070694,0.9053672636940171,0.13118738462008608,0.82,0.1,0,0,True,True,1300.0,1200.0,-100.0,True,False
mobility_06,bounded_uncertainty_factor,1.0,405.238394904,0.0058,False,bounded intrinsic M0 uncertainty,True,0.9370101360405385,0.9379048593667857,0.9005037465317097,0.25847102380067877,0.94,0.14,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_07,bounded_uncertainty_factor,3.0,405.238394904,0.0174,False,bounded intrinsic M0 uncertainty,True,0.9345945047034796,1.0186573445720302,0.895089249368206,0.4410762995325217,1.0,0.1,0,0,True,True,1300.0,1000.0,-300.0,True,False
mobility_08,bounded_uncertainty_factor,10.0,405.238394904,0.057999999999999996,False,bounded intrinsic M0 uncertainty,True,0.9320958557752369,1.0948927634743602,0.8929266319193233,0.48964101780702773,0.64,0.18,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_09,bounded_uncertainty_factor,30.0,405.238394904,0.174,False,bounded intrinsic M0 uncertainty,True,0.9295116087040552,1.1687998462005231,0.8915517268532027,0.5341239609459458,0.66,0.22,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_10,activation_energy_envelope,0.000794104078081272,300.0,4.605803652871378e-06,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9357269306423284,0.9292960008175223,0.8979040388665609,0.3101132997079294,1.0,0.12,0,0,True,True,1300.0,1000.0,-300.0,True,False
mobility_11,activation_energy_envelope,0.023592944567730503,350.0,0.00013683907849283691,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9361567601047238,0.9328612719281467,0.8992434999742578,0.2832271046265342,1.0,0.1,0,0,True,True,1300.0,1000.0,-300.0,True,False
mobility_12,activation_energy_envelope,0.700949722762961,400.0,0.004065508392025173,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9369165231001411,0.9376892878462706,0.9003939942527357,0.2606242157851773,1.0,0.1,0,0,True,True,1300.0,1000.0,-200.0,True,False
mobility_13,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9378783749148121,0.9347781186437929,0.9013705022423726,0.24215551589014403,0.0,0.1,0,0,True,True,1300.0,1100.0,-200.0,True,False
mobility_14,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9388962640515138,0.916238797715233,0.902220936887257,0.2271095995873587,0.0,0.08,0,0,True,True,1300.0,1200.0,-100.0,True,False
mobility_15,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True,0.9398667706802563,0.8793727987151411,0.9029645226107202,0.21443768013463266,0.0,0.08,0,0,True,True,1300.0,1200.0,-100.0,True,False
