mobility_case_id,gb_mobility_mode,M0_factor,Q_M_kJ_mol,M0_or_K0_value,M0_refit,calibration_target_used,non_validation_flag,T1_C,T2_C,switch_density,hold_h,classification,first_step_attained,rho1,G1_um,final_rho,final_G_um,density_ok,grain_ok,strict_success,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,map_resolution_C
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,900,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8006670729566733,0.07663934140811056,0.8006670729566733,0.07663934140811056,False,True,False,0.017522717514096953,0.784705663082628,0.10181516492633645,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,900,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.80150387492745,0.07679517121740534,0.80150387492745,0.07679517121740534,False,True,False,0.03262935661446139,0.9483366396883542,0.09822636140167033,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,900,0.9,20,FIRST_STEP_UNATTAINABLE,False,0.9014622644374994,0.2651468626814154,0.9014622644374994,0.2651468626814154,False,True,False,0.051439617442524566,0.9698254873282401,0.23875474353249232,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,900,0.9,40,FIRST_STEP_UNATTAINABLE,False,0.9046630697304117,0.26516702952784615,0.9046630697304117,0.26516702952784615,False,True,False,0.07273382547267872,0.9941162158583173,0.2303108946683528,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1000,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8136898225393974,0.08195957075756011,0.8136898225393974,0.08195957075756011,False,True,False,0.019251428107704072,0.7856437188866375,0.10286245424675305,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1000,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.8240943637880738,0.08560566706485977,0.8240943637880738,0.08560566706485977,False,True,False,0.037591365221408345,0.9466611786872774,0.09994799146632784,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1000,0.9,20,FIRST_STEP_UNATTAINABLE,False,0.903987886515451,0.2661936627763645,0.903987886515451,0.2661936627763645,False,True,False,0.0491955922927761,0.9650948804255008,0.2388109861548997,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1000,0.9,40,FIRST_STEP_UNATTAINABLE,False,0.9118043295047468,0.26679407747516465,0.9118043295047468,0.26679407747516465,False,True,False,0.06609280688373398,0.987341580283994,0.23039248909531898,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1100,0.8,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8022335993206581,0.07719267125393389,0.8786471128851279,0.13897002645196604,False,True,False,0.0001854821022794177,0.024605970572087868,0.10594257225714353,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1100,0.8,40,DENSIFICATION_EXHAUSTION_FAILURE,True,0.8022335993206581,0.07719267125393389,0.8953499970021447,0.16460550564960985,False,True,False,0.0001854821022794177,0.024605970572087868,0.10594257225714353,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1100,0.9,20,DENSIFICATION_EXHAUSTION_FAILURE,True,0.9001920463823442,0.2656241556453792,0.912335643011879,0.28466199031555894,False,True,False,0.003028674281625877,0.14551673070837698,0.24722531132002185,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1100,0.9,40,MIXED_FAILURE,True,0.9001920463823442,0.2656241556453792,0.9279666862484446,0.2953425633219328,False,False,False,0.003028674281625877,0.14551673070837698,0.24722531132002185,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1200,0.8,20,MIXED_FAILURE,True,0.810290230892334,0.08032700324945533,0.9318415831942417,0.4191780653972045,False,False,False,0.00012466289922973762,0.019333421714943046,0.1100522840790538,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1200,0.8,40,MIXED_FAILURE,True,0.810290230892334,0.08032700324945533,0.9580977636596689,0.5516910496555774,False,False,False,0.00012466289922973762,0.019333421714943046,0.1100522840790538,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1200,0.9,20,MIXED_FAILURE,True,0.9005248500356952,0.2677612906929275,0.9403281096731024,0.4699805057361894,False,False,False,0.0024995408016702035,0.12272521030117442,0.24781004741495669,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1300,1200,0.9,40,MIXED_FAILURE,True,0.9005248500356952,0.2677612906929275,0.9656436868145565,0.5751298551960666,False,False,False,0.0024995408016702035,0.12272521030117442,0.24781004741495669,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1400,900,0.8,20,FIRST_STEP_UNATTAINABLE,False,0.8006785448966991,0.07664226676255194,0.8006785448966991,0.07664226676255194,False,True,False,0.01779129782831522,0.7899240706364474,0.10175429618644666,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1400,900,0.8,40,FIRST_STEP_UNATTAINABLE,False,0.8015201821781253,0.07679748986782263,0.8015201821781253,0.07679748986782263,False,True,False,0.03286479913217729,0.9494992550421469,0.09816762658439718,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1400,900,0.9,20,FIRST_STEP_UNATTAINABLE,False,0.9017541033427281,0.27047415962944527,0.9017541033427281,0.27047415962944527,False,True,False,0.05520424454390574,0.9792399089301604,0.2624955923590851,100
mobility_00,fixed_highT_literature,1.0,405.238394904,0.0058,False,current high-T estimate,True,1400,900,0.9,40,FIRST_STEP_UNATTAINABLE,False,0.905242213317067,0.2704927299827458,0.905242213317067,0.2704927299827458,False,True,False,0.07558603975170189,0.9946307693818249,0.2532120428836469,100
