mobility_case_id,T1_C,switch_density,hold_h,lower_boundary_present,upper_boundary_present,T_lower_density_C,T_upper_growth_C,success_count,success_min_T2_C,success_max_T2_C,finite_window,window_width_C,boundary_gap_C,gb_mobility_mode,M0_factor,Q_M_kJ_mol,M0_or_K0_value,M0_refit,calibration_target_used,non_validation_flag
mobility_12,1400,0.8,40,True,True,1300.0,1100.0,0,,,False,,-200.0,activation_energy_envelope,0.700949722762961,400.0,0.004065508392025173,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_12,1400,0.9,20,True,True,1300.0,1000.0,0,,,False,,-300.0,activation_energy_envelope,0.700949722762961,400.0,0.004065508392025173,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_12,1400,0.9,40,True,True,1300.0,1000.0,0,,,False,,-300.0,activation_energy_envelope,0.700949722762961,400.0,0.004065508392025173,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1300,0.8,20,False,False,,1200.0,0,,,False,,,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1300,0.8,40,False,True,,1100.0,0,,,False,,,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1300,0.9,20,False,True,,1100.0,0,,,False,,,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1300,0.9,40,False,True,,1100.0,0,,,False,,,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1400,0.8,20,False,True,,1200.0,0,,,False,,,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1400,0.8,40,True,True,1300.0,1100.0,0,,,False,,-200.0,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1400,0.9,20,True,True,1300.0,1100.0,0,,,False,,-200.0,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_13,1400,0.9,40,True,True,1300.0,1100.0,0,,,False,,-200.0,activation_energy_envelope,20.82531548493079,450.0,0.12078682981259857,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1300,0.8,20,False,False,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1300,0.8,40,False,False,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1300,0.9,20,False,False,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1300,0.9,40,False,False,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1400,0.8,20,False,True,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1400,0.8,40,True,True,1300.0,1200.0,0,,,False,,-100.0,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1400,0.9,20,False,True,,1200.0,0,,,False,,,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_14,1400,0.9,40,True,True,1300.0,1200.0,0,,,False,,-100.0,activation_energy_envelope,618.7230709463591,500.0,3.5885938114888827,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1300,0.8,20,False,False,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1300,0.8,40,False,False,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1300,0.9,20,False,False,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1300,0.9,40,False,False,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1400,0.8,20,False,True,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1400,0.8,40,True,True,1300.0,1200.0,0,,,False,,-100.0,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1400,0.9,20,False,True,,1200.0,0,,,False,,,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
mobility_15,1400,0.9,40,True,True,1300.0,1200.0,0,,,False,,-100.0,activation_energy_envelope,18382.35002001775,550.0,106.61763011610294,True,M0 refit to preserve M_GB at 1500 C anchor,True
