attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint
True,-6.95110743484939e-05,0.0,0.0011892223518241707,0.0,0.0,5.259351372374261e-06,unscored,,100,True,False,False,259376,False,0.993574218671276,0.9836988696431643,3a306287bdeadf20
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,531169,False,0.8773776484418467,0.8773776484418467,67c50ece8f4050a8
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,817739,False,0.9193904497804121,0.8840697755299444,ef3e215f079e204c
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,124697,False,0.9047152219025854,0.9047106472160641,5f640baf9897f0e0
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,124703,False,0.8548858694890613,0.8548858694890613,3d548e5a5b531cea
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,467725,False,0.7750403717752716,0.7750403717752716,e57a392a296cd6e4
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,611824,False,0.7117477790793376,0.7117477790793376,3e2804dff5cdc1b2
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,912507,False,0.8194551366445693,0.8194551366445693,1c47bf12931c129d
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,467700,False,0.9685660872130126,0.9674439925485643,53abc298af350b17
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,531211,False,0.9903463182788221,0.9052243483903657,69b86f4f717b9498
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,304083,False,0.776889690256145,0.776889690256145,76549d7d954075d2
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,733367,False,0.7764569825681595,0.7764569825681595,89ea8c43f6e1f1ce
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,400136,False,0.9733785041383879,0.8890967703178544,8ec367643943949f
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,124726,False,0.9094217920732642,0.880465673787094,d261655effc97046
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,974811,False,0.9782646526722939,0.891637185117249,66ef4bcab39b4a67
False,0.0,0.0,0.029498212959362613,0.0,0.0,1.4971017506991853e-06,unscored,,0.0,True,False,False,793350,False,0.9772832191268833,0.9772780053638696,6830b26ea69f3a39
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,322798,False,0.8499925554028336,0.8499925554028336,12a46c71582a8f13
True,0.0,0.0,0.009200913240599684,0.0,0.0,2.36846176025119e-05,unscored,,200,True,False,False,215436,False,0.9937528058279987,0.9944473389795669,8a2d8e8fe5617c71
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,True,False,False,182214,False,0.9074537535316869,0.9071852111144195,71793256f6f9d823
False,0.0,0.0,0.0,0.0,0.0,0.0,unscored,reduction_below_threshold,0.0,True,False,False,195015,False,0.9937359962621085,0.9527047617575098,fc3beb4ec5aa35c3
False,nan,nan,nan,0.0,0.0,0.0,unscored,high_density_unattained,0.0,False,False,False,124782,False,0.7994260678039763,0.7994260678039763,3f49c60250922191
