T2_C,classification,practical,rho_final,candidate_id
1000,density_exhaustion,True,0.8857424295132392,172651
1050,density_exhaustion,True,0.9008652298850984,172651
1100,density_exhaustion,True,0.9320510286443103,172651
1150,density_exhaustion,True,0.9334610786759836,172651
1200,density_exhaustion,True,0.9355208115508158,172651
1250,density_exhaustion,True,0.9380871228401344,172651
1300,density_exhaustion,True,0.9405077679846408,172651
1310,mixed,True,0.9412288645303447,172651
1320,mixed,True,0.9417775757080867,172651
1325,mixed,True,0.9423915673787976,172651
1350,mixed,True,0.942507857677994,172651
800,density_exhaustion,True,0.8799996869426802,254592
850,density_exhaustion,True,0.8800000670174596,254592
900,density_exhaustion,True,0.8830144751769593,254592
950,density_exhaustion,True,0.8973205361981933,254592
1000,density_exhaustion,True,0.9470329354289111,254592
1025,density_exhaustion,True,0.9788005038499245,254592
1035,success,True,0.9800425671419192,254592
1045,success,True,0.9800641580208541,254592
1050,success,True,0.9800218492009442,254592
1100,success,True,0.9801064282119935,254592
1150,success,True,0.9800215304350542,254592
1200,success,True,0.980027434420458,254592
1225,success,True,0.9801760334842825,254592
1235,grain_growth,True,0.9801710486991335,254592
1245,grain_growth,True,0.980127143604986,254592
1250,grain_growth,True,0.9800004407472248,254592
1300,grain_growth,True,0.9802121261996027,254592
1350,grain_growth,True,0.9810405896026039,254592
800,density_exhaustion,True,0.8799991109140982,419833
850,density_exhaustion,True,0.8799993219921767,419833
900,density_exhaustion,True,0.8801484160583715,419833
950,density_exhaustion,True,0.8809531320767332,419833
1000,density_exhaustion,True,0.8852621034001549,419833
1050,density_exhaustion,True,0.9041419157438754,419833
1100,density_exhaustion,True,0.956805134862568,419833
1110,density_exhaustion,True,0.9696489745352793,419833
1120,success,True,0.9800032655828783,419833
1125,success,True,0.980005573890099,419833
1150,success,True,0.9800048311820561,419833
1200,success,True,0.9800040669028743,419833
1210,success,True,0.9800034878208768,419833
1220,grain_growth,True,0.9800060461408112,419833
1225,grain_growth,True,0.9800022479661475,419833
1250,grain_growth,True,0.9800067682250294,419833
1300,grain_growth,True,0.9800106275195618,419833
1350,grain_growth,True,0.9809397387657346,419833
800,unattainable_first_step,True,0.7494734434206776,456031
850,unattainable_first_step,True,0.7494734434206776,456031
900,unattainable_first_step,True,0.7494734434206776,456031
950,unattainable_first_step,True,0.7494734434206776,456031
1000,unattainable_first_step,True,0.7494734434206776,456031
1050,unattainable_first_step,True,0.7494734434206776,456031
1100,unattainable_first_step,True,0.7494734434206776,456031
1150,unattainable_first_step,True,0.7494734434206776,456031
1200,unattainable_first_step,True,0.7494734434206776,456031
1250,unattainable_first_step,True,0.7494734434206776,456031
1300,unattainable_first_step,True,0.7494734434206776,456031
1350,unattainable_first_step,True,0.7494734434206776,456031
800,density_exhaustion,True,0.8799993848073369,290218
850,density_exhaustion,True,0.8799995326340014,290218
900,density_exhaustion,True,0.8800003956570179,290218
950,density_exhaustion,True,0.8804959746148278,290218
1000,density_exhaustion,True,0.8823554382538666,290218
1050,density_exhaustion,True,0.8904106092781374,290218
1075,density_exhaustion,True,0.9024882526871082,290218
1085,density_exhaustion,True,0.910981580620979,290218
1095,mixed,True,0.9229883707236148,290218
1100,mixed,True,0.9307699279083381,290218
