attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,fingerprint,rho_switch_exact,switch_error,G0_nm,G1_nm,first_step_growth_fraction,first_step_growth_le_20pct,closed_fraction_at_switch,high_density_support_active,production_gate_passed
True,0.2211232905631313,0.2618115581942112,0.308553683020954,0.0299999999999966,0.0023999999999997,0.0091623481733631,Tier_B,first_step_growth_above_20pct,285.0,True,True,True,597443,True,0.98,0.9808124855969718,5df82fe763944bfb,0.87999936,6.399999999961992e-07,105.8748401744233,24023.96810956931,225.90913223567628,False,0.8828415761218554,True,False
True,0.8677726718747043,0.8795900236908064,0.884601885346251,0.0299999999999966,0.0299999999999966,0.0632308384081041,Tier_B,first_step_growth_above_20pct,60.0,True,True,True,516308,True,0.9815295144460612,0.9801237740003342,47684a4d861d2cdb,0.87999936,6.399999999961992e-07,102.63672385903078,764.4526305862893,6.448139436292293,False,0.992787753414494,True,False
True,0.48214413155586,0.5566241785017627,0.6320407269811221,0.0299999999999966,0.0299999999999966,0.0245500318552397,Tier_B,first_step_growth_above_20pct,240.0,True,True,True,484895,True,0.98,0.9808954707197112,e641a148f4ab6565,0.87999936,6.399999999961992e-07,101.56396305522492,285.68897673623485,1.812897095999423,False,0.9999999999996985,True,False
True,0.7937800338602614,0.851789060624193,0.8961148891803626,0.0299999999999966,0.0299999999999966,0.0581060551234006,Tier_B,first_step_growth_above_20pct,215.0,True,True,True,697698,True,0.9800470070416736,0.98199936,c0af50eb0a3ac717,0.87999936,6.399999999961992e-07,117.31582281242589,648.1109329884064,4.524497185896731,False,0.6178038258923779,True,False
True,0.7476063574247043,0.769292442762687,0.7880316709330553,0.0299999999999966,0.0299999999999966,0.0440329592220204,Tier_B,first_step_growth_above_20pct,190.0,True,True,True,254592,True,0.98097279293753,0.980027434420458,d36c6ca5895d1177,0.8799996374045624,3.6259543756411716e-07,110.17115258311254,6147.774042166979,54.80203073149416,False,0.9837240839259738,True,False
True,0.2337861863662585,0.3766580756553555,0.4600815466602543,0.0299999999999966,0.0226999999999975,0.0136468372392673,Tier_B,first_step_growth_above_20pct,90.0,True,True,True,419833,True,0.9816407762752238,0.9800040669028744,9e96385cbe7c76e3,0.8799990379427861,9.620572138935302e-07,129.35864078661504,1877.573069437298,13.514477409626384,False,4.018424286560839e-07,True,False
True,0.3416349464369839,0.372134528580105,0.3881168728627944,0.0299999999999966,0.0299999999999966,0.0138698223317726,Tier_B,first_step_growth_above_20pct,230.0,True,True,True,26268,True,0.980007922981268,0.9800462237807752,fc7e977649170020,0.879999362535354,6.374646459583744e-07,106.88443129373466,988.1272797702962,8.244819547711044,False,0.9999997251150269,True,False
True,0.4386466110084593,0.5062065825764024,0.5527349736471647,0.0299999999999966,0.0299999999999966,0.0209607993119125,Tier_B,first_step_growth_above_20pct,225.0,True,True,True,585076,True,0.9813701542075612,0.9819498162062968,e6a9972552863f21,0.8799997984493464,2.01550653611271e-07,100.45679463159249,863.6855762851171,7.597582467692018,False,0.993855459949283,True,False
True,0.4139877003180801,0.414784248727454,0.4904151651185169,0.0299999999999966,0.0299999999999966,0.0176094973888944,Tier_B,first_step_growth_above_20pct,325.0,True,True,True,781478,True,0.9807671118728316,0.9800111265402244,0709cff3fdf12934,0.8800111265402243,1.1126540224282166e-05,115.0690477533509,1127.6408442248935,8.79968867598503,False,0.9320347848717545,True,False
True,0.3895207390054687,0.4537731641377823,0.4986250457334349,0.0299999999999966,0.0299999999999966,0.0179146793168702,Tier_B,first_step_growth_above_20pct,225.0,True,True,True,120857,True,0.982,0.980135140349715,21890d184aa3e2bb,0.87999936,6.399999999961992e-07,109.43646511382256,2520.5921654814,22.03247060163891,False,0.9999999999901468,True,False
