parameter,minimum,maximum,variance,source_column,correlation
N_regions,8,32,99.55697664,0,0.9258133079618446
weight_sigma,0.05007733588606035,1.4999971946177428,0.17520837175530604,1,1.0
rho_sigma,0.0010036261396046756,0.09999688412286022,0.0008167506322574431,2,0.9999999999999992
G_sigma,0.0010755090594528535,0.7999987683432461,0.0532003144322372,3,0.9999999999999994
degree,1,6,2.9168,4,0.9860130027728524
connected_init,0.050010996235297624,0.9499864771066793,0.06749997257506177,5,1.0
closed_init,1.4496921162186297e-05,0.39998769403502177,0.013333318423230656,6,0.9999999999999996
cluster,1.5829947718844383e-06,0.5999976036863093,0.030000117843030687,7,0.9999999999999997
exchange_rate,1.0014838687975563e-10,0.0009996981930409086,2.7171107700234613e-08,8,0.5710191088093676
k_PR,1.0003066280826993e-09,0.00999813487673542,2.7170343359163098e-06,9,0.5710224614312115
Q_PR,100017.11901168936,449979.4968437001,10208352452.89223,10,1.0
activity_mid,0.020055462487095003,0.5999688970081424,0.028033316974485592,11,1.0
activity_width,0.020016213384836334,0.29998545067402305,0.006533336071448211,12,1.0
PR_damaged,2.851310356019942e-05,0.7056704597655429,0.012714213630276344,13,0.8623481802444493
PR_large,1.306261092269144e-05,0.7654281153589895,0.012912211482065691,14,0.8604467864894372
PR_TJ,4.282811110338917e-05,0.9000279432665304,0.012838159649500955,15,0.8603899586129868
PR_iso,4.228771379372365e-05,0.8271379945180345,0.013085852847454862,16,0.8610818865542054
PR_closed,2.6783632078260775e-05,0.7223052632899254,0.012854856391533855,17,0.8621243654099511
PR_tau,1000.5602352990471,99885685.30298436,358845049115764.7,18,0.6562269023887464
k_sweep_damaged,1.0004454641958672e-10,0.009986873977953293,2.4196687203846054e-06,19,0.5388470855314819
k_sweep_connected,1.0008443125159872e-10,0.009982495552937945,2.4195809495919476e-06,20,0.5388481855285456
sweep_exp,0.500028278656019,3.9999272542138224,1.0208312118898621,21,0.9999999999999998
coalescence_exp,0.5000898955589861,5.999751893211531,2.5208311318478174,22,1.0
number_loss,0.010027459050835599,0.8999790557861773,0.06600832143248284,23,1.0
detachment,1.0011213200107878e-10,0.009992969815982333,2.4197871060174393e-06,24,0.5388388178305468
recapture,1.0017544659830591e-10,0.009988057376696318,2.419641825326157e-06,25,0.5388493611667696
closed_transition,1.0011019200684709e-10,0.009985452831147594,2.4196514479407593e-06,26,0.5388447656881149
k_closed,1.0005739863404644e-12,0.000999558225697001,2.179921099485908e-08,27,0.511456694658097
Q_closed,250039.91112466383,749954.3913904944,20833349199.022743,28,1.0
closed_capacity,0.010086944751759329,0.9999871324447819,0.08167506150750886,29,0.9999999999999994
capacity_tau,1000.7012079409286,99932334.6529544,358842774423983.7,30,0.6562261084723743
gas_ratio,3.911834871540856e-05,0.9999745748307809,0.08333338634920846,31,1.0
closed_radius_exp,9.68927471411502e-05,4.999511258294568,2.0833379787046806,32,0.9999999999999997
attached_drag,0.026382780130804778,499.99676193520196,20833.284004386867,33,0.9999999999999994
junction_drag,0.0047307954875834834,499.95491118454976,20833.268585671052,34,0.9999999999999998
XJ_prod,0.00010006998451826938,49.98623625128203,80.74192015012673,35,0.6225298993163281
XJ_tau,100.0567241106672,999767487.1152495,2.717018660885787e+16,36,0.5710211276218478
lambda_TJ,0.0010009874080363502,998.9768297023587,30953.097849450707,37,0.6094427563750243
K_TJ,1.0043247086223819,49.99935030441611,200.08252213400505,38,1.0
q_TJ,0,2,0.6666,39,0.9428092090819081
pore_relax,2.4003480628227637e-05,0.9999786404130953,0.08333342227430816,40,1.0
pore_drag_fraction,9.432981035811965e-05,0.9999974902652512,0.0833332917985137,41,0.9999999999999998
stress_PR,0.0013401675516560552,99.99426779425164,833.3343067755101,42,1.0
stress_shear,0.002309859754852043,99.99900168017362,833.3346771755105,43,0.9999999999999999
stress_migration,2.2016674890718012e-05,99.99033270969143,833.3365374645209,44,1.0
stress_nucleation,0.00093529570320889,9.999869647948247,8.333329768981965,45,0.9999999999999997
stress_tau,100.13764429995469,998913317.5457447,2.7173016593021756e+16,46,0.57101375268184
