candidate_id,parameter,value
845276,N_regions,8
845276,weight_sigma,1.1810209922391803
845276,rho_sigma,0.05573181933634941
845276,G_sigma,0.6001465328563975
845276,degree,4
845276,connected_init,0.2338472595543732
845276,closed_init,0.22237337339631003
845276,cluster,0.5820173710910357
845276,exchange_rate,1.0060542551620562e-10
845276,k_PR,3.3675244957749847e-06
845276,Q_PR,192706.6149444161
845276,activity_mid,0.11903564323738557
845276,activity_width,0.08995309104316739
845276,PR_damaged,0.025869757820149424
845276,PR_large,0.546686638419968
845276,PR_TJ,0.06779614964575614
845276,PR_iso,0.04282364777709493
845276,PR_closed,0.3168238063370315
845276,PR_tau,4713247.96579758
845276,k_sweep_damaged,0.0007128064481993315
845276,k_sweep_connected,4.124291506301467e-06
845276,sweep_exp,2.560059693966643
845276,coalescence_exp,4.256582916375837
845276,number_loss,0.572029417238603
845276,detachment,4.069838018480171e-10
845276,recapture,0.0048168884145898365
845276,closed_transition,0.000154813325490329
845276,k_closed,2.7502459765528744e-05
845276,Q_closed,257418.709333962
845276,closed_capacity,0.7009941920600639
845276,capacity_tau,261213.02269846638
845276,gas_ratio,0.13872610924993697
845276,closed_radius_exp,3.478698858271611
845276,attached_drag,281.68413652266884
845276,junction_drag,394.2172978341622
845276,XJ_prod,0.0010909874429270677
845276,XJ_tau,631494.0001477734
845276,lambda_TJ,33.712231294586054
845276,K_TJ,20.12888336759105
845276,q_TJ,0
845276,pore_relax,0.9182096176192343
845276,pore_drag_fraction,0.9247404601642546
845276,stress_PR,39.6806628954388
845276,stress_shear,5.194356774997949
845276,stress_migration,73.7919290640465
845276,stress_nucleation,7.056388784703609
845276,stress_tau,844.5379460107982
511984,N_regions,16
511984,weight_sigma,1.2619107054114378
511984,rho_sigma,0.02373780221454202
511984,G_sigma,0.7596560509746603
511984,degree,1
511984,connected_init,0.624630209620993
511984,closed_init,0.005030553530394891
511984,cluster,0.2638316611853648
511984,exchange_rate,3.659169245216041e-05
511984,k_PR,3.738476173694765e-06
511984,Q_PR,432915.3193282922
511984,activity_mid,0.14237255676639668
511984,activity_width,0.22439805329130483
511984,PR_damaged,0.22131539107059925
511984,PR_large,0.2013279961639494
511984,PR_TJ,0.2693461057718103
511984,PR_iso,0.04020744922013254
511984,PR_closed,0.2678030577735085
511984,PR_tau,10569008.550985191
511984,k_sweep_damaged,1.4305499616603413e-09
511984,k_sweep_connected,1.354806645436271e-09
511984,sweep_exp,2.721595534773882
511984,coalescence_exp,2.0881344002180864
511984,number_loss,0.21911108097658138
511984,detachment,1.1894591532038568e-07
511984,recapture,1.3867655368551037e-05
511984,closed_transition,1.0173199360084341e-05
511984,k_closed,7.907561276231894e-05
511984,Q_closed,353642.16978413006
511984,closed_capacity,0.17689131168486502
511984,capacity_tau,19995.88036731759
511984,gas_ratio,0.9221895712224778
511984,closed_radius_exp,4.822592629230915
511984,attached_drag,124.29226274326813
511984,junction_drag,428.94464287524784
511984,XJ_prod,3.6927852283659894
511984,XJ_tau,153127.93975021876
511984,lambda_TJ,210.09638285379344
511984,K_TJ,42.06786010945088
511984,q_TJ,1
511984,pore_relax,0.23246251800873086
511984,pore_drag_fraction,0.05084082826335581
511984,stress_PR,20.04101351910209
511984,stress_shear,71.98328470548921
511984,stress_migration,99.88895338090913
511984,stress_nucleation,0.5955672509088648
511984,stress_tau,4639.35665392569
693168,N_regions,16
693168,weight_sigma,1.4051882012563102
693168,rho_sigma,0.03647849332031906
693168,G_sigma,0.39907217140042284
693168,degree,5
693168,connected_init,0.5905638802903952
693168,closed_init,0.010387004823416666
693168,cluster,0.10662032696012039
693168,exchange_rate,5.759127005192983e-10
693168,k_PR,0.0002643990730911896
693168,Q_PR,299136.7111140697
693168,activity_mid,0.5572353981055779
693168,activity_width,0.22412788443333587
693168,PR_damaged,0.39850829425304163
693168,PR_large,0.14918147767238032
693168,PR_TJ,0.16501943491061632
693168,PR_iso,0.0467095820415613
693168,PR_closed,0.24058121112240044
693168,PR_tau,27828933.56644
693168,k_sweep_damaged,0.00018948786728473558
693168,k_sweep_connected,1.178941773956047e-09
693168,sweep_exp,3.654313068516273
693168,coalescence_exp,5.981603204897138
693168,number_loss,0.40718908669459786
693168,detachment,4.077666750177799e-06
693168,recapture,3.474907080998978e-07
693168,closed_transition,0.00289055356619714
693168,k_closed,0.00022849715648473278
693168,Q_closed,273188.57154396846
693168,closed_capacity,0.9090423597991542
693168,capacity_tau,100568.30369509087
693168,gas_ratio,0.0806799286227363
693168,closed_radius_exp,3.4408530335408853
693168,attached_drag,435.6649819948529
693168,junction_drag,309.4300217087635
693168,XJ_prod,6.031050666292003
693168,XJ_tau,29568642.857113272
693168,lambda_TJ,0.5349732290916859
693168,K_TJ,48.22310857500472
693168,q_TJ,0
693168,pore_relax,0.38207875598775665
693168,pore_drag_fraction,0.5721590911316753
693168,stress_PR,93.52503328163763
