case_id,mode,rho0,G0_nm,defect_weight,defect_large_pore_factor,matrix_connected_fraction,stress_scale,tau_defect_over_matrix,peak_T_C,hold_h,fast_rate_C_min,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful,strong,tail_only,classification,numerical_censored,trajectory_gate_passed
L000,disabled_local_mixture,0.65,75.0,0.02,4.0,0.5,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L000,disabled_local_mixture,0.65,75.0,0.02,4.0,0.5,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L001,matrix_only,0.7,75.0,0.05,4.0,0.5,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L001,matrix_only,0.7,75.0,0.05,4.0,0.5,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L002,static_defect_mixture,0.75,75.0,0.1,4.0,0.5,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L002,static_defect_mixture,0.75,75.0,0.1,4.0,0.5,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L003,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L003,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L004,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L004,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L005,stress_retention_high,0.75,150.0,0.05,8.0,0.7,0.0,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L005,stress_retention_high,0.75,150.0,0.05,8.0,0.7,0.0,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L006,disabled_local_mixture,0.65,225.0,0.1,8.0,0.7,0.5,1.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L006,disabled_local_mixture,0.65,225.0,0.1,8.0,0.7,0.5,1.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L007,matrix_only,0.7,225.0,0.2,8.0,0.7,0.5,3.0,1350.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L007,matrix_only,0.7,225.0,0.2,8.0,0.7,0.5,3.0,1350.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L008,static_defect_mixture,0.75,225.0,0.02,12.0,0.7,0.5,3.0,1400.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L008,static_defect_mixture,0.75,225.0,0.02,12.0,0.7,0.5,3.0,1400.0,0.0,100.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
L009,evolving_defect_memory,0.65,75.0,0.05,12.0,0.7,0.5,3.0,1400.0,0.0,20.0,False,nan,nan,0.0,False,False,False,unattainable,False,False
