case_id,fast_rate_C_min,rho,G_mean_reference_nm,G50_reference_nm,G90_reference_nm,G_mean_fast_nm,G50_fast_nm,G90_fast_nm
L012,20.0,0.85,141.2401204111252,138.73433628301325,138.73433628301325,141.68261949939534,139.16487825158015,139.16487825158015
L012,100.0,0.85,141.2401204111252,138.73433628301325,138.73433628301325,141.6851014249942,139.18664695570226,139.18664695570226
L013,20.0,0.85,152.759425522341,152.759425522341,152.759425522341,153.53878058856918,153.53878058856918,153.53878058856918
L013,20.0,0.88,155.64513283951163,155.64513283951163,155.64513283951163,156.10768442311618,156.10768442311618,156.10768442311618
L013,100.0,0.85,152.759425522341,152.759425522341,152.759425522341,153.5446180416068,153.5446180416068,153.5446180416068
L013,100.0,0.88,155.64513283951163,155.64513283951163,155.64513283951163,156.06298687443584,156.06298687443584,156.06298687443584
L014,20.0,0.85,147.07752378498623,138.41947087220692,138.41947087220692,150.45288081007328,139.49086028282065,139.49086028282065
L014,20.0,0.88,151.5543375774835,143.3937084194261,143.3937084194261,156.10324610002067,143.7846234919169,143.7846234919169
L014,100.0,0.85,147.07752378498623,138.41947087220692,138.41947087220692,150.32888973220346,139.47331075798786,139.47331075798786
L014,100.0,0.88,151.5543375774835,143.3937084194261,143.3937084194261,155.8053805240917,143.7078030855352,143.7078030855352
L017,20.0,0.85,217.34069279411318,211.01651873064546,211.01651873064546,231.35763918258118,214.5653732477408,214.5653732477408
L017,100.0,0.85,217.34069279411318,211.01651873064546,211.01651873064546,231.3589956168118,214.88685588534312,214.88685588534312
L020,20.0,0.85,75.97685529687939,75.23148499681572,75.23148499681572,79.15528601566464,78.4747816486374,78.4747816486374
L020,20.0,0.88,82.04953094647941,81.42809280253,81.42809280253,84.70507169395108,84.13782825913377,84.13782825913377
L020,100.0,0.85,75.97685529687939,75.23148499681572,75.23148499681572,81.43852215832823,78.97423116794226,78.97423116794226
L020,100.0,0.88,82.04953094647941,81.42809280253,81.42809280253,86.98339175202537,84.63226136559241,84.63226136559241
L022,20.0,0.85,151.1967579327415,142.9963977030461,142.9963977030461,153.09284672218814,145.1031630246535,145.1031630246535
L022,100.0,0.85,151.1967579327415,142.9963977030461,142.9963977030461,159.85084229369335,145.34227593074186,145.34227593074186
L023,20.0,0.85,159.97361058489182,143.71701323111478,225.00000000000003,162.3981742248537,146.74771778106714,225.00000000000003
L023,100.0,0.85,159.97361058489182,143.71701323111478,225.00000000000003,173.00487828831055,147.04235069708855,276.8549886531985
L024,20.0,0.85,214.76220207562918,209.2849351695752,209.2849351695752,220.0341692876754,212.6826960589962,212.6826960589962
L024,20.0,0.88,224.3414859341374,216.96791683307984,216.96791683307984,228.85238071475789,219.80545862580126,219.80545862580126
