case_id,mode,path,subpopulation,t_s,rho_i,sigma_res_GBseg,sigma_res_TJ,sigma_res_large_pore
L000,disabled_local_mixture,reference,matrix_connected,14400.000000005013,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,14640.000000005231,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,14880.00000000545,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,15120.000000005668,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,15360.000000005886,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,15600.000000006105,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,15840.000000006323,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,16080.000000006541,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,16320.00000000676,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,16560.000000006978,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,16800.000000007196,0.6500000000000001,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,17040.000000007414,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,17280.000000007632,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,17520.00000000785,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,17760.00000000807,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,18000.000000008287,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,18240.000000008506,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,18480.000000008724,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,18720.000000008942,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,18960.00000000916,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,19200.00000000938,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,19440.000000009597,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,19680.000000009815,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,19920.000000010034,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,20160.000000010252,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,20400.00000001047,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,20640.00000001069,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,20880.000000010907,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,21120.000000011125,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,21360.000000011343,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,21600.00000001156,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,21840.00000001178,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,22080.000000011998,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,22320.000000012216,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,22560.000000012435,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,22800.000000012653,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,23040.00000001287,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,23280.00000001309,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,23520.000000013308,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,23760.000000013526,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,24000.000000013744,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,24240.000000013963,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,24480.00000001418,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,24720.0000000144,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,24960.000000014617,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,25200.000000014836,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,25440.000000015054,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,25680.000000015272,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,25920.00000001549,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,26160.00000001571,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,26400.000000015927,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,26640.000000016145,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,26880.000000016364,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,27120.000000016582,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,27360.0000000168,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,27600.00000001702,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,27840.000000017237,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,28080.000000017455,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,28320.000000017673,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,28560.00000001789,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,28800.00000001811,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,29040.000000018328,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,29280.000000018546,0.6499999999999999,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,29520.000000018765,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,29760.000000018983,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,30000.0000000192,0.65,0,0,0
L000,disabled_local_mixture,reference,matrix_connected,30240.00000001942,0.65,0,0,0
