case_id,fast_rate_C_min,rho,pore_D90_reference_nm,pore_D90_fast_nm,large_pore_reference,large_pore_fast,fine_reference,fine_fast
L012,20.0,0.85,51.7327110398887,51.7327110398887,0.7706318983361446,0.7361758347877877,0.18473456671073346,0.19879777226942347
L012,100.0,0.85,51.7327110398887,51.7327110398887,0.7706318983361446,0.7326067145117052,0.18473456671073346,0.20016587387951448
L013,20.0,0.85,36.04592501837457,36.04592501837457,0.7400665674051783,0.6938038057029399,0.2010159253351059,0.2191675230988231
L013,20.0,0.88,36.04592501837457,36.04592501837457,0.7756945149107206,0.7462064891439514,0.18264273216171767,0.19456087555378915
L013,100.0,0.85,36.04592501837457,36.04592501837457,0.7400665674051783,0.6887682012397085,0.2010159253351059,0.2211164073224465
L013,100.0,0.88,36.04592501837457,36.04592501837457,0.7756945149107206,0.742546782655981,0.18264273216171767,0.1960137242059026
L014,20.0,0.85,143.51888878844898,143.51888878844898,0.7478950730413356,0.6822889363210535,0.1948042517576655,0.2218393848462783
L014,20.0,0.88,205.97671439071183,205.97671439071183,0.7843534818507079,0.7415729544658965,0.1757811188434418,0.19436369517457394
L014,100.0,0.85,143.51888878844898,143.51888878844898,0.7478950730413356,0.6742239573172333,0.1948042517576655,0.22503892854764695
L014,100.0,0.88,205.97671439071183,205.97671439071183,0.7843534818507079,0.7360262811617148,0.1757811188434418,0.19661834934575734
L017,20.0,0.85,51.7327110398887,51.7327110398887,0.6713780570011683,0.6566405592443261,0.22778844762434317,0.2339644931517556
L017,100.0,0.85,51.7327110398887,51.7327110398887,0.6713780570011683,0.6556368391914642,0.22778844762434317,0.2344160389344246
L020,20.0,0.85,36.04592501837457,36.04592501837457,0.7046062679574415,0.6486372131157613,0.21595343120312757,0.2383621943125305
L020,20.0,0.88,36.04592501837457,36.04592501837457,0.739649752086062,0.6987280912588093,0.19819207743820794,0.21528465749986472
L020,100.0,0.85,36.04592501837457,36.04592501837457,0.7046062679574415,0.6446686237642835,0.21595343120312757,0.23991012818212637
