case_id,mode,rho0,G0_nm,defect_weight,defect_large_pore_factor,matrix_connected_fraction,stress_scale,tau_defect_over_matrix,peak_T_C,hold_h
L000,disabled_local_mixture,0.65,75.0,0.02,4.0,0.5,0.0,1.0,1350.0,0.0
L001,matrix_only,0.7,75.0,0.05,4.0,0.5,0.0,1.0,1350.0,0.0
L002,static_defect_mixture,0.75,75.0,0.1,4.0,0.5,0.0,1.0,1350.0,0.0
L003,evolving_defect_memory,0.65,150.0,0.2,4.0,0.5,0.0,1.0,1350.0,0.0
L004,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.02,8.0,0.5,0.0,1.0,1350.0,0.0
L005,stress_retention_high,0.75,150.0,0.05,8.0,0.7,0.0,1.0,1350.0,0.0
L006,disabled_local_mixture,0.65,225.0,0.1,8.0,0.7,0.5,1.0,1350.0,0.0
L007,matrix_only,0.7,225.0,0.2,8.0,0.7,0.5,3.0,1350.0,0.0
L008,static_defect_mixture,0.75,225.0,0.02,12.0,0.7,0.5,3.0,1400.0,0.0
L009,evolving_defect_memory,0.65,75.0,0.05,12.0,0.7,0.5,3.0,1400.0,0.0
L010,evolving_defect_memory_with_matrix_densification,0.7,75.0,0.1,12.0,0.9,0.5,3.0,1400.0,0.0
L011,stress_retention_high,0.75,75.0,0.2,12.0,0.9,0.5,3.0,1400.0,0.0
L012,disabled_local_mixture,0.65,150.0,0.02,4.0,0.9,1.0,3.0,1400.0,2.0
L013,matrix_only,0.7,150.0,0.05,4.0,0.9,1.0,3.0,1400.0,2.0
L014,static_defect_mixture,0.75,150.0,0.1,4.0,0.9,1.0,10.0,1400.0,2.0
L015,evolving_defect_memory,0.65,225.0,0.2,4.0,0.5,1.0,10.0,1400.0,2.0
L016,evolving_defect_memory_with_matrix_densification,0.7,225.0,0.02,8.0,0.5,1.0,10.0,1450.0,2.0
L017,stress_retention_high,0.75,225.0,0.05,8.0,0.5,1.0,10.0,1450.0,2.0
L018,disabled_local_mixture,0.65,75.0,0.1,8.0,0.5,2.0,10.0,1450.0,2.0
L019,matrix_only,0.7,75.0,0.2,8.0,0.5,2.0,10.0,1450.0,2.0
L020,static_defect_mixture,0.75,75.0,0.02,12.0,0.7,2.0,10.0,1450.0,2.0
L021,evolving_defect_memory,0.65,150.0,0.05,12.0,0.7,2.0,30.0,1450.0,2.0
L022,evolving_defect_memory_with_matrix_densification,0.7,150.0,0.1,12.0,0.7,2.0,30.0,1450.0,2.0
L023,stress_retention_high,0.75,150.0,0.2,12.0,0.7,2.0,30.0,1450.0,2.0
L024,disabled_local_mixture,0.65,225.0,0.02,4.0,0.7,0.0,30.0,1500.0,8.0
