topology_id,family,mode,TJ_drag_strength,pore_drag_strength,XJ_capacity,XJ_relaxation,lambda_ref,K_ref,q_TJ,pore_relax_fraction,pore_drag_fraction,XJ_prod_TJ,XJ_prod_sweep,Q_TJ_event
D0000,persistent_junction_only,persistent_junction_only,2,0,0.25,0.0001,0.1,1,0,0,0,0.25,0,280000.0
D0001,structural_q0,structural_q0,0,0,0.25,2.222222222222222e-06,30,4,0,0,0,0.5,0.25,360000.0
D0002,structural_q1,structural_q1,0,0,0.25,1e-07,13.5,12,1,0,0,1,0.5,460000.0
D0003,persistent_q0,persistent_q0,24,0,0.25,6.666666666666667e-06,4.5,2,0,0,0,2,1,320000.0
D0004,persistent_q1,persistent_q1,48,0,0.25,3.3333333333333335e-07,1.5,8,1,0,0,4,2,380000.0
D0005,pore_pinned_q0,pore_pinned_q0,0,3,0.5,2e-05,0.5,2,0,0,0.25,8,0.25,500000.0
D0006,pore_pinned_q1,pore_pinned_q1,0,80,0.5,7.407407407407407e-07,0.25,8,1,0,0.5,0.5,0.5,340000.0
D0007,pore_relaxed_q0,pore_relaxed_q0,0,0,0.5,2e-05,0.25,1,0,1,0,1,1,420000.0
D0008,pore_relaxed_q1,pore_relaxed_q1,0,0,0.5,7.407407407407407e-07,0.1,4,1,0.75,0,2,2,320000.0
D0009,mixed_q0,mixed_q0,0,30,0.5,0.0001,30,12,0,0.5,0,4,0,380000.0
D0010,mixed_q1,mixed_q1,0,10,0.75,2.222222222222222e-06,13.5,4,1,0.5,0.5,8,0.5,500000.0
D0011,persistent_junction_only,persistent_junction_only,80,0,0.75,1e-07,4.5,12,0,0,0,0.25,1,340000.0
D0012,structural_q0,structural_q0,0,0,0.75,6.666666666666667e-06,1.5,2,0,0,0,1,2,420000.0
D0013,structural_q1,structural_q1,0,0,0.75,3.3333333333333335e-07,0.5,8,1,0,0,2,0,280000.0
D0014,persistent_q0,persistent_q0,12,0,0.75,6.666666666666667e-06,0.5,1,0,0,0,4,0.25,360000.0
D0015,persistent_q1,persistent_q1,24,0,1,3.3333333333333335e-07,0.25,8,1,0,0,8,1,460000.0
D0016,pore_pinned_q0,pore_pinned_q0,0,3,1,2e-05,0.1,1,0,0,1,0.25,2,340000.0
D0017,pore_pinned_q1,pore_pinned_q1,0,80,1,7.407407407407407e-07,30,4,1,0,0,0.5,0,420000.0
D0018,pore_relaxed_q0,pore_relaxed_q0,0,0,1,0.0001,13.5,12,0,0,0,2,0.25,280000.0
D0019,pore_relaxed_q1,pore_relaxed_q1,0,0,1,2.222222222222222e-06,4.5,2,1,1,0,4,0.5,360000.0
D0020,mixed_q0,mixed_q0,0,80,1.5,1e-07,1.5,12,0,1,1,8,2,460000.0
D0021,mixed_q1,mixed_q1,0,10,1.5,2.222222222222222e-06,1.5,2,1,0.75,0,0.25,0,320000.0
D0022,persistent_junction_only,persistent_junction_only,48,0,1.5,1e-07,0.5,8,0,0,0,0.5,0.25,380000.0
D0023,structural_q0,structural_q0,0,0,1.5,6.666666666666667e-06,0.25,1,0,0,0,1,0.5,500000.0
D0024,structural_q1,structural_q1,0,0,1.5,3.3333333333333335e-07,0.1,4,1,0,0,4,1,360000.0
D0025,persistent_q0,persistent_q0,2,0,0.25,2e-05,30,1,0,0,0,8,0,460000.0
D0026,persistent_q1,persistent_q1,6,0,0.25,7.407407407407407e-07,13.5,4,1,0,0,0.25,0.25,320000.0
D0027,pore_pinned_q0,pore_pinned_q0,0,3,0.25,0.0001,4.5,12,0,0,0.5,0.5,0.5,380000.0
D0028,pore_pinned_q1,pore_pinned_q1,0,80,0.25,7.407407407407407e-07,4.5,2,1,0,0.75,1,1,500000.0
D0029,pore_relaxed_q0,pore_relaxed_q0,0,0,0.25,0.0001,1.5,8,0,0.25,0,2,2,340000.0
D0030,pore_relaxed_q1,pore_relaxed_q1,0,0,0.5,2.222222222222222e-06,0.5,2,1,0.25,0,8,0.25,420000.0
D0031,mixed_q0,mixed_q0,0,80,0.5,1e-07,0.25,8,0,0,0.5,0.25,0.5,280000.0
D0032,mixed_q1,mixed_q1,0,10,0.5,6.666666666666667e-06,0.1,1,1,1,0.75,0.5,1,380000.0
D0033,persistent_junction_only,persistent_junction_only,12,0,0.5,3.3333333333333335e-07,30,4,0,0,0,1,2,500000.0
D0034,structural_q0,structural_q0,0,0,0.5,2e-05,13.5,12,0,0,0,2,0,340000.0
D0035,structural_q1,structural_q1,0,0,0.75,3.3333333333333335e-07,13.5,4,1,0,0,4,0.5,420000.0
D0036,persistent_q0,persistent_q0,120,0,0.75,2e-05,4.5,12,0,0,0,0.25,1,280000.0
D0037,persistent_q1,persistent_q1,2,0,0.75,7.407407407407407e-07,1.5,2,1,0,0,0.5,2,360000.0
D0038,pore_pinned_q0,pore_pinned_q0,0,3,0.75,0.0001,0.5,8,0,0,0,1,0,460000.0
D0039,pore_pinned_q1,pore_pinned_q1,0,80,0.75,2.222222222222222e-06,0.25,1,1,0,0.25,2,0.25,320000.0
D0040,pore_relaxed_q0,pore_relaxed_q0,0,0,1,1e-07,0.1,8,0,0.75,0,4,1,420000.0
