material_id,topology_id,family,q_TJ,first_step_failures,n_success,lower_bracketed,upper_bracketed,T_first_success,T_last_success,window_width_C,outcome,rejection_reason
E0142,D0003,persistent_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0010,mixed_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0014,persistent_q0,0,0,7,True,True,1100,1200,100,finite_window,
E0021,D0015,persistent_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0016,pore_pinned_q0,0,0,1,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0020,mixed_q0,0,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0021,D0022,persistent_junction_only,0,0,3,True,True,1200,1250,50,finite_window,
E0142,D0026,persistent_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0028,pore_pinned_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0032,mixed_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0033,persistent_junction_only,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0036,persistent_q0,0,0,3,True,True,1200,1250,50,finite_window,
E0142,D0037,persistent_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0039,pore_pinned_q1,1,0,3,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0043,mixed_q1,1,0,1,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0044,persistent_junction_only,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0047,persistent_q0,0,0,4,True,True,1200,1250,50,finite_window,
E0021,D0048,persistent_q1,1,0,3,True,True,1200,1250,50,finite_window,
E0142,D0049,pore_pinned_q0,0,0,1,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0053,mixed_q0,0,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0054,mixed_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0055,persistent_junction_only,0,0,2,True,True,1200,1250,50,finite_window,
E0142,D0058,persistent_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0060,pore_pinned_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0064,mixed_q0,0,0,3,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0065,mixed_q1,1,0,4,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0066,persistent_junction_only,0,0,5,True,True,1100,1150,50,finite_window,
E0142,D0069,persistent_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0070,persistent_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0076,mixed_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0081,persistent_q1,1,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0082,pore_pinned_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0087,mixed_q1,1,0,4,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0091,persistent_q0,0,0,5,True,True,1100,1150,50,finite_window,
E0142,D0093,pore_pinned_q0,0,0,1,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0098,mixed_q1,1,0,3,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0099,persistent_junction_only,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0103,persistent_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0104,pore_pinned_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0114,persistent_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0115,pore_pinned_q0,0,0,4,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0116,pore_pinned_q1,1,0,1,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0021,D0120,mixed_q1,1,0,1,True,True,1200,1200,0,near_hit,isolated_success_not_window
E0142,D0124,persistent_q0,0,0,3,True,True,1100,1100,0,near_hit,isolated_success_not_window
E0142,D0126,pore_pinned_q0,0,0,2,True,True,1100,1100,0,near_hit,isolated_success_not_window
