material_id,topology_id,family,q_TJ,first_step_failures,n_success,lower_bracketed,upper_bracketed,T_first_success,T_last_success,window_width_C,outcome,rejection_reason
E0021,D0000,persistent_junction_only,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0000,persistent_junction_only,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0001,structural_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0001,structural_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0002,structural_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0002,structural_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0003,persistent_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0021,D0004,persistent_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0142,D0004,persistent_q1,1,0,14,True,False,1100,1450,350,rejected,missing_upper_boundary
E0021,D0005,pore_pinned_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0005,pore_pinned_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0006,pore_pinned_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0142,D0006,pore_pinned_q1,1,0,8,True,False,1100,1450,350,rejected,missing_upper_boundary
E0021,D0007,pore_relaxed_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0007,pore_relaxed_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0008,pore_relaxed_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0008,pore_relaxed_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0009,mixed_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0009,mixed_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0010,mixed_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0011,persistent_junction_only,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0142,D0011,persistent_junction_only,0,0,24,True,False,1100,1450,350,rejected,missing_upper_boundary
E0021,D0012,structural_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0012,structural_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0013,structural_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0013,structural_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0014,persistent_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0015,persistent_q1,1,0,20,True,False,1100,1450,350,rejected,missing_upper_boundary
E0021,D0016,pore_pinned_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0021,D0017,pore_pinned_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0017,pore_pinned_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0018,pore_relaxed_q0,0,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0018,pore_relaxed_q0,0,0,0,False,False,nan,nan,nan,rejected,no_success
E0021,D0019,pore_relaxed_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
E0142,D0019,pore_relaxed_q1,1,0,0,False,False,nan,nan,nan,rejected,no_success
E0142,D0020,mixed_q0,0,0,12,True,False,1100,1450,350,rejected,missing_upper_boundary
E0021,D0021,mixed_q1,1,0,0,False,False,nan,nan,nan,rejected,prep_growth_exceeded
