figure_id,pdf_exists,png_exists,pdf_bytes,png_bytes,has_actual_plotted_data,axes_labeled,multiline_legends_present,passed
F01,True,True,33981,1034397,True,True,True,True
F02,True,True,30241,1059158,True,True,True,True
F03,True,True,25519,707560,True,True,True,True
F04,True,True,31936,975427,True,True,True,True
F05,True,True,31329,1017990,True,True,True,True
F06,True,True,25066,704119,True,True,True,True
F07,True,True,47899,450584,True,True,True,True
F08,True,True,119831,438821,True,True,True,True
F09,True,True,29853,822766,True,True,True,True
F10,True,True,22325,456837,True,True,True,True
F11,True,True,19601,326720,True,True,True,True
F12,True,True,24246,271844,True,True,True,True
F13,True,True,21101,228599,True,True,True,True
F14,True,True,16768,142088,True,True,True,True
F15,True,True,19534,315647,True,True,True,True
F16,True,True,18334,319658,True,True,True,True
F17,True,True,32987,1207256,True,True,True,True
F18,True,True,18929,404227,True,True,True,True
