sampled_column,diagnostic_only,dynamic_influence,unused
N_regions,False,2734375000000000.0,False
weight_sigma,False,3.309493985203557,False
rho_sigma,False,3.601316360188266,False
G_sigma,False,433258745070.37665,False
degree,False,0.6666666666666666,False
connected_init,False,3.792401709244145,False
closed_init,False,1.2432432432432439,False
cluster,False,0.602957814253697,False
exchange_rate,False,0.0005664847141301758,False
k_PR,False,17328.92397979718,False
Q_PR,False,5.733327926401705,False
activity_mid,False,5.797422268201731,False
activity_width,False,3.942423024684162,False
PR_damaged,False,0.19913326908958778,False
PR_large,False,0.7965388789425124,False
PR_TJ,False,0.19913481811999292,False
PR_iso,False,0.19913481811999292,False
PR_closed,False,0.19913481811999306,False
PR_tau,False,0.005768207912999266,False
k_sweep_damaged,False,1624.8747511993856,False
k_sweep_connected,False,3162.6645162201003,False
sweep_exp,False,0.9999843546880204,False
coalescence_exp,False,0.0013340782251086483,False
number_loss,False,5.6980556062048666e-09,False
detachment,False,4785.300923226379,False
recapture,False,4800.088801285142,False
closed_transition,False,4785.300923226381,False
k_closed,False,13802.842646028841,False
Q_closed,False,14.249013323092171,False
closed_capacity,False,1.2102046239702366,False
capacity_tau,False,3.241252166087639e-09,False
gas_ratio,False,0.7301587301587301,False
closed_radius_exp,False,7.488120843706392e-07,False
attached_drag,False,8789.546772359326,False
junction_drag,False,1133177.3849348254,False
XJ_prod,False,0.015365391303787916,False
XJ_tau,False,0.3313746541016184,False
lambda_TJ,False,574.4399373371567,False
K_TJ,False,5961054551413.826,False
q_TJ,False,83759233.15486187,False
pore_relax,False,0.06377362896268571,False
pore_drag_fraction,False,8788.201367380534,False
stress_PR,False,0.006054064997996538,False
stress_shear,False,1.2371891782452464,False
stress_migration,False,0.7410248425593511,False
stress_nucleation,False,0.9810625247941992,False
stress_tau,False,0.013063915209781795,False
