model_style,G0_nm,rho0,T1_C,rho_switch,T2_C,rho_target,growth_tolerance,first_step_attained,classification,growth_fraction,first_rho,first_G_nm,first_pore_mean_radius_nm,first_removable_fine_fraction,first_large_pore_fraction,first_f_pore,first_connectivity,first_connected_coverage,first_isolated_fraction,first_activity,first_E_G,first_cumulative_redistribution,final_rho,final_G_nm,final_pore_mean_radius_nm,final_removable_fine_fraction,final_large_pore_fraction,final_f_pore,final_connectivity,final_connected_coverage,final_isolated_fraction,final_activity,final_E_G,final_cumulative_redistribution
density,75.0,0.65,1300.0,0.85,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.00033328866787474997,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.8501827591820921,169.82550002541035,53.39988842578447,0.37057528742196305,0.08734569296953895,0.32178605315771236,0.7296188477147179,0.23478116931559703,0.059098968479319336,0.1311044199990547,0.350946716766342,0.005357076948005071
density,75.0,0.65,1300.0,0.85,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.004947483748931896,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.8517586663814118,170.6088469316188,53.33334552075853,0.37246059911923235,0.08740493762072196,0.32081152242530286,0.7170049513648123,0.23002345003382568,0.0641594276806918,0.20361153901975404,0.32333242011366775,0.0032693053281318144
density,75.0,0.65,1300.0,0.85,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.04254569130981774,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.8603538770715801,176.9918539468003,53.980906178672655,0.3644485251385104,0.09113861109549133,0.3118409334503731,0.6424112098628537,0.20033011134261583,0.0995206219874051,0.28789293070297584,0.18409515071359267,0.0007623016200164872
density,75.0,0.65,1300.0,0.85,1150.0,0.9,0.05,True,MIXED_FAILURE,0.20366779875467642,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.8751492358290291,204.34537978858182,55.676567155620056,0.3417227548566991,0.10013092010388404,0.3115937576407313,0.49850764614126714,0.15533187067379342,0.20091297397696722,0.38808986234813625,0.0746248485841697,0.00011191029295655113
density,75.0,0.65,1300.0,0.85,1200.0,0.9,0.05,True,MIXED_FAILURE,0.6369594595320592,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.8899663931229476,277.90483620370316,57.72375200625104,0.31588191732018717,0.11151560023981101,0.34968788195514466,0.3546513029120327,0.12401726294794113,0.3641440288335512,0.519113037185933,0.041681179875151006,5.625015640683974e-05
density,75.0,0.65,1300.0,0.85,1250.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE,1.478150958079817,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.902933027291334,420.7130067167884,59.81448786759408,0.29165052577667516,0.12393912677362932,0.42450313438535503,0.24650853157849228,0.10464364430780125,0.5406465946450908,0.6571375441346146,0.03068240376396719,5.2788685179169624e-05
density,75.0,0.65,1300.0,0.85,1300.0,0.9,0.05,True,GRAIN_GROWTH_FAILURE,2.8050619339655043,0.850062963671556,169.76891796889396,52.80480145310487,0.38160826474965465,0.08540811075581932,0.3256634900632297,0.7305631141978205,0.23791773348112405,0.05872997576873508,0.6903589992391603,0.12496493871649011,5.257816947407745e-05,0.9133257737827514,645.9812473339507,61.74225084097581,0.27122541783983645,0.1361600702975049,0.5186721990882246,0.1775506541709853,0.0920905882484178,0.6770659948846024,0.7705882554520898,0.02576474771630872,5.258986273269592e-05
density,75.0,0.7,1300.0,0.85,1000.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.00032001781709087925,0.8500601101182574,166.4484119970077,50.508089556166624,0.4164882806834124,0.07457369459627153,0.33255049949159177,0.7305855814180132,0.24295660002191527,0.05872121268114337,0.6960738152148924,0.12296050270659678,4.147895917492111e-05,0.8501766539019746,166.50167845447322,51.13108398733494,0.4036423212221524,0.07631458258638676,0.32830541123114765,0.7296670218236223,0.23955363166161112,0.05908011063749126,0.1341842451265825,0.35498842877913295,0.005844809476542419
density,75.0,0.7,1300.0,0.85,1050.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.00482889557513756,0.8500601101182574,166.4484119970077,50.508089556166624,0.4164882806834124,0.07457369459627153,0.33255049949159177,0.7305855814180132,0.24295660002191527,0.05872121268114337,0.6960738152148924,0.12296050270659678,4.147895917492111e-05,0.8517329797661463,167.25217399718872,51.04915822847544,0.40607887880422394,0.07636156756460026,0.32745171886260027,0.717213386536417,0.23485275621261628,0.06407379754672717,0.20804265303896036,0.32662692656099146,0.0036153341732043293
density,75.0,0.7,1300.0,0.85,1100.0,0.9,0.05,True,DENSIFICATION_EXHAUSTION_FAILURE,0.04265864460594969,0.8500601101182574,166.4484119970077,50.508089556166624,0.4164882806834124,0.07457369459627153,0.33255049949159177,0.7305855814180132,0.24295660002191527,0.05872121268114337,0.6960738152148924,0.12296050270659678,4.147895917492111e-05,0.8604215938306045,173.54887564961274,51.64666662824692,0.39843656137426087,0.07968876288194106,0.3185185700238914,0.6417887369528238,0.20442163075165282,0.09985827047560128,0.29363300299207695,0.18449227464291673,0.0008456559462383346
