model_style,G0_nm,rho0,matched_density,history_heating_rate_C_min,history_reached,followup_T_C,history_time_budget_h,followup_time_budget_h,followup_delta_rho,followup_growth_fraction,followup_initial_rho_dot,followup_initial_dGdt_nm_s,matched_rho,matched_G_nm,matched_pore_mean_radius_nm,matched_removable_fine_fraction,matched_large_pore_fraction,matched_f_pore,matched_connectivity,matched_connected_coverage,matched_isolated_fraction,matched_activity,matched_E_G,matched_cumulative_redistribution,followup_rho,followup_G_nm,followup_pore_mean_radius_nm,followup_removable_fine_fraction,followup_large_pore_fraction,followup_f_pore,followup_connectivity,followup_connected_coverage,followup_isolated_fraction,followup_activity,followup_E_G,followup_cumulative_redistribution
density,75.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.09952488171150031,2.1053895195741084,2.0659335446283707e-06,0.0010262490953834396,0.8007075575981218,135.10347297135723,58.66606828589077,0.26738705018962716,0.09346413107457864,0.2988946570879689,0.951279020847186,0.2843322167310985,0.004004807963555061,0.6672756096052977,0.19006287794319052,0.22516550111986952,0.9002324393096222,419.5489090233166,68.09773734961495,0.1939149400122019,0.16075779205876684,0.37605247721331125,0.2671173394748332,0.10045013721614003,0.5032282788843938,0.6290656450243571,0.032392204050431854,0.22517374598682208
density,75.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10160384243095899,1.5510276068952817,3.062962493762225e-06,0.0004224903891304923,0.8007489073763522,158.783249421158,46.738267465541355,0.478009139350783,0.05809197272011667,0.42413994816932754,0.9512023056709243,0.4034428966258107,0.004013981452578239,0.8892983220994057,0.236514477828607,0.002955519182651568,0.9023527498073112,405.0604527859133,57.27077223911019,0.3204996064344251,0.10863501434200874,0.4292821329438916,0.2508451303997077,0.10768333261657514,0.5326306369200614,0.6600795504359367,0.031152782675962883,0.002969907843026413
density,75.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.051985372642626926,1.3679031401432924,9.32500828932705e-07,0.0009236936476887839,0.8500436821790744,187.5362136423166,62.440549999996115,0.2335419708372927,0.11747142178002558,0.29331194689694273,0.7307149024595025,0.2143274106670063,0.058670787325903924,0.7205413172630573,0.10352897980961083,0.2251657258348654,0.9020290548217014,444.06758917422485,68.36028919404883,0.1923112364294136,0.16296411867605315,0.38631685231628843,0.25328614546368067,0.09784870645085467,0.5281515132057131,0.6348304855372173,0.03133590409530056,0.22516582086138368
density,75.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.05336619469268067,1.0749888270763432,1.4070156288293757e-06,0.0005135058337117373,0.8507489073763523,207.0136751640512,50.71439768530023,0.4119721309716556,0.07517098084026375,0.3921882621861298,0.7251282090268893,0.28438677216039643,0.06087238152231807,0.8787086210100901,0.12648654764839312,0.0029555192716186553,0.904115102069033,429.55106301741773,57.57109275437718,0.31679738883952574,0.1103328738509076,0.4404870395591799,0.2378317061647058,0.10476178416180001,0.5569065562749976,0.6652797419039982,0.030336940446907542,0.0029557104232048005
density,150.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.100591865752654,1.6510157937868846,2.6854206318362576e-06,0.0005898410466817265,0.8002480442534667,160.48125047593425,57.93282696102573,0.27561385605295946,0.09011036887961359,0.3488236916798436,0.9521238763062488,0.33212336546966853,0.0039042591969848115,0.6731867600554802,0.6001766938981801,0.21348208273656258,0.9008399100061207,425.4383296183707,67.4885966821487,0.19846754970604824,0.15666630727434525,0.3816068688722756,0.26238746128584484,0.10012885753263667,0.5116633006089113,0.6323821418775892,0.0320784042101119,0.21348926955521844
density,150.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10215223377409521,1.3303218193482913,3.3775932729811223e-06,0.00031025852125433467,0.8006235182730059,176.2667913043383,46.721259256807066,0.478391270626806,0.05804391130706865,0.4584365361167745,0.951434584358486,0.4361723751950074,0.003986228051388601,0.8960986768633702,0.41476853458174673,0.0027734081718045842,0.9027757520471011,410.75834980301124,57.33416530834011,0.31977886248075577,0.10901348867595935,0.4320019662740615,0.2476788993354077,0.10699777151749147,0.5384758947836281,0.6613594960116809,0.03098006718815827,0.0027863247648434544
density,150.0,0.7,0.85,0.2,True,1250.0,126.75,96.0,0.05178316219704482,1.3135766438129124,9.761907630305806e-07,0.0008614918559239075,0.850447142180101,192.19339873700724,61.77134463611821,0.2398739732001679,0.1138998870538298,0.3018949610731704,0.7275275407081812,0.21963689858175572,0.05992101919447959,0.7027232336926362,0.13497337435514317,0.21348288377349703,0.9022303043771458,444.65415841296203,67.69295558138921,0.19717993250483695,0.1583476096476947,0.3896479725425832,0.251766659989015,0.09810036861853759,0.5309368795574179,0.6368268579693716,0.031252177219415166,0.21348297822294474
density,150.0,0.7,0.85,20.0,True,1250.0,9.1875,96.0,0.0536434501120181,1.0276426011697322,1.474860092058577e-06,0.0004734228701524839,0.850623518273006,212.96433861160938,50.69348677416535,0.41237789631387983,0.07509677226117899,0.40123252454688885,0.7261267680641474,0.2913456762914511,0.06047536921320134,0.8809746110319084,0.1506154580938421,0.0027734082525429195,0.9042669683850241,431.81556549883527,57.589481040264154,0.3166331820657094,0.11045773871583306,0.44158813840501254,0.23673232157187385,0.10453818518322057,0.5589874771571263,0.6657874191931704,0.03030809773919331,0.0027735963501662316
density,300.0,0.7,0.8,0.2,True,1250.0,126.75,96.0,0.10453001239327875,0.6151210275673313,4.213391508423856e-06,0.00015413540786904858,0.8003353169553228,301.8885400435112,57.339146794664806,0.28260601041387695,0.08756249782714631,0.5579686373561323,0.9519644953581969,0.5311663322864313,0.00392316045282686,0.7414493256250895,7.978456999676952,0.20346185978543413,0.9048653293486015,487.5865290058773,67.4956424298663,0.19913822844225348,0.15761634436771216,0.41088969682398335,0.23243488875078622,0.09550510097012685,0.5671655894828593,0.6482568144384486,0.03162824200549389,0.2034653269628559
density,300.0,0.7,0.8,20.0,True,1250.0,9.1875,96.0,0.10575372354365908,0.5461131265109352,4.368245534725533e-06,0.00011966778348513084,0.8007334311820884,304.60885794919085,46.72168689011254,0.47844691442999393,0.058061154673325614,0.6533032414910335,0.9512310316644467,0.6214423163932429,0.004010545595567424,0.9222361502067532,4.054444697642191,0.0026345206674079366,0.9064871547257475,470.95975372674883,57.96777902183261,0.31213974970812736,0.1126575134097921,0.46008507272663735,0.22106235459797924,0.10170748949233298,0.5891366505047563,0.6741047207659223,0.03123866139270306,0.002641960208858218
