model_style,G0_nm,rho0,heating_rate_C_min,target_density,reached_target,HR_pct_vs_slow,time_to_target_h,G_at_target_nm,pore_mean_radius_nm,large_pore_fraction,removable_fine_pore_fraction,f_pore,isolated_pore_fraction,cumulative_redistributed_pore_volume,E_G,peak_rho,peak_G_nm,peak_connected_coverage,final_rho,final_G_nm,final_connected_coverage
density,50.0,0.65,0.2,0.9,True,0.0,118.40984034347971,523.1730068011619,70.23917896171179,0.17944845487181957,0.18151969649340488,0.4349014900967451,0.49999999910054443,0.26154821523849014,0.027790161487571803,0.9009999393857356,542.4664658786936,0.11560477578694266,0.9135538430042165,863.0673141431148,0.09614054503269773
density,50.0,0.65,5.0,0.9,True,5.597563470601956,9.431156860445224,493.8880656844102,59.78409540812788,0.12253784860957423,0.28871298587362226,0.48629917459322286,0.4999999980956603,0.013763787174854606,0.03236378057516965,0.6970526029014826,104.38204787807825,0.4407690493727304,0.9079386706556742,642.4200497185711,0.11419381886361323
density,50.0,0.65,20.0,0.9,True,5.958536514097964,6.015621072240258,491.9995521590105,59.438376428748676,0.12130531408601945,0.294901632751225,0.4881026856577724,0.4999999981116426,0.0034753982281253036,0.032357101821311234,0.658919339611352,72.86666655793968,0.37788647248750357,0.9076923381569384,634.4525818019979,0.1150494073020698
density,50.0,0.7,0.2,0.9,True,0.0,118.25916345748955,514.9279722589131,68.07977103316468,0.16055361207181545,0.19397207598412192,0.44031335044771813,0.4999999989604921,0.2253673860022806,0.027751018692626323,0.901394149831841,541.7475076669546,0.11649418075509411,0.9137192782499413,856.3546530251016,0.09700936404892936
density,50.0,0.7,5.0,0.9,True,5.895109409387646,9.262628207006589,484.5724049147089,57.274612665188414,0.10763886723980712,0.31748137635956397,0.49585551344083206,0.49999999908456116,0.011975594200568943,0.03247245159353741,0.7358368694733981,109.73079089943882,0.41294319290974896,0.9082590157927538,636.9197875902331,0.11556466628070935
density,50.0,0.7,20.0,0.9,True,6.296225424197795,5.84394272380057,482.50694635324123,56.89747235031653,0.10648111568326589,0.32497705047470526,0.4979101840711872,0.5000000009134028,0.003025181480043494,0.03247363066143763,0.7062092347162774,75.34525160532606,0.34468040002900346,0.9080260027346693,628.9967615380071,0.11645616266073028
density,50.0,0.75,0.2,0.9,True,0.0,118.04575057982063,502.1335622912704,64.84453201698308,0.13569740997620963,0.2160645128534961,0.4492580755056695,0.5000000006715225,0.1787875930605447,0.02769931235461664,0.9019417609614928,539.2160290482401,0.11806361672436805,0.9139587143279622,844.7564068797391,0.09842206659710365
density,50.0,0.75,5.0,0.9,True,5.666153714451008,9.06071605765384,473.6819027999984,54.37307052099939,0.09198503041873281,0.35508547163846854,0.5073954385506971,0.5000000015089349,0.009453416924494843,0.0326219800340497,0.7746508482790103,115.68790673182113,0.3771337323530643,0.9086631410372398,630.7772808111097,0.1171386188300734
density,50.0,0.75,20.0,0.9,True,6.077647200795118,5.639306325820197,471.6156558984222,53.9913823804996,0.09099457038695401,0.3634937291863248,0.5095525620514192,0.49999999901764286,0.0023876030818310123,0.03263394513197981,0.7538926817736741,78.20656781163672,0.3058208428742495,0.9084993557126929,624.3372864154213,0.11791713768264127
density,75.0,0.65,0.2,0.9,True,0.0,118.34988439973537,521.9364911409838,70.07354736432458,0.17818814637885566,0.18261698029071477,0.4350557132534116,0.49999999981223603,0.2582409121345716,0.02774378351060662,0.9012859534080533,546.9408550766346,0.11526625360808838,0.9136430988677559,864.9758015337385,0.09609085471908597
