model_style,G0_nm,rho0,heating_rate_C_min,t_h,T_C,rho,G_nm,rho_dot,dGdt_nm_s,connected_coverage,activity,E_G
density,75.0,0.7,0.2,0.0,25.0,0.7,75.00000000000001,7.184783627640577e-120,8.165750621811704e-112,0.3515925751492917,4.2739245571456e-17,7.184783627640577e-90
density,75.0,0.7,0.2,0.5,31.0,0.6999999999999998,75.00000000000001,5.775132125948993e-117,4.631964067820842e-109,0.3515925746915221,7.57438615196099e-17,5.775132125948992e-87
density,75.0,0.7,0.2,1.0,37.0,0.6999999999999997,75.00000000000001,3.5619462472960784e-114,2.0434709465911249e-106,0.35159257414121353,1.3130300226729152e-16,3.561946247296078e-84
density,75.0,0.7,0.2,1.5,43.0,0.6999999999999997,75.00000000000001,1.7114582149556007e-111,7.11293433550125e-104,0.35159257348039374,2.2293037547580184e-16,1.7114582149556005e-81
density,75.0,0.7,0.2,2.0,49.0,0.6999999999999997,75.00000000000001,6.496584743346956e-109,1.979629515962258e-101,0.35159257268775185,3.711577693077694e-16,6.496584743346955e-79
density,75.0,0.7,0.2,2.5,55.0,0.6999999999999997,75.00000000000001,1.9737175813838702e-106,4.459939888801591e-99,0.3515925717380469,6.066576632845723e-16,1.97371758138387e-76
density,75.0,0.7,0.2,3.05,61.6,0.6999999999999997,75.00000000000001,8.330529192502374e-104,1.3716800419828683e-96,0.3515925704761703,1.0209362235858839e-15,8.330529192502373e-74
density,75.0,0.7,0.2,3.55,67.6,0.6999999999999997,75.00000000000001,1.647275276656575e-101,2.0558920607129112e-94,0.35159256909294606,1.6111536215871683e-15,1.647275276656575e-71
density,75.0,0.7,0.2,4.05,73.6,0.6999999999999997,75.00000000000001,2.6990330670577202e-99,2.5778704316315882e-92,0.35159256744133227,2.5046864448907514e-15,2.69903306705772e-69
density,75.0,0.7,0.2,4.55,79.6,0.7,75.00000000000001,3.699898205836463e-97,2.72906412382692e-90,0.35159256547144285,3.840102818963015e-15,3.6998982058364624e-67
density,75.0,0.7,0.2,5.05,85.6,0.7,75.00000000000001,4.281753094729825e-95,2.460201649960004e-88,0.35159256312455306,5.813448527717223e-15,4.281753094729825e-65
density,75.0,0.7,0.2,5.55,91.60000000000001,0.7,75.00000000000001,4.218491208474279e-93,1.90370714658636e-86,0.3515925603316166,8.701750909445173e-15,4.2184912084742785e-63
density,75.0,0.7,0.2,6.1,98.2,0.7,75.00000000000001,5.512993458476136e-91,1.9246389363854282e-84,0.35159255664702194,1.3409039421010664e-14,5.5129934584761355e-61
density,75.0,0.7,0.2,6.6,104.2,0.6999999999999997,75.00000000000001,3.971947659318218e-89,1.1066310826072767e-82,0.3515925526366561,1.9700482794903342e-14,3.971947659318218e-59
density,75.0,0.7,0.2,7.1,110.2,0.6999999999999995,75.00000000000001,2.4924558377200672e-87,5.58124347555475e-81,0.3515925478804949,2.877270110440316e-14,2.492455837720067e-57
