model_style,matched_density,G0_a_nm,G0_b_nm,history_rate_a,history_rate_b,coverage_difference,G1_difference_nm,delta_rho_difference,growth_fraction_difference
density,0.8,75.0,150.0,20.0,20.0,0.032729478569196724,17.483541883180322,0.0005483913431362231,0.22070578754699044
density,0.8,150.0,300.0,20.0,0.2,0.09499395709142389,125.62174873917292,0.002377778619183535,0.71520079178096
density,0.85,75.0,150.0,0.2,0.2,0.005309487914749417,4.657185094690647,0.0002022104455821072,0.05432649633038
density,0.85,150.0,300.0,20.0,0.2,0.030302773086144097,92.8824614018987,0.0016635932330283376,0.40726089340580085
connectivity,0.8,75.0,150.0,0.2,0.2,0.020737302070900743,35.59337149892889,0.00011198541860424349,0.5734003308068654
connectivity,0.8,150.0,300.0,20.0,0.2,0.09387086378505544,125.63503128292649,0.0020385204658286415,0.7125292499468754
connectivity,0.85,75.0,150.0,20.0,20.0,0.006972620391941631,5.927699899855469,0.00039406833482513726,0.04605793049108087
connectivity,0.85,150.0,300.0,20.0,0.2,0.030162406794579155,92.88265613957509,0.0016688744019378587,0.4047524483448395
hybrid_topology,0.8,75.0,150.0,20.0,20.0,0.03237551503838293,17.532213175494206,0.0006234607944951565,0.220688170173019
hybrid_topology,0.8,150.0,300.0,20.0,0.2,0.12797562007020286,125.39146065069411,0.0026391387831911084,0.7384606163820946
hybrid_topology,0.85,75.0,150.0,0.2,0.2,0.005733608819777358,13.15644211167006,0.0002510423809768403,0.10596669715760298
hybrid_topology,0.85,150.0,300.0,20.0,0.2,0.05190905016092279,92.10272906315095,0.0021677310832055596,0.4287643166170845
