material_id,topology_id,family,q_TJ,G0_nm,G1_nm,prep_growth_fraction,T1_C,rho_switch,T2_C,rho1,rho2,growth_fraction,X_J,Lambda_over_K,migration_factor,numerical_censored,classification
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,900,0.8000576079465108,0.8002479025812332,0.000262311032456,0.7499937667549884,0.000155372344685,0.0446537964191808,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,950,0.8000576079465108,0.8012905582009799,0.0011286506584267,0.7499937536897705,0.0005934980119584,0.0446537964191808,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1000,0.8000576079465108,0.806873270845829,0.0043722058620448,0.7499936397609342,0.0020355968403544,0.0446537964191808,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1050,0.8000576079465108,0.8313842197618037,0.0160668909403005,0.749992905489522,0.0063065181724179,0.0446537964191808,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1100,0.8000576079465108,0.9046950407258868,0.0666729488878863,0.7499885605028648,0.0173271628486317,0.0446537964191808,False,SUCCESS
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1150,0.8000576079465108,0.987294169204648,0.5080466181211019,0.7499568983308974,0.0328200499319673,0.0446537964191808,False,GRAIN_GROWTH_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1200,0.8000576079465108,0.9950435291593968,0.7935527495469871,0.7499528444518667,0.0693595612343248,0.0446537964191808,False,GRAIN_GROWTH_FAILURE
E0142,D0039,pore_pinned_q1,1,300,302.72998353894644,0.0090999451298212,1300,0.8,1250,0.8000576079465108,0.9950189403573833,0.6327942808963287,0.7499704539506343,0.1806452062581462,0.0446537964191808,False,GRAIN_GROWTH_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,900,0.8000555378382933,0.8002375851915028,6.646770064248255e-05,0.7499937815229012,7.822418357432526e-05,0.0446533407217623,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,950,0.8000555378382933,0.8012372767051826,0.0002860536561302,0.7499937612912243,0.0002989968720422,0.0446533407217623,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,1000,0.8000555378382933,0.8066026460858939,0.001108840927255,0.7499936422928588,0.0010279799421704,0.0446533407217623,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,1050,0.8000555378382933,0.8302652751678923,0.0040816348218235,0.7499929275641762,0.0032122834861967,0.0446533407217623,False,DENSIFICATION_EXHAUSTION_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,1100,0.8000555378382933,0.901946517584444,0.0170458061837871,0.7499887660864379,0.0091462666198957,0.0446533407217623,False,SUCCESS
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,1150,0.8000555378382933,0.9859214207698986,0.1424304590500982,0.7499587461263058,0.0218077669492075,0.0446533407217623,False,GRAIN_GROWTH_FAILURE
E0142,D0039,pore_pinned_q1,1,600,601.413239320839,0.0023553988680649,1300,0.8,1200,0.8000555378382933,0.9950685775330564,0.2614322842226436,0.7499516705808305,0.0495379555735826,0.0446533407217623,False,GRAIN_GROWTH_FAILURE
