material_id,mode,rate_C_min,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,rho_dot,G_dot,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
E0021,full,1,0.0,25.0,0.7,50.0,172823517.61956906,1036941105717.4144,25923.527642935358,0.9998333611106475,5.336447397662389e-15,2.7002497871494853e-11,0.0,29.7216732673867,85.73214099741126,1.3836260167713135
E0021,full,1,0.6666666666666666,65.0,0.7000000000128075,50.00000006480599,172823517.61956906,1036941105717.4144,25923.52771013535,0.9998333611106475,5.336447397392653e-15,2.7002497836496383e-11,3.484446043816733e-21,29.7216732673867,85.73214099741126,1.3836260167013767
E0021,full,1,1.3333333333333333,105.0,0.7000000000256148,50.000000129611976,172823517.61956906,1036941105717.4144,25923.527777335345,0.9998333611106475,5.336447397122921e-15,2.700249780149791e-11,6.968892087606098e-21,29.7216732673867,85.73214099741126,1.3836260166314411
E0021,full,1,2.0,145.0,0.7000000000384223,50.000000194417964,172823517.61956906,1036941105717.4144,25923.527844535336,0.9998333611106475,5.3364473968531856e-15,2.700249776649944e-11,1.0453338131368098e-20,29.7216732673867,85.73214099741126,1.3836260165615046
E0021,full,1,2.6666666666666665,185.0,0.7000000000679834,50.00000025922395,172823517.61956906,66497586128.46616,25923.52791173533,0.9974077937823113,8.301286797236401e-14,2.7002497731500968e-11,4.070277921491603e-20,29.7216732673867,85.73214099741126,1.3836260164000846
E0021,full,1,3.3333333333333335,225.0,0.7000000014775742,50.00000032402993,172823517.61956906,1496121297.627029,25923.527978935323,0.8964490427516646,3.316118075787997e-12,2.7002497696502497e-11,7.676619644514398e-17,29.7216732673867,85.73214099741126,1.3836260087029053
E0021,full,1,4.0,265.0,0.7000000259967776,50.00000038883592,172823517.61956906,59168596.02202636,25923.528046135318,0.2551289558009321,2.3853763986500052e-11,2.7002497661504027e-11,1.686286839645317e-14,29.7216732673867,85.73214099741126,1.3836258748139065
E0021,full,1,4.666666666666667,305.0,0.7000000930378667,50.00000045364191,172823517.61956906,3658768.836770532,25923.52811333531,0.020875472960767208,3.135549352299755e-11,2.7002497626505556e-11,1.1318415370492982e-13,29.7216732673867,85.73214099741126,1.383625508730851
E0021,full,1,5.333333333333333,345.0,0.7000001690934835,50.0000005184479,172823517.61956906,324350.0843745992,25923.5281805353,0.0020226710408252457,3.195922624500696e-11,2.700249759150709e-11,2.3606644778209567e-13,29.7216732673867,85.73214099741126,1.383625093423265
E0021,full,1,6.0,385.0,0.7000002458637997,50.000000583253886,172823517.61956906,38601.63121155669,25923.528247735296,0.0003732193298165963,3.2012038588034666e-11,2.7002497556508615e-11,3.6126353386863747e-13,29.7216732673867,85.73214099741126,1.383624674213011
