sample,all_reached,HR_pct,TS_pct,median_E_G,combined_score,Q_growth_kJ,Q_nucleation_kJ,pore_drag_resistance,tl_drag_resistance,connectivity_rho_mid
5,True,-7.345320034021185,14.97602210558775,7.269092935957394,-0.07622709806379113,446.2721551489796,419.0549288166188,4.432842885091471,2.95576731463842,0.8977593931130434
4,True,-5.675292839560957,11.738326352425178,1.2853807179973922,-4.389912121563565,451.1635740153423,434.0954562146402,9.957181100207672,0.7492579323682568,0.8906304500220807
0,True,-6.450343467465089,11.534490574644856,0.08687184132872613,-6.363471626136363,410.0,435.0,3.0,2.0,0.875
3,True,-15.530234202539383,17.381293135303853,1.1687041589501717,-14.36153004358921,437.2476637316469,425.1430260507933,2.523034590489962,1.5167783066740335,0.8923163904564212
1,False,-1.9194917509629437,nan,0.08590952840586258,-1000000000.0,421.53887367987454,458.4014466271207,8.965896665438436,1.404592849944431,0.8883053718898977
2,False,-1.650293080723267,nan,0.08134922994771393,-1000000000.0,434.29539067903886,449.68298343342985,0.8554496613216067,0.679710743685711,0.8692085552272149
6,False,-2.510500379871866,nan,0.044901476567903824,-1000000000.0,399.70070066431555,442.39780103720744,7.226821504059665,3.685766490335258,0.8654599764979163
7,False,nan,nan,0.038231576851551125,-1000000000.0,390.730469789432,466.3865628207029,2.338396570045216,9.899002167330162,0.8570803570310067
8,False,nan,nan,0.09554768711794312,-1000000000.0,441.8542976573645,458.8026873049453,8.016227371730727,0.6628285091260598,0.8686096420778717
9,False,-1.9573201132600062,nan,0.0386535566965949,-1000000000.0,388.6168295352277,455.12209001431785,1.6810091721958234,8.941415211058407,0.8687414506748605
10,False,-1.9893390266101985,nan,0.15333820439082624,-1000000000.0,439.2062447246987,462.0673205280861,1.2210568334986314,2.9388671134267907,0.8978696090163923
11,False,-2.125938435897238,nan,0.054194612375029386,-1000000000.0,421.88424391311145,431.58246907209394,1.3202021340324601,5.543239347272567,0.8596373750818977
