G0_nm,T_C,rho_final,activity_median,E_G_median
50,1150,0.8314644235762283,0.26087045929631003,0.004316061574317665
50,1250,0.8578517096540632,0.6081796864080218,0.05064908335823298
50,1350,0.8959023085106751,0.8008948390935268,0.04122296486370669
100,1150,0.8364166153728718,0.40341271979149795,0.0890805407869459
100,1250,0.8639554806637249,0.6284024071605034,0.07919926059837853
100,1350,0.8965117248620729,0.8078451203005659,0.04563384938691989
250,1150,0.8482704723095629,0.5418485858242261,4.487133823422226
250,1250,0.8824407338521186,0.6982112709358121,0.6399083019043365
250,1350,0.9000038968223156,0.8251124942552058,0.057104254641952824
500,1150,0.8517182657898206,0.6163253593187707,12.172680199330895
500,1250,0.8914474232273144,0.7638312997122136,2.0907339476729883
500,1350,0.9000799255768399,0.8648907878401638,0.954864621336425
