figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,metric,value,count_evidence,interpretation
Figure 7,counts,,diagnostic,final_synthesis,results/final_mechanism_synthesis_and_property_windows/source_tables/surrogate_vs_exact_comparison.csv,saved screening/exact counts,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Surrogate rows are not final evidence.,surrogate_both,19880.0,surrogate_screen,promotion tool only
Figure 7,counts,,diagnostic,final_synthesis,results/final_mechanism_synthesis_and_property_windows/source_tables/surrogate_vs_exact_comparison.csv,saved screening/exact counts,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Surrogate rows are not final evidence.,exact_both,73.0,exact,final classification
Figure 7,counts,,diagnostic,final_synthesis,results/final_mechanism_synthesis_and_property_windows/source_tables/surrogate_vs_exact_comparison.csv,saved screening/exact counts,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Surrogate rows are not final evidence.,overprediction_factor,272.32876712328766,derived,surrogate_both/exact_both
