figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,surrogate_predicted_class,exact_class,count,pass_fail_reason,false_positive_reason
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,both_pass,both_pass,68,agreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,both_pass,fast_only,353,surrogate/exact disagreement,one or both exact trajectory rules fail
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,both_pass,neither,298,surrogate/exact disagreement,one or both exact trajectory rules fail
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,both_pass,two_step_only,5,surrogate/exact disagreement,one or both exact trajectory rules fail
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,fast_only,both_pass,2,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,fast_only,fast_only,132,agreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,fast_only,neither,450,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,fast_only,two_step_only,26,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,neither,neither,476,agreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,neither,two_step_only,78,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,two_step_only,both_pass,3,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,two_step_only,neither,2,surrogate/exact disagreement,not_applicable
Figure 7,confusion,,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Only promoted rows have an exact class; screening is not treated as evidence.,two_step_only,two_step_only,10,agreement,not_applicable
