T1_C,switch_density,hold_h,failure_class,count
1250,0.75,20,low_T2_excess_power_PR_loss,1
1250,0.75,20,low_T2_nucleation_or_sink_limited,1
1250,0.75,40,low_T2_excess_power_PR_loss,1
1250,0.75,40,low_T2_nucleation_or_sink_limited,1
1250,0.85,20,first_step_overgrown,2
1250,0.85,40,first_step_overgrown,2
1250,0.9,20,first_step_overgrown,2
1250,0.9,40,first_step_overgrown,2
1350,0.75,20,high_T2_pore_coarsening_pin_loss,2
1350,0.75,20,low_T2_excess_power_PR_loss,1
1350,0.75,20,low_T2_nucleation_or_sink_limited,1
1350,0.75,40,high_T2_pore_coarsening_pin_loss,2
1350,0.75,40,low_T2_excess_power_PR_loss,1
1350,0.75,40,low_T2_nucleation_or_sink_limited,1
1350,0.85,20,first_step_overgrown,4
1350,0.85,40,first_step_overgrown,4
1350,0.9,20,first_step_overgrown,4
1350,0.9,40,first_step_overgrown,4
1450,0.75,20,high_T2_pore_coarsening_pin_loss,2
1450,0.75,20,low_T2_excess_power_PR_loss,1
1450,0.75,20,low_T2_nucleation_or_sink_limited,1
1450,0.75,40,high_T2_pore_coarsening_pin_loss,2
1450,0.75,40,low_T2_excess_power_PR_loss,1
1450,0.75,40,low_T2_nucleation_or_sink_limited,1
1450,0.85,20,first_step_overgrown,4
1450,0.85,40,first_step_overgrown,4
1450,0.9,20,first_step_overgrown,4
1450,0.9,40,first_step_overgrown,4
1500,0.75,20,high_T2_pore_coarsening_pin_loss,2
1500,0.75,20,low_T2_excess_power_PR_loss,1
1500,0.75,20,low_T2_nucleation_or_sink_limited,1
1500,0.75,40,high_T2_pore_coarsening_pin_loss,2
1500,0.75,40,low_T2_excess_power_PR_loss,1
1500,0.75,40,low_T2_nucleation_or_sink_limited,1
1500,0.85,20,first_step_overgrown,4
1500,0.85,40,first_step_overgrown,4
1500,0.9,20,first_step_overgrown,4
1500,0.9,40,first_step_overgrown,4
