objective_mode,T_C,target_rho,model_rho,residual
endpoint_only,950,0.652,0.4841793081202085,-0.16782069187979154
endpoint_only,1050,0.675,0.4868239246962385,-0.18817607530376157
endpoint_only,1150,0.721,0.5104422047658599,-0.2105577952341401
endpoint_only,1200,0.769,0.5432259937060342,-0.22577400629396582
endpoint_only,1250,0.821,0.6098137984602825,-0.21118620153971746
endpoint_only,1300,0.925,0.7213991746567445,-0.20360082534325552
endpoint_only,1350,0.948,0.8411447010648568,-0.10685529893514312
endpoint_only,1500,0.975,0.9753766535446389,0.0003766535446388941
density_curve_only,950,0.652,0.48480350306855335,-0.16719649693144667
density_curve_only,1050,0.675,0.4996099662189591,-0.17539003378104095
density_curve_only,1150,0.721,0.5895316926826019,-0.13146830731739811
density_curve_only,1200,0.769,0.687073219444135,-0.081926780555865
density_curve_only,1250,0.821,0.8111741932587553,-0.00982580674124467
density_curve_only,1300,0.925,0.9221040447720135,-0.0028959552279865797
density_curve_only,1350,0.948,0.9801130575032366,0.032113057503236675
density_curve_only,1500,0.975,0.9997684119681203,0.024768411968120296
density_plus_grain_endpoint,950,0.652,0.48480350306855335,-0.16719649693144667
density_plus_grain_endpoint,1050,0.675,0.4996099662189591,-0.17539003378104095
density_plus_grain_endpoint,1150,0.721,0.5895316926826019,-0.13146830731739811
density_plus_grain_endpoint,1200,0.769,0.687073219444135,-0.081926780555865
density_plus_grain_endpoint,1250,0.821,0.8111741932587553,-0.00982580674124467
density_plus_grain_endpoint,1300,0.925,0.9221040447720135,-0.0028959552279865797
density_plus_grain_endpoint,1350,0.948,0.9801130575032366,0.032113057503236675
density_plus_grain_endpoint,1500,0.975,0.9997684119681203,0.024768411968120296
