parameter,level,value,integration_complete,CS_rho,CS_G_um,rate50_rho,rate50_G_um,two_rho,two_G_um
C_PR,0.1x,0.1,True,0.9753773102598089,2.140677640221636,0.8875608820301022,0.5599621703154186,0.9121755247315737,0.7735565287337987
C_PR,0.3x,0.3,True,0.9753772172155019,2.140677809898432,0.8875607514488809,0.5599618444825006,0.9121753934303157,0.7735604210081499
C_PR,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
C_PR,3x,3.0,True,0.9753759622460315,2.14068009597224,0.8875591237132601,0.5599579197677601,0.9121736219604453,0.7736129226524241
C_PR,10x,10.0,True,0.9753727183855578,2.1406859834088894,0.8875549022663309,0.5599477391461553,0.9121690387514687,0.7737486571390771
tau_remove0,0.1x,0.1,True,0.9999327744885804,2.195944982970694,0.9950955870770353,0.694475909297703,0.9964850764685481,0.7635380063206254
tau_remove0,0.3x,0.3,True,0.9984815748821559,2.195803993062837,0.9684840265073579,0.6942262234519929,0.9783434543393881,0.8015080119958645
tau_remove0,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
tau_remove0,3x,3.0,True,0.9394583727227068,1.3652219485365724,0.7710045210867196,0.30043362727378703,0.8767396459403236,0.6289298905557652
tau_remove0,10x,10.0,True,0.8687942266397833,0.6387935775916327,0.627571017709527,0.1869077839986152,0.8582891373328829,0.5986011446124665
rho_close_mid,0.84,0.84,True,0.9753765817353488,2.1406786433471394,0.8875602636037371,0.5599610974970436,0.9121747575828107,0.7735750515766487
rho_close_mid,0.87,0.87,True,0.975376742832284,2.14067852215597,0.8875603108582646,0.5599609462309064,0.9121748581128877,0.7735745552084918
rho_close_mid,0.9,0.9,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
rho_close_mid,0.93,0.93,True,0.9753770214641468,2.1406783059400447,0.8875603519519323,0.5599608000485004,0.9121749807375816,0.7735736699232831
rho_close_width,0.015,0.015,True,0.9753769135475345,2.140678373826836,0.8875603562930845,0.5599607865703959,0.9121749782037583,0.773573810260112
rho_close_width,0.03,0.03,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
rho_close_width,0.06,0.06,True,0.9753768004809484,2.1406784577026237,0.887560276706985,0.5599609737477297,0.9121748468730158,0.7735742505699087
closed_shrinkage,0.1x,0.1,True,0.9753768903818513,2.1406784033998263,0.8875603381247265,0.5599608484355925,0.91217492770674,0.7735740404211159
closed_shrinkage,0.3x,0.3,True,0.975376890664558,2.1406784033998263,0.8875603381252218,0.5599608484355925,0.9121749291258088,0.77357404042112
closed_shrinkage,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
closed_shrinkage,3x,3.0,True,0.9753768944473081,2.1406784033998263,0.8875603381319083,0.5599608484355925,0.9121749467956852,0.7735740404211734
closed_shrinkage,10x,10.0,True,0.9753769039748035,2.1406784033998263,0.8875603381492336,0.5599608484355925,0.912174982984141,0.7735740404212936
A_closed_capacity,0.3x,0.3,True,0.975376890664558,2.1406784033998263,0.8875603381252218,0.5599608484355925,0.9121749291258088,0.77357404042112
A_closed_capacity,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
A_closed_capacity,3x,3.0,True,0.9753768916992226,2.1406784033998263,0.8875603381269642,0.5599608484355925,0.9121749346101156,0.7735740404211355
C_Z,0.1x,0.1,True,0.9934609754310872,1.5224983106820207,0.9322467810492086,0.14584512237300196,0.955681566692465,0.22767664546704486
C_Z,0.3x,0.3,True,0.9887074584885779,1.9590926919901102,0.9158296372175806,0.29426167236743833,0.9459811168195722,0.46281091035046745
C_Z,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
C_Z,3x,3.0,True,0.9488135184369708,2.19547106512698,0.8378793350903222,0.6944182801203383,0.8923147525879653,1.0337274690989473
C_Z,10x,10.0,True,0.9486733957708254,2.1959449829720947,0.8378679704411666,0.6944759093059955,0.8923108216791866,1.0337297274482475
C_pd,0.1x,0.1,True,0.9753768976774535,2.1406788179020304,0.8875604897122518,0.5599614899174057,0.9121749562837792,0.773574166620945
C_pd,0.3x,0.3,True,0.9753768963383285,2.1406787257927777,0.8875604554600858,0.5599613445038599,0.9121749525200337,0.7735741474288299
C_pd,1x,1.0,True,0.9753768916512847,2.1406784033998263,0.8875603381269556,0.5599608484355925,0.9121749339642294,0.7735740404211341
C_pd,3x,3.0,True,0.9753768782588201,2.140677482186591,0.8875599960231526,0.5599594008572746,0.9121748862862867,0.7735737742007757
C_pd,10x,10.0,True,0.9753768313745511,2.140674256882816,0.8875587949152974,0.5599543211389906,0.9121747243531784,0.7735728789931773
