parameter,level,chen_success_count,lower_failure_count,upper_failure_count,cases
C_PR,0.1x,0,6,7,8
C_PR,0.3x,0,6,7,8
C_PR,1x,0,6,7,8
C_PR,3x,0,6,7,8
C_PR,10x,0,6,7,8
tau_remove0,0.1x,0,8,6,8
tau_remove0,0.3x,0,6,7,8
tau_remove0,1x,0,6,7,8
tau_remove0,3x,0,8,7,8
tau_remove0,10x,0,8,6,8
rho_close_mid,0.84,0,6,7,8
rho_close_mid,0.87,0,6,7,8
rho_close_mid,0.9,0,6,7,8
rho_close_mid,0.93,0,6,7,8
rho_close_width,0.015,0,6,7,8
rho_close_width,0.03,0,6,7,8
rho_close_width,0.06,0,6,7,8
closed_shrinkage,0.1x,0,6,7,8
closed_shrinkage,0.3x,0,6,7,8
closed_shrinkage,1x,0,6,7,8
closed_shrinkage,3x,0,6,7,8
closed_shrinkage,10x,0,6,7,8
A_closed_capacity,0.3x,0,6,7,8
A_closed_capacity,1x,0,6,7,8
A_closed_capacity,3x,0,6,7,8
C_Z,0.1x,0,8,6,8
C_Z,0.3x,0,8,7,8
C_Z,1x,0,6,7,8
C_Z,3x,0,5,8,8
C_Z,10x,0,5,8,8
C_pd,0.1x,0,6,7,8
C_pd,0.3x,0,6,7,8
C_pd,1x,0,6,7,8
C_pd,3x,0,6,7,8
C_pd,10x,0,6,7,8
