T1_C,T2_C,switch_density,target_density,high_reached,two_step_reached,high_final_density,two_step_final_density,G_high_nm,G_two_step_nm,TS_pct,benefit_positive,high_damage_final,two_step_damage_final,high_redistributed_volume,two_step_redistributed_volume,high_mean_radius_nm,two_step_mean_radius_nm
1300.0,1200.0,0.82,0.9,True,False,0.9000140384829565,0.8870621197333091,373.06339938475753,nan,nan,False,0.01610256642646722,0.03634598706500757,0.0,0.0,47.934276522644005,46.274410799308846
1300.0,1200.0,0.85,0.9,True,False,0.9000140384829565,0.8901222396451282,373.06339938475753,nan,nan,False,0.01610256642646722,0.022639355855333686,0.0,0.0,47.934276522644005,46.6445279749944
1300.0,1200.0,0.88,0.9,True,False,0.9000140384829565,0.8959882574675688,373.06339938475753,nan,nan,False,0.01610256642646722,0.018107346417844568,0.0,0.0,47.934276522644005,47.390722376465185
1300.0,1250.0,0.82,0.9,True,True,0.9000140384829565,0.900003507355454,373.06339938475753,352.52524253018356,5.505272532348321,True,0.01610256642646722,0.02034504161908848,0.0,0.0,47.934276522644005,47.930937118564124
1300.0,1250.0,0.85,0.9,True,True,0.9000140384829565,0.9000066369507926,373.06339938475753,352.13484162684955,5.609919866816899,True,0.01610256642646722,0.01763623922546391,0.0,0.0,47.934276522644005,47.932360411663886
1300.0,1250.0,0.88,0.9,True,True,0.9000140384829565,0.9000084459543451,373.06339938475753,352.9780954320362,5.38388488011563,True,0.01610256642646722,0.01660789798073858,0.0,0.0,47.934276522644005,47.93330207564144
1300.0,1300.0,0.82,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
1300.0,1300.0,0.85,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
1300.0,1300.0,0.88,0.9,True,True,0.9000140384829565,0.9000140384829565,373.06339938475753,373.06339938475753,0.0,False,0.01610256642646722,0.01610256642646722,0.0,0.0,47.934276522644005,47.934276522644005
1350.0,1200.0,0.82,0.9,True,False,0.9000050596482477,0.8883604058860849,394.7111080744383,nan,nan,False,0.0036055662757385693,0.022797647742502102,0.0,0.0,47.93673121949192,46.4295371502316
1350.0,1200.0,0.85,0.9,True,False,0.9000050596482477,0.8915364853064984,394.7111080744383,nan,nan,False,0.0036055662757385693,0.010112854675255465,0.0,0.0,47.93673121949192,46.82120679611118
1350.0,1200.0,0.88,0.9,True,False,0.9000050596482477,0.8976881988755766,394.7111080744383,nan,nan,False,0.0036055662757385693,0.00573532491774102,0.0,0.0,47.93673121949192,47.620095601013894
1350.0,1250.0,0.82,0.9,True,True,0.9000050596482477,0.9000044127458307,394.7111080744383,350.3595653145557,11.236456702788908,True,0.0036055662757385693,0.008352196594980375,0.0,0.0,47.93673121949192,47.9314635406941
1350.0,1250.0,0.85,0.9,True,True,0.9000050596482477,0.900004131792024,394.7111080744383,350.0155581820795,11.323610858179782,True,0.0036055662757385693,0.00536405548854679,0.0,0.0,47.93673121949192,47.93379117621498
