figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,T1_C,T2_C,rho_switch,G0_nm,rho1,G1_nm,first_step_growth_fraction,closed_fraction_at_switch,accommodation_at_switch,candidate_parameters_frozen,target_density,time_budget_h,growth_tolerance,classification,final_density,final_grain_size_nm,growth_fraction,target_attained,numerical_censor,closed_fraction_final,closed_shrinkage_integral,open_shrinkage_integral
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,800,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9010942418698464,117.0668452284628,6.81180612138732e-07,False,False,0.5933604871730319,0.0210940441655005,1.8748171286013617e-07
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,810,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9081118302444524,117.06689887319308,1.1394210874815514e-06,False,False,0.5682970316572556,0.0281115058769982,3.141448208291481e-07
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,820,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9173341655667676,117.06698623641742,1.8856894583585415e-06,False,False,0.5283430401252963,0.0373336282483198,5.270958143236969e-07
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,830,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9294670054976856,117.06712682099332,3.086581746636341e-06,False,False,0.4588744117654177,0.0494661038407807,8.914342714845689e-07
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,840,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9455864639668984,117.0673505336066,4.997564871045412e-06,False,False,0.3166318327719623,0.0655849129679612,1.5407763038631186e-06
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,850,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9639744384332948,117.06770660505217,8.039174879792554e-06,False,False,4.0233808999498345e-05,0.0838649794323137,2.830881459154887e-06
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,860,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9653063246567076,117.06826367510504,1.2797741929748696e-05,False,False,0.0001255255958808,0.0846334095069928,5.109304242764472e-06
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,870,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9668446879067604,117.06912460326916,2.015190568860348e-05,False,False,0.0001322694412374,0.0855214957709138,8.649524162355172e-06
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,880,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9686490786059646,117.07043753291286,3.136712666340635e-05,False,False,0.0001390013164304,0.0865647015237288,1.3994028374533333e-05
Figure 5,T2_diagnostics,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2.",1400,890,0.88,100,0.8800000102226334,117.06676548485184,0.1370693265721414,0.6494175043485234,0.16740033400964,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9707852843289324,117.07241196742416,4.823301087153453e-05,False,False,8.740501849380103e-05,0.0877965438514427,2.184301381303035e-05
