parameter_id,w_capture_scale,w_iso_scale,w_clean_growth,eta_TJ_dens,Q_capture_J_mol,TJ_drag_factor
action_00,0.5,0.5,0.5,0.0,285000.0,1.0
action_01,1.0,0.5,0.5,0.5,285000.0,1.0
action_02,2.0,0.5,0.5,0.25,325000.0,1.0
action_03,3.0,0.5,0.5,0.1,325000.0,1.0
action_04,0.5,1.0,0.5,0.0,365000.0,1.0
action_05,1.0,1.0,0.5,0.5,365000.0,1.0
action_06,2.0,1.0,0.5,0.25,405000.0,1.0
action_07,3.0,1.0,0.5,0.1,405000.0,1.0
action_08,0.5,2.0,0.5,0.0,285000.0,1.5
action_09,1.0,2.0,0.5,0.5,285000.0,1.5
action_10,2.0,2.0,0.5,0.25,325000.0,1.5
action_11,3.0,2.0,0.5,0.1,325000.0,1.5
action_12,0.5,3.0,0.5,0.0,365000.0,1.5
action_13,1.0,3.0,0.5,0.5,365000.0,1.5
action_14,2.0,3.0,0.5,0.25,405000.0,1.5
action_15,3.0,3.0,0.5,0.1,405000.0,1.5
action_16,0.5,0.5,1.0,0.0,285000.0,2.0
action_17,1.0,0.5,1.0,0.5,285000.0,2.0
action_18,2.0,0.5,1.0,0.25,325000.0,2.0
action_19,3.0,0.5,1.0,0.1,325000.0,2.0
action_20,0.5,1.0,1.0,0.0,365000.0,2.0
action_21,1.0,1.0,1.0,0.5,365000.0,2.0
action_22,2.0,1.0,1.0,0.25,405000.0,2.0
action_23,3.0,1.0,1.0,0.1,405000.0,2.0
action_24,0.5,2.0,1.0,0.0,285000.0,3.0
action_25,1.0,2.0,1.0,0.5,285000.0,3.0
action_26,2.0,2.0,1.0,0.25,325000.0,3.0
action_27,3.0,2.0,1.0,0.1,325000.0,3.0
action_28,0.5,3.0,1.0,0.0,365000.0,3.0
action_29,1.0,3.0,1.0,0.5,365000.0,3.0
action_30,2.0,3.0,1.0,0.25,405000.0,3.0
action_31,3.0,3.0,1.0,0.1,405000.0,3.0
action_32,0.5,0.5,2.0,0.0,285000.0,1.0
action_33,1.0,0.5,2.0,0.5,285000.0,1.0
action_34,2.0,0.5,2.0,0.25,325000.0,1.0
action_35,3.0,0.5,2.0,0.1,325000.0,1.0
action_36,0.5,1.0,2.0,0.0,365000.0,1.0
action_37,1.0,1.0,2.0,0.5,365000.0,1.0
action_38,2.0,1.0,2.0,0.25,405000.0,1.0
action_39,3.0,1.0,2.0,0.1,405000.0,1.0
action_40,0.5,2.0,2.0,0.0,285000.0,1.5
action_41,1.0,2.0,2.0,0.5,285000.0,1.5
action_42,2.0,2.0,2.0,0.25,325000.0,1.5
action_43,3.0,2.0,2.0,0.1,325000.0,1.5
action_44,0.5,3.0,2.0,0.0,365000.0,1.5
action_45,1.0,3.0,2.0,0.5,365000.0,1.5
action_46,2.0,3.0,2.0,0.25,405000.0,1.5
action_47,3.0,3.0,2.0,0.1,405000.0,1.5
action_48,0.5,0.5,3.0,0.0,285000.0,2.0
action_49,1.0,0.5,3.0,0.5,285000.0,2.0
action_50,2.0,0.5,3.0,0.25,325000.0,2.0
action_51,3.0,0.5,3.0,0.1,325000.0,2.0
action_52,0.5,1.0,3.0,0.0,365000.0,2.0
action_53,1.0,1.0,3.0,0.5,365000.0,2.0
action_54,2.0,1.0,3.0,0.25,405000.0,2.0
action_55,3.0,1.0,3.0,0.1,405000.0,2.0
action_56,0.5,2.0,3.0,0.0,285000.0,3.0
action_57,1.0,2.0,3.0,0.5,285000.0,3.0
action_58,2.0,2.0,3.0,0.25,325000.0,3.0
action_59,3.0,2.0,3.0,0.1,325000.0,3.0
action_60,0.5,3.0,3.0,0.0,365000.0,3.0
action_61,1.0,3.0,3.0,0.5,365000.0,3.0
action_62,2.0,3.0,3.0,0.25,405000.0,3.0
action_63,3.0,3.0,3.0,0.1,405000.0,3.0
