T1_C,switch_density,hold_h,lower_density_exhaustion_max_T2_C,upper_growth_min_T2_C,lower_boundary_present,upper_boundary_present,success_count
1250,0.75,20,1150,1150,True,True,0
1250,0.75,40,1150,1150,True,True,0
1250,0.85,20,1150,1050,True,True,0
1250,0.85,40,1150,1050,True,True,0
1250,0.9,20,1150,1050,True,True,0
1250,0.9,40,1150,1050,True,True,0
1350,0.75,20,1150,1150,True,True,0
1350,0.75,40,1150,1150,True,True,0
1350,0.85,20,1150,1050,True,True,0
1350,0.85,40,1150,1050,True,True,0
1350,0.9,20,1150,1050,True,True,0
1350,0.9,40,1150,1050,True,True,0
1450,0.75,20,1150,1150,True,True,0
1450,0.75,40,1150,1150,True,True,0
1450,0.85,20,1150,1050,True,True,0
1450,0.85,40,1150,1050,True,True,0
1450,0.9,20,1150,1050,True,True,0
1450,0.9,40,1150,1050,True,True,0
1500,0.75,20,1150,1150,True,True,0
1500,0.75,40,1150,1150,True,True,0
1500,0.85,20,1150,1050,True,True,0
1500,0.85,40,1150,1050,True,True,0
1500,0.9,20,1150,1050,True,True,0
1500,0.9,40,1150,1050,True,True,0
