case,t_s,rho,rho_dot_open_sinv,rho_dot_closed_sinv,bin_crossing_rate,isolation_rate,closure_rate
CS_thermal,120.0,0.4840336134453783,2.2656310024830056e-65,0.0,1.1607298389399263e-60,1.427752963568733e-67,1.1040804050106695e-68
CS_thermal,240.0,0.4840336134453783,7.252460209649819e-63,2.6947431910519813e-82,1.6793604386371827e-58,2.065693330604893e-65,1.597399261130859e-66
CS_thermal,360.0,0.4840336134453783,1.6154369854875047e-60,3.925740275971771e-80,1.777238544236243e-56,2.18608814305374e-63,1.6905004885010712e-64
CS_thermal,480.0,0.4840336134453783,2.5882207033497048e-58,4.1652836053661164e-78,1.415639311143717e-54,1.7413039698075554e-61,1.3465491869310067e-62
CS_thermal,600.0,0.4840336134453783,3.071242945184188e-56,3.328192689882372e-76,8.70386067160042e-53,1.070616576440548e-59,8.279070774071711e-61
CS_thermal,720.0,0.4840336134453783,2.7699059095232916e-54,2.0539653386700503e-74,4.2238961455487304e-51,5.195595905930528e-58,4.017750814365865e-59
CS_thermal,840.0,0.4840336134453783,1.9428322487414308e-52,1.561381744942464e-72,1.650303746074971e-49,2.0299539903313497e-56,1.5697620533709135e-57
CS_thermal,960.0,0.4840336134453783,1.0817377724527823e-50,1.0960594377888458e-70,5.28367431681465e-48,6.499181127242489e-55,5.0258123879272525e-56
CS_thermal,1080.0,0.4840336134453783,4.869461637782494e-49,6.122773704843151e-69,1.4082840877680604e-46,1.7322610692543793e-53,1.3395563180244233e-54
CS_thermal,1200.0,0.4840336134453783,1.801557588524255e-47,2.7714885694214008e-67,3.169422389390411e-45,3.8985574664879385e-52,3.014751862814229e-53
CS_thermal,1320.0,0.4840336134453783,5.559588734020811e-46,1.0331898172534467e-65,6.100154966503575e-44,7.503533666017793e-51,5.80247752964254e-52
CS_thermal,1440.0,0.4840336134453783,1.4502887555855358e-44,3.2187835855853175e-64,1.0156995373560885e-42,1.2493725282934935e-49,9.661389345672187e-51
CS_thermal,1560.0,0.4840336134453783,3.236828610618608e-43,8.491186185173598e-63,1.478319629064603e-41,1.8184342070003128e-48,1.4061939473981763e-49
CS_thermal,1680.0,0.4840336134453783,6.248636602966986e-42,1.919474206911239e-61,1.8986428392110953e-40,2.335480332899284e-47,1.806025368279868e-48
CS_thermal,1800.0,0.4840336134453783,1.053815884567402e-40,3.758564594457228e-60,2.170248143956338e-39,2.6696084795683377e-46,2.0644064390343917e-47
CS_thermal,1920.0,0.4840336134453783,1.566703008404034e-39,6.4379470578230205e-59,2.2251224434971796e-38,2.7371551385535978e-45,2.1166402249290854e-46
CS_thermal,2040.0,0.4840336134453783,2.0703160198944023e-38,9.732792561316911e-58,2.0609532555788568e-37,2.535267003631113e-44,1.96052026618292e-45
CS_thermal,2160.0,0.4840336134453783,2.450156583948097e-37,1.309278683437221e-56,1.7357174571645197e-36,2.135247529860653e-43,1.6511854765644758e-44
CS_thermal,2280.0,0.4840336134453783,2.614948552113393e-36,1.5789497577564619e-55,1.3371397223139498e-35,1.6449935816069587e-42,1.2720724286089909e-43
CS_thermal,2400.0,0.4840336134453783,2.532813557708064e-35,1.718747246628899e-54,9.474124323170287e-35,1.1656026750731788e-41,9.013597634983033e-43
CS_thermal,2520.0,0.4840336134453783,2.2395006972712154e-34,1.6993617812528612e-53,6.2051501383190695e-34,7.634754655920172e-41,5.903950632745187e-42
CS_thermal,2640.0,0.4840336134453783,1.817374849705113e-33,1.5349479592611306e-52,3.774247104310794e-33,4.644227752680602e-40,3.5913781928525797e-41
CS_thermal,2760.0,0.4840336134453783,1.3603170416360126e-32,1.2733333028506305e-51,2.1410715068351448e-32,2.634910419971123e-39,2.0375744529200568e-40
CS_thermal,2880.0,0.4840336134453783,9.434778263824419e-32,9.748992034966604e-51,1.1372909596598857e-31,1.3998171090789513e-38,1.0824776275509731e-39
