T1_C,T2_C,switch_density,hold_h,final_rho,final_G_um,density_ok,growth_ok,chen_success
1250,1050,0.75,20,0.768641237892329,0.2786510335990691,False,True,False
1250,1050,0.75,40,0.7842041796165236,0.3047575473233123,False,True,False
1250,1050,0.85,20,0.8570447077213527,0.4659153153771258,False,False,False
1250,1050,0.85,40,0.8628477507198371,0.49269508751286323,False,False,False
1250,1050,0.9,20,0.9026019863484863,0.6822074823198349,False,False,False
1250,1050,0.9,40,0.9052471997198726,0.707265019536965,False,False,False
1250,1150,0.75,20,0.8867726340800796,0.601239892847832,False,False,False
1250,1150,0.75,40,0.9245622544467581,0.9000670144287741,False,False,False
1250,1150,0.85,20,0.9095251149689256,0.7527507517787624,False,False,False
1250,1150,0.85,40,0.9345890936468693,1.027914498936359,False,False,False
1250,1150,0.9,20,0.9279193763782264,0.9267676785084318,False,False,False
1250,1150,0.9,40,0.9442481883229074,1.1773369755719494,False,False,False
1350,1050,0.75,20,0.7693855347881917,0.2777732745804051,False,True,False
1350,1050,0.75,40,0.7849138343264863,0.30493498676984465,False,True,False
1350,1050,0.85,20,0.8570870923186027,0.4584534762918959,False,False,False
1350,1050,0.85,40,0.8629693704320265,0.48746610565050147,False,False,False
1350,1050,0.9,20,0.9034880665504862,0.6683421156485115,False,False,False
1350,1050,0.9,40,0.9061646224452474,0.6954855270902648,False,False,False
1350,1150,0.75,20,0.888397121107384,0.610218287965981,False,False,False
1350,1150,0.75,40,0.9252216560091232,0.907607477743304,False,False,False
1350,1150,0.85,20,0.9119362160332715,0.7718792651288543,False,False,False
1350,1150,0.85,40,0.935778410154628,1.0445393320166032,False,False,False
1350,1150,0.9,20,0.9312004155183456,0.955235453135372,False,False,False
1350,1150,0.9,40,0.9462790852520504,1.203701261102288,False,False,False
1350,1250,0.75,20,0.9761156609013356,2.259679294662363,True,False,False
1350,1250,0.75,40,0.9837819424862432,3.226264901190304,True,False,False
1350,1250,0.85,20,0.9767217333961442,2.3061043329745874,True,False,False
1350,1250,0.85,40,0.983974381401407,3.2589170642651024,True,False,False
1350,1250,0.9,20,0.9777241572380985,2.365210167417718,True,False,False
1350,1250,0.9,40,0.9844062175104288,3.3009717031585684,True,False,False
1350,1300,0.75,20,0.9861565379685713,3.8092053511281208,False,False,False
1350,1300,0.75,40,0.9892675983781218,5.401056799001554,False,False,False
1350,1300,0.85,20,0.9862323436371375,3.8276343714127843,False,False,False
1350,1300,0.85,40,0.9892995634580137,5.414056802723034,False,False,False
1350,1300,0.9,20,0.9864188873044418,3.851873172292983,False,False,False
1350,1300,0.9,40,0.9894101297798981,5.431203973644606,False,False,False
1450,1050,0.75,20,0.7703861730107244,0.27866049758473627,False,True,False
1450,1050,0.75,40,0.7857928514462653,0.30608698442658044,False,True,False
