T1_C,T2_C,switch_density,hold_h,final_rho,final_G_um,density_ok,growth_ok,chen_success,normalized_target_error
1250,1150,0.9,20,0.9279193763782264,0.9267676785084318,False,False,False,63.66477131788824
1250,1150,0.75,40,0.9245622544467581,0.9000670144287741,False,False,False,63.67659288540435
1450,1150,0.9,20,0.9319301500487944,0.9554449742416218,False,False,False,63.70321812156098
1500,1150,0.9,20,0.931711609271051,0.9547240008872613,False,False,False,63.800415269157284
1350,1150,0.75,40,0.9252216560091232,0.907607477743304,False,False,False,63.92830184100269
1450,1050,0.9,40,0.9065165486003702,0.685893688272288,False,False,False,63.95268142543064
1500,1150,0.85,20,0.9125562471163711,0.7768436956078285,False,False,False,63.95277619489852
1500,1150,0.75,40,0.9253618361467035,0.9092234096426104,False,False,False,63.985999489274995
1450,1150,0.75,40,0.9253736397316552,0.9093592252647381,False,False,False,63.990868532256044
1450,1150,0.85,20,0.9121749343039485,0.7735740429236736,False,False,False,64.12077561000761
