case,rho,G_um,pore_D90_nm,fine_pore_fraction,R_Z_eff_um
CS_thermal,0.65,0.16595573908230374,79.40110151373295,0.2356227464735211,0.0770157994323303
CS_thermal,0.66,0.1720865775826402,79.40110151373295,0.22328400656075287,0.08015885336948646
CS_thermal,0.67,0.17821741608297667,79.40110151373295,0.2109452666479846,0.08330190730664261
CS_thermal,0.68,0.18507099968899848,79.40110151373295,0.19844633425252145,0.08688573909337816
CS_thermal,0.6900000000000001,0.1921582692741357,79.40110151373295,0.18589560664340551,0.09061208807260808
CS_thermal,0.7000000000000001,0.1993821429172769,80.158816782431,0.17334443622741,0.09442011502849969
CS_thermal,0.7100000000000001,0.20779935549825695,87.53574342116164,0.16078939756109273,0.0989416603918125
CS_thermal,0.7200000000000001,0.21621656807923698,94.91267005989228,0.1482343588947755,0.10346320575512533
CS_thermal,0.7300000000000001,0.2253131321220417,99.52539578838244,0.13579871330533372,0.10839425573355893
CS_thermal,0.7400000000000001,0.23554335542783156,99.52539578838244,0.1235623034210344,0.11400866142145097
CS_thermal,0.7500000000000001,0.24577357873362143,99.52539578838244,0.1113258935367351,0.11962306710934302
CS_thermal,0.7600000000000001,0.25755620231240445,99.52539578838244,0.0995631519390889,0.12619613525407503
CS_thermal,0.7700000000000001,0.2702544563059745,99.52539578838244,0.08807978744367902,0.13333463778983867
CS_thermal,0.7800000000000001,0.2829527102995446,99.52539578838244,0.07659642294826914,0.1404731403256023
CS_thermal,0.7900000000000001,0.29861955653860284,99.52539578838244,0.0662265510002156,0.14950962467173495
CS_thermal,0.8000000000000002,0.31456236579672747,99.52539578838244,0.05596019032608103,0.15872254712293868
CS_thermal,0.8100000000000002,0.3324564545280955,99.52539578838244,0.04645907283028735,0.16923749179436365
CS_thermal,0.8200000000000002,0.3526904920094312,99.52539578838244,0.037875624916495536,0.18131380443404416
CS_thermal,0.8300000000000002,0.3733048275416149,99.52539578838244,0.02942958495605883,0.19365718902628928
CS_thermal,0.8400000000000002,0.39923730154515197,99.52539578838244,0.022905076072045387,0.2097353432877084
CS_thermal,0.8500000000000002,0.42516977554868896,99.52539578838244,0.01638056718803194,0.2258134975491275
CS_thermal,0.8600000000000002,0.457862199202154,99.52539578838244,0.011806564531432372,0.24695163226392028
CS_thermal,0.8700000000000002,0.4911436863166096,99.52539578838244,0.007398699088341904,0.2685331847619067
CS_thermal,0.8800000000000002,0.5337462687826285,99.52539578838244,0.004807303405515704,0.29765932944989476
CS_thermal,0.8900000000000002,0.5797331095331609,99.52539578838244,0.0025847618002680602,0.3297872940643449
CS_thermal,0.9000000000000002,0.6343447688716221,99.52539578838244,0.0013022487735395547,0.3695654290035129
CS_thermal,0.9100000000000003,0.6999203480320018,99.52539578838244,0.0005717029887932246,0.4200528148013814
CS_thermal,0.9200000000000003,0.7776961740720734,99.52539578838244,0.00019393774882297459,0.48323180696635826
CS_thermal,0.9300000000000003,0.8724373441660229,107.1493524465954,4.6972536418741495e-05,0.5651138829527221
CS_thermal,0.9400000000000003,0.9936673402566877,124.75021401461268,8.055939049837184e-06,0.678064224334116
CS_thermal,0.9500000000000003,1.1534383140333964,124.75021401461268,7.010321966313398e-07,0.8381126796396764
CS_thermal,0.9600000000000003,1.385627043589788,124.75021401461268,1.6106543739185185e-08,1.087026417798841
CS_thermal,0.9700000000000003,1.7732351951705263,124.75021401461268,4.4365351091482475e-11,1.5146971817038262
iso_1100C_40h,0.65,0.1715679793752212,79.40110151373295,0.23331704264287545,0.07755780112181576
iso_1100C_40h,0.66,0.17791589473292566,79.40110151373295,0.22103266241209074,0.08064169146732615
iso_1100C_40h,0.67,0.18460936190968252,79.40110151373295,0.20865311465491662,0.08392451346262828
iso_1100C_40h,0.68,0.1916923128008126,79.40110151373295,0.1961988597399556,0.08742740745342698
iso_1100C_40h,0.6900000000000001,0.19920936540523285,79.40110151373295,0.18369458285277446,0.09117287446041712
iso_1100C_40h,0.7000000000000001,0.20721046033252613,79.40110151373295,0.1711689528457541,0.09518718823957903
iso_1100C_40h,0.7100000000000001,0.2157502385544504,79.40110151373295,0.15865537832060553,0.09949991446141218
iso_1100C_40h,0.7200000000000001,0.22489133592969993,93.77730613495018,0.1461924768378846,0.10414570404711121
