case,t_s,rho,bin,radius_m,tau_remove_s
CS_thermal,120.0,0.4840336134453783,0,8.166666666666667e-09,1.6645258911286835e+58
CS_thermal,120.0,0.4840336134453783,1,1.0236517085738568e-08,8.707756047489557e+58
CS_thermal,120.0,0.4840336134453783,2,1.2830973311830731e-08,4.0900651486872425e+59
CS_thermal,120.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,120.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,120.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,120.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,120.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,120.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,120.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,120.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,120.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,240.0,0.4840336134453783,0,8.166666666666667e-09,1.1504493622829738e+56
CS_thermal,240.0,0.4840336134453783,1,1.0236517085738568e-08,6.018270485217402e+56
CS_thermal,240.0,0.4840336134453783,2,1.2830973311830731e-08,2.8266758683660692e+57
CS_thermal,240.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,240.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,240.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,240.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,240.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,240.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,240.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,240.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,240.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,360.0,0.4840336134453783,0,8.166666666666667e-09,1.0870386440908963e+54
CS_thermal,360.0,0.4840336134453783,1,1.0236517085738568e-08,5.6862505384381385e+54
CS_thermal,360.0,0.4840336134453783,2,1.2830973311830731e-08,2.670488229600678e+55
CS_thermal,360.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,360.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,360.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,360.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,360.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,360.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,360.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,360.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,360.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,480.0,0.4840336134453783,0,8.166666666666667e-09,1.3645773917979556e+52
CS_thermal,480.0,0.4840336134453783,1,1.0236517085738568e-08,7.137309136445322e+52
CS_thermal,480.0,0.4840336134453783,2,1.2830973311830731e-08,3.3513736456842858e+53
CS_thermal,480.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,480.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,480.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,480.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,480.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,480.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,480.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,480.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,480.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,600.0,0.4840336134453783,0,8.166666666666667e-09,2.219039497239831e+50
CS_thermal,600.0,0.4840336134453783,1,1.0236517085738568e-08,1.1604295623180891e+51
CS_thermal,600.0,0.4840336134453783,2,1.2830973311830731e-08,5.447108956469684e+51
CS_thermal,600.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,600.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,600.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,600.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,600.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,600.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,600.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,600.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,600.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,720.0,0.4840336134453783,0,8.166666666666667e-09,4.5712212853979285e+48
CS_thermal,720.0,0.4840336134453783,1,1.0236517085738568e-08,2.3896757679953736e+49
CS_thermal,720.0,0.4840336134453783,2,1.2830973311830731e-08,1.1210766686365569e+50
CS_thermal,720.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,720.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,720.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,720.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,720.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,720.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,720.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,720.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,720.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,840.0,0.4840336134453783,0,8.166666666666667e-09,1.1693790792816353e+47
CS_thermal,840.0,0.4840336134453783,1,1.0236517085738568e-08,6.109550741031528e+47
CS_thermal,840.0,0.4840336134453783,2,1.2830973311830731e-08,2.8633516045488874e+48
CS_thermal,840.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,840.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,840.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,840.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,840.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,840.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,840.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,840.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,840.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,960.0,0.4840336134453783,0,8.166666666666667e-09,3.649269268336374e+45
CS_thermal,960.0,0.4840336134453783,1,1.0236517085738568e-08,1.9047546208980897e+46
CS_thermal,960.0,0.4840336134453783,2,1.2830973311830731e-08,8.912273815301792e+46
CS_thermal,960.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,960.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,960.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,960.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,960.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,960.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,960.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,960.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,960.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1080.0,0.4840336134453783,0,8.166666666666667e-09,1.3672276344096896e+44
CS_thermal,1080.0,0.4840336134453783,1,1.0236517085738568e-08,7.125152838471645e+44
CS_thermal,1080.0,0.4840336134453783,2,1.2830973311830731e-08,3.324996467481819e+45
CS_thermal,1080.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1080.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1080.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1080.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1080.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1080.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1080.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1080.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1080.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1200.0,0.4840336134453783,0,8.166666666666667e-09,6.061616280261133e+42
CS_thermal,1200.0,0.4840336134453783,1,1.0236517085738568e-08,3.151191148515356e+43
CS_thermal,1200.0,0.4840336134453783,2,1.2830973311830731e-08,1.464442871249145e+44
CS_thermal,1200.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1200.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1200.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1200.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1200.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1200.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1200.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1200.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1200.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1320.0,0.4840336134453783,0,8.166666666666667e-09,3.1386952379562764e+41
CS_thermal,1320.0,0.4840336134453783,1,1.0236517085738568e-08,1.6255713500156656e+42
CS_thermal,1320.0,0.4840336134453783,2,1.2830973311830731e-08,7.507215025555489e+42
CS_thermal,1320.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1320.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1320.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1320.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1320.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1320.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1320.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1320.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1320.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1440.0,0.4840336134453783,0,8.166666666666667e-09,1.8754591783273953e+40
CS_thermal,1440.0,0.4840336134453783,1,1.0236517085738568e-08,9.65923676701302e+40
CS_thermal,1440.0,0.4840336134453783,2,1.2830973311830731e-08,4.419934026705019e+41
CS_thermal,1440.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1440.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1440.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1440.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1440.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1440.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1440.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1440.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1440.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1560.0,0.4840336134453783,0,8.166666666666667e-09,1.2789554878289643e+39
CS_thermal,1560.0,0.4840336134453783,1,1.0236517085738568e-08,6.534133667865822e+39
CS_thermal,1560.0,0.4840336134453783,2,1.2830973311830731e-08,2.951065505254611e+40
CS_thermal,1560.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1560.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1560.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1560.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1560.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1560.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1560.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1560.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1560.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1680.0,0.4840336134453783,0,8.166666666666667e-09,9.851990389524541e+37
CS_thermal,1680.0,0.4840336134453783,1,1.0236517085738568e-08,4.976571383034045e+38
CS_thermal,1680.0,0.4840336134453783,2,1.2830973311830731e-08,2.2076404430291322e+39
CS_thermal,1680.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1680.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1680.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1680.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1680.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1680.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1680.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1680.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1680.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1800.0,0.4840336134453783,0,8.166666666666667e-09,8.49040857952872e+36
CS_thermal,1800.0,0.4840336134453783,1,1.0236517085738568e-08,4.2228585267319535e+37
CS_thermal,1800.0,0.4840336134453783,2,1.2830973311830731e-08,1.8294461574919517e+38
CS_thermal,1800.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1800.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1800.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1800.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1800.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1800.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1800.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1800.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1800.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,1920.0,0.4840336134453783,0,8.166666666666667e-09,8.11196793393206e+35
CS_thermal,1920.0,0.4840336134453783,1,1.0236517085738568e-08,3.95273887034556e+36
CS_thermal,1920.0,0.4840336134453783,2,1.2830973311830731e-08,1.6618590970801055e+37
CS_thermal,1920.0,0.4840336134453783,3,1.6082997248964597e-08,inf
CS_thermal,1920.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,1920.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,1920.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,1920.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,1920.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,1920.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,1920.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,1920.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2040.0,0.4840336134453783,0,8.166666666666667e-09,8.51902803361432e+34
CS_thermal,2040.0,0.4840336134453783,1,1.0236517085738568e-08,4.04356365857282e+35
CS_thermal,2040.0,0.4840336134453783,2,1.2830973311830731e-08,1.6395196287638007e+36
CS_thermal,2040.0,0.4840336134453783,3,1.6082997248964597e-08,4.7585571683243425e+37
CS_thermal,2040.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2040.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2040.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2040.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2040.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2040.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2040.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2040.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2160.0,0.4840336134453783,0,8.166666666666667e-09,9.754482671974829e+33
CS_thermal,2160.0,0.4840336134453783,1,1.0236517085738568e-08,4.482415838136484e+34
CS_thermal,2160.0,0.4840336134453783,2,1.2830973311830731e-08,1.7430823594623817e+35
CS_thermal,2160.0,0.4840336134453783,3,1.6082997248964597e-08,2.3803415167402135e+36
CS_thermal,2160.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2160.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2160.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2160.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2160.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2160.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2160.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2160.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2280.0,0.4840336134453783,0,8.166666666666667e-09,1.2085956015130158e+33
CS_thermal,2280.0,0.4840336134453783,1,1.0236517085738568e-08,5.344266959462454e+33
CS_thermal,2280.0,0.4840336134453783,2,1.2830973311830731e-08,1.9851339070425965e+34
CS_thermal,2280.0,0.4840336134453783,3,1.6082997248964597e-08,1.742332596863339e+35
CS_thermal,2280.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2280.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2280.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2280.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2280.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2280.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2280.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2280.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2400.0,0.4840336134453783,0,8.166666666666667e-09,1.609155288181171e+32
CS_thermal,2400.0,0.4840336134453783,1,1.0236517085738568e-08,6.810269598878912e+32
CS_thermal,2400.0,0.4840336134453783,2,1.2830973311830731e-08,2.4114831285467917e+33
CS_thermal,2400.0,0.4840336134453783,3,1.6082997248964597e-08,1.5609024449408036e+34
CS_thermal,2400.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2400.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2400.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2400.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2400.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2400.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2400.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2400.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2520.0,0.4840336134453783,0,8.166666666666667e-09,2.287960558397425e+31
CS_thermal,2520.0,0.4840336134453783,1,1.0236517085738568e-08,9.229696787784735e+31
CS_thermal,2520.0,0.4840336134453783,2,1.2830973311830731e-08,3.1160727942248778e+32
CS_thermal,2520.0,0.4840336134453783,3,1.6082997248964597e-08,1.614492009025682e+33
CS_thermal,2520.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2520.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2520.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2520.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2520.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2520.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2520.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2520.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2640.0,0.4840336134453783,0,8.166666666666667e-09,3.455353151963721e+30
CS_thermal,2640.0,0.4840336134453783,1,1.0236517085738568e-08,1.3254638432908923e+31
CS_thermal,2640.0,0.4840336134453783,2,1.2830973311830731e-08,4.276039061057069e+31
CS_thermal,2640.0,0.4840336134453783,3,1.6082997248964597e-08,1.8748456162109713e+32
CS_thermal,2640.0,0.4840336134453783,4,2.0159250138234185e-08,inf
CS_thermal,2640.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2640.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2640.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2640.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2640.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2640.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2640.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2760.0,0.4840336134453783,0,8.166666666666667e-09,5.518104834373439e+29
CS_thermal,2760.0,0.4840336134453783,1,1.0236517085738568e-08,2.0118923926316815e+30
CS_thermal,2760.0,0.4840336134453783,2,1.2830973311830731e-08,6.22507544774156e+30
CS_thermal,2760.0,0.4840336134453783,3,1.6082997248964597e-08,2.4043981139692693e+31
CS_thermal,2760.0,0.4840336134453783,4,2.0159250138234185e-08,3.0294523636635077e+32
CS_thermal,2760.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2760.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2760.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2760.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2760.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2760.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2760.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,2880.0,0.4840336134453783,0,8.166666666666667e-09,9.285524538276401e+28
CS_thermal,2880.0,0.4840336134453783,1,1.0236517085738568e-08,3.222301168971863e+29
CS_thermal,2880.0,0.4840336134453783,2,1.2830973311830731e-08,9.606832780692943e+29
CS_thermal,2880.0,0.4840336134453783,3,1.6082997248964597e-08,3.367764538322529e+30
CS_thermal,2880.0,0.4840336134453783,4,2.0159250138234185e-08,2.069218995864767e+31
CS_thermal,2880.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,2880.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,2880.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,2880.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,2880.0,0.4840336134453783,9,6.237510700730634e-08,inf
CS_thermal,2880.0,0.4840336134453783,10,7.818414472715056e-08,inf
CS_thermal,2880.0,0.4840336134453783,11,9.8e-08,inf
CS_thermal,3000.0,0.4840336134453783,0,8.166666666666667e-09,1.6420315910710732e+28
CS_thermal,3000.0,0.4840336134453783,1,1.0236517085738568e-08,5.439449730139042e+28
CS_thermal,3000.0,0.4840336134453783,2,1.2830973311830731e-08,1.5703616226803304e+29
CS_thermal,3000.0,0.4840336134453783,3,1.6082997248964597e-08,5.110004882866449e+29
CS_thermal,3000.0,0.4840336134453783,4,2.0159250138234185e-08,2.3065798517103884e+30
CS_thermal,3000.0,0.4840336134453783,5,2.526863369090349e-08,inf
CS_thermal,3000.0,0.4840336134453783,6,3.167299598084116e-08,inf
CS_thermal,3000.0,0.4840336134453783,7,3.970055075686648e-08,inf
CS_thermal,3000.0,0.4840336134453783,8,4.976269789419122e-08,inf
CS_thermal,3000.0,0.4840336134453783,9,6.237510700730634e-08,inf
