quantity,value,units
relative_density,0.4840336134,dimensionless
grain_size,10.20,nm
pore_distribution_center,24.5,nm
open_porosity,0.5159663866,dimensionless
isolated_porosity,0,dimensionless
closed_porosity,0,dimensionless
