source_history,run_id,physical_time_s,T_C,rho,G_nm,area_reconstruction,P_surf_release_W_m3,P_GB_release_W_m3,P_pore_release_W_m3,P_gas_cost_W_m3,P_available_W_m3,P_open_dens_W_m3,P_closed_dens_W_m3,P_surface_smooth_W_m3,P_pore_coarsen_W_m3,P_GB_growth_W_m3,P_drag_W_m3,P_gas_W_m3,P_other_W_m3,P_excess_W_m3,Pi_dens,Pi_total,ledger_residual_W_m3,budget_violation,strict_balance_sigma_Pa,capillary_sigma_Pa
final_heating_rate_panel_source.csv,0.2 C/min,0.0,950.0,0.65,15.000000000000002,spherical_D50_plus_compact_scale_external_proxy,-0.03656994790252116,4337.666176923831,4608.630214457229,0.0,8946.29639138106,4252.242576304699,0.0,0.0,0.0,4337.666176923831,1.2931237895690741,0.0,0.0,4694.053815076361,0.4753075898984686,0.9603082103667991,355.0945143629615,False,553113163.7978368,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,152.17077102709783,950.5072359034236,0.6512055008718646,15.150000000000004,spherical_D50_plus_compact_scale_external_proxy,-0.03637600193600221,4307.590320451942,4585.588857157971,0.0015743011372348487,8893.177603308775,4193.2597123881005,0.0,0.0,0.003783611453724301,4307.590320451942,3.938343326512102,0.0015743011372348487,0.0,4699.917890920675,0.47151422128665976,0.9563278856496548,388.38386922963036,False,550948908.6837509,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,304.9579372224697,951.016526457408,0.652403757432572,15.301500000000004,spherical_D50_plus_compact_scale_external_proxy,-0.035990463589092414,4247.836225482577,4539.768849809072,0.004837591062105477,8787.600237700586,4135.296160261326,5.442525270802685e-09,0.0,0.007517249876733451,4247.836225482577,6.5304982332525805,0.004837591062105477,0.0,4652.304077433818,0.4705830998690074,0.9547174441129137,397.9249988770498,False,548789169.4379349,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,458.3565431314081,951.5278551437716,0.6535948217966652,15.454515000000002,spherical_D50_plus_compact_scale_external_proxy,-0.03561115656894742,4189.113101321593,4494.655887271045,0.008322273937008495,8683.7606663187,4078.3294008327434,3.364312157747813e-08,0.0,0.011201700366012684,4189.113101321593,9.070726865622047,0.008322273937008495,0.0,4605.431265452314,0.4696501386415236,0.9531046594973202,407.22791329079337,False,546633956.1856089,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,612.3616612510514,952.0412055375036,0.6547787456715634,15.609060150000005,spherical_D50_plus_compact_scale_external_proxy,-0.035237943689606865,4131.398193472152,4450.234899661038,0.012037291452033833,8581.621055841739,4022.337473043298,1.1551142412639793e-07,0.0,0.014837724093824858,4131.398193472152,11.560148135267143,0.012037291452033833,0.0,4559.28358268293,0.46871534491967537,0.9514895422029176,416.2983660599648,False,544483278.1733329,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,766.9683938726517,952.5565613129088,0.6559555803598593,15.765150751500002,spherical_D50_plus_compact_scale_external_proxy,-0.03487069117127639,4074.6693313833675,4406.491175182746,0.01599179275667064,8481.144514773358,3967.2989875935828,2.973854459008833e-07,0.0,0.018426059492021984,4074.6693313833675,13.999863109470715,0.01599179275667064,0.0,4513.845526882389,0.46777872738523746,0.9498721058464757,425.141914537302,False,542337144.6496108,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,922.1718749265436,953.0739062497552,0.6571253767620411,15.922802259015002,spherical_D50_plus_compact_scale_external_proxy,-0.03450926864561943,4018.904911042424,4363.410363296862,0.02019513493024144,8382.295079204356,3913.1930831167015,6.429810862925315e-07,0.0,0.021967423500012722,4018.904911042424,16.390956615050534,0.02019513493024144,0.0,4469.101995444674,0.466840292161502,0.9482523627323864,433.76396522876894,False,540195563.9849539,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1077.9672718347133,953.5932242394488,0.6582881853860972,16.08203028160515,spherical_D50_plus_compact_scale_external_proxy,-0.03415354892448974,3964.0838780354243,4320.97844791098,0.024656883407357076,8285.037669062996,3859.999440066834,1.2354586597134712e-06,0.0,0.025462512699893664,3964.0838780354243,18.734498847221484,0.024656883407357076,0.0,4425.038227760704,0.46590004722801004,0.9466303293788212,442.1697314819512,False,538058544.5525507,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1234.3497873761596,954.1144992912538,0.6594440563413958,16.242850584421202,spherical_D50_plus_compact_scale_external_proxy,-0.033803408008234115,3910.185711060971,4279.181750763557,0.02938681236913876,8189.338075012159,3807.698252203978,2.1796080388720352e-06,0.0,0.0289120045636552,3910.185711060971,21.031546990060953,0.02938681236913876,0.0,4381.639820628573,0.46495800020784134,0.9450060237304417,450.364263760609,False,535926094.28854346,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1391.3146615707258,954.6377155385692,0.6605930393556367,16.405279090265413,spherical_D50_plus_compact_scale_external_proxy,-0.03345872495914648,3857.1904058821674,4238.006917648134,0.03439490512220715,8095.162928625179,3756.270199112012,3.6041538065199085e-06,0.0,0.03231655863256371,3857.1904058821674,23.283146843473467,0.03439490512220715,0.0,4338.892725909013,0.46401415707566274,0.9433794642849195,458.3524617196181,False,533798220.25234246,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1548.8571735871378,955.1628572452904,0.6617351837665231,16.56933188116807,spherical_D50_plus_compact_scale_external_proxy,-0.03311938177158247,3805.0784597013844,4197.4409041637555,0.03969135447910206,8002.479672510661,3705.6964875365684,5.664181693222233e-06,0.0,0.035676817663776964,3805.0784597013844,25.490334468339547,0.03969135447910206,0.0,4296.78317930991,0.4630685293622423,0.9417506777843774,466.1390169680435,False,531674930.38769287,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1706.9726436817414,955.6899088122724,0.6628705385364647,16.73502519997975,spherical_D50_plus_compact_scale_external_proxy,-0.03278526330029763,3753.830855943641,4157.470968697453,0.045286563161877416,7911.256538077932,3655.958716372809,8.54368716424982e-06,0.0,0.03899340881287856,3753.830855943641,27.654137842757336,0.045286563161877416,0.0,4255.297813161437,0.4621211191066652,0.9401196842596438,473.72853940306413,False,529556229.5619247,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,1865.6564351744253,956.2188547839148,0.6639991522454392,16.902375451979545,spherical_D50_plus_compact_scale_external_proxy,-0.032456257229126706,3703.429049434839,4118.0846704998985,0.05119114424841591,7821.462528790489,3607.0390001648925,1.2458247414857492e-05,0.0,0.04226694487109997,3703.429049434839,29.775578541120492,0.05119114424841591,0.0,4214.42351616735,0.4611719354718858,0.9384865134453734,481.12543010227,False,527442123.96796125,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2024.903956468983,956.7496798548964,0.6651210731099468,17.07139920649934,spherical_D50_plus_compact_scale_external_proxy,-0.032132253912088515,3653.854951961781,4079.269851465011,0.05741592169011292,7733.067387505102,3558.9198757010963,1.765781717455154e-05,0.0,0.04549802534990711,3653.854951961781,31.855673427824875,0.05741592169011292,0.0,4174.147494146188,0.4602209854150926,0.9368511962538202,488.3339548095428,False,525332618.4840828,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2184.71066312517,957.2823688770836,0.6662363489708021,17.242113198564333,spherical_D50_plus_compact_scale_external_proxy,-0.0318131463013831,3605.090918198548,4041.0146288943943,0.06397193091613107,7646.041575162026,3511.584291705522,2.442964918632295e-05,0.0,0.04868723763622665,3605.090918198548,33.895436381529485,0.06397193091613107,0.0,4134.457259026855,0.4592682738663709,0.9352137651347093,495.3582452782239,False,523227716.6745943,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2345.0720599906936,957.8169068666358,0.6673450273133079,17.414534330549973,spherical_D50_plus_compact_scale_external_proxy,-0.0314988299761243,3557.119731989107,4003.3074009418488,0.07087041955753107,7560.356262511398,3465.0156367734353,3.3101340226977925e-05,0.0,0.05183515830803762,3557.119731989107,35.8958800373241,0.07087041955753107,0.0,4095.3405926366227,0.4583138081807493,0.9335742579324556,502.2022750323258,False,521127422.1109684,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2505.983703401202,958.3532790113372,0.6684471552627804,17.588679673855474,spherical_D50_plus_compact_scale_external_proxy,-0.031189202851292563,3509.924592970987,3966.136811414268,0.07812284832077734,7475.983281536934,3419.1976643867097,4.404400255330447e-05,0.0,0.05494235394717629,3509.924592970987,37.85801756321182,0.07812284832077734,0.0,4056.7855731062214,0.45735759159265854,0.931932713302545,508.86989736975465,False,519031736.17189175,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2667.4412034574166,958.8914706781912,0.6695427795903482,17.764566470594026,spherical_D50_plus_compact_scale_external_proxy,-0.030884165298475708,3463.489103527856,3929.4917667874834,0.08574089202317986,7392.895129423317,3374.1145471745804,5.767556266777343e-05,0.0,0.05800938256159684,3463.489103527856,39.78286446544779,0.08574089202317986,0.0,4018.7805245731734,0.4563996304264283,0.9302891766644759,515.364806305286,False,516940660.2447921,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2829.4402263886914,959.4314674212956,0.6706319467226158,17.942212135299968,spherical_D50_plus_compact_scale_external_proxy,-0.030583619954729357,3417.7972560607304,3893.361413530889,0.09373644084322591,7311.064933150777,3329.7508160626944,7.446418663887567e-05,0.0,0.06103679450394077,3417.7972560607304,41.671440426320856,0.09373644084322591,0.0,3981.3140426238956,0.4554399285155701,0.9286436958676184,521.690572901497,False,514854193.9661288,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,2991.9764970128963,959.9732549900428,0.6717147027396551,18.121634256652968,spherical_D50_plus_compact_scale_external_proxy,-0.03028747166653467,3372.8334205627616,3857.735132559086,0.10212160179610974,7230.466431520052,3286.091376474851,9.493183422295358e-05,0.0,0.06402513357293653,3372.8334205627616,43.5247711822115,0.10212160179610974,0.0,3944.3749601133663,0.4544784907764041,0.9269963249767754,527.8506216330243,False,512772336.102594,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,3155.0458013032576,960.5168193376776,0.6727910933863586,18.3028505992195,spherical_D50_plus_compact_scale_external_proxy,-0.029995627482032106,3328.582332488615,3822.6025397453923,0.11090870047578905,7151.073963533531,3243.121462447109,0.00011965794120114396,0.0,0.0669749382103522,3328.582332488615,45.34389043725802,0.11090870047578905,0.0,3907.952381428481,0.4535153179289086,0.9253471188263122,533.8482748639217,False,510695083.23165274,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,3318.6439890731112,961.0621466302438,0.673861164075348,18.485879105211698,spherical_D50_plus_compact_scale_external_proxy,-0.029707996554510174,3285.0290809060098,3787.9534751157044,0.12011028309886329,7072.862445738615,3200.8266774342837,0.00014928323396230726,0.0,0.06988674250777512,3285.0290809060098,47.129841822097376,0.12011028309886329,0.0,3872.0356190210973,0.4525504138209289,0.9236961409319443,539.6866992673831,False,508622431.503139,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,3482.766976790384,961.6092232559678,0.6749249598970326,18.67073789626381,spherical_D50_plus_compact_scale_external_proxy,-0.029424489967015077,3242.1590969185927,3753.777981893625,0.12973911887771766,6995.8073396933405,3159.1929371762426,0.0001845136740616483,0.0,0.07276107696939006,3242.1590969185927,48.88368089575895,0.12973911887771766,0.0,3836.614218003424,0.4515837798684146,0.922043459244672,545.3689399932264,False,506554374.8797659,290874452.88527596
final_heating_rate_panel_source.csv,0.2 C/min,3647.410750534102,962.1580358351137,0.6759825256152877,18.85744527522645,spherical_D50_plus_compact_scale_external_proxy,-0.029145020771364827,3199.9581423464697,3720.0663128363667,0.1398082027414025,6919.884646980095,3118.2064747533655,0.0002261245379600995,0.0,0.07559846971993883,3199.9581423464697,50.60647720177959,0.1398082027414025,0.0,3801.677946102191,0.45061541629002727,0.9203891469315321,550.8979198814795,False,504490905.5784088,290874452.88527596
