figure_id,pdf,png,source_table,pdf_nonempty,png_nonempty,placeholder,validation_claim
energy_ledger_schematic,figures/energy_ledger_schematic.pdf,figures/energy_ledger_schematic.png,energy_ledger_channel_registry.csv,True,True,False,False
closed_pore_law_comparison,figures/closed_pore_law_comparison.pdf,figures/closed_pore_law_comparison.png,analytical_closed_law_rate_scan.csv,True,True,False,False
reduced_property_window_overlay,figures/reduced_property_window_overlay.pdf,figures/reduced_property_window_overlay.png,analytical_closed_law_rate_scan.csv,True,True,False,False
boundary_preservation_fixed_state,figures/boundary_preservation_fixed_state.pdf,figures/boundary_preservation_fixed_state.png,boundary_preservation_test.csv,True,True,False,False
energy_ledger_histories,figures/energy_ledger_histories.pdf,figures/energy_ledger_histories.png,energy_ledger_diagnostic_histories.csv,True,True,False,False
