base_mechanism,TJ_constraint_mode,q_TJ,chen_boundary_status,complete_practical_chen,n_fast_attained,n_fast_beneficial,n_fast_harmful,n_fast_neutral,HR_pct_median,C_TJ_pore_median,C_TJ_constraint_median,P_TJ_multihit_median,P_TJ_pore_drag_median,joint_positive
mech_009,current_all_TJ_multihit,1,COMPLETE_WINDOW,False,62,28,12,22,2.1266606230826977,0.23339919555259397,0.23339919555259397,73.47024466170781,0.0,False
mech_009,pore_relaxed_TJ_multihit,1,COMPLETE_WINDOW,True,62,20,16,26,2.149008959923484,0.17513474119609374,0.07005389647843749,274.1513223655912,0.0,True
mech_009,pore_pinned_TJ_drag,1,COMPLETE_WINDOW,True,62,28,10,24,1.4261030232501992,0.2047746937533077,0.19880632656167307,82.16988493107894,123.63289702723975,True
mech_009,mixed_TJ_constraint,1,COMPLETE_WINDOW,True,62,31,12,19,1.5172105659639163,0.2399830828501841,0.28599746242752766,46.840054043574675,50.562123513409574,True
mech_019,current_all_TJ_multihit,1,COMPLETE_WINDOW,True,62,8,38,16,1.5574660538522187,0.14001923937070587,0.14001923937070587,32.23788949782811,0.0,True
mech_019,pore_relaxed_TJ_multihit,1,COMPLETE_WINDOW,True,62,2,42,18,1.1865737752418124,0.1766768426409539,0.07067073705638156,15.175508505064261,0.0,True
mech_019,pore_pinned_TJ_drag,1,COMPLETE_WINDOW,True,62,6,34,22,2.3553357274620206,0.16832244676527774,0.20791938830868056,3.4493689688548868,17.824492440355257,True
mech_019,mixed_TJ_constraint,1,COMPLETE_WINDOW,True,62,6,34,22,2.341216309756807,0.17364608479640975,0.27604691271946147,1.3004385171223354,7.038921779846155,True
mech_009_q0,current_all_TJ_multihit,0,COMPLETE_WINDOW,False,62,31,12,19,2.2226884919880976,0.25719317488138305,0.25719317488138305,44.99204570732503,0.0,False
mech_009_q0,pore_relaxed_TJ_multihit,0,COMPLETE_WINDOW,False,62,25,18,19,1.81636163834132,0.18918031202191876,0.0756721248087675,149.80653555068878,0.0,False
mech_009_q0,pore_pinned_TJ_drag,0,COMPLETE_WINDOW,True,62,26,14,22,1.6211740694788674,0.20385432779160595,0.19903641805209854,75.15808298710839,132.25671349735785,True
mech_009_q0,mixed_TJ_constraint,0,COMPLETE_WINDOW,False,62,34,12,16,1.6307999708772094,0.26816683551777737,0.29022502532766664,35.177717490289496,42.54343822610554,False
mech_019_q0,current_all_TJ_multihit,0,COMPLETE_WINDOW,True,62,8,38,16,1.69809888118443,0.141012406562112,0.141012406562112,28.96600017401245,0.0,True
mech_019_q0,pore_relaxed_TJ_multihit,0,COMPLETE_WINDOW,True,62,2,40,20,1.1865737752418117,0.17820919054021533,0.07128367621608614,11.53853215411825,0.0,True
mech_019_q0,pore_pinned_TJ_drag,0,COMPLETE_WINDOW,True,62,6,34,22,2.363478065143952,0.16862525500816428,0.20784368624795896,1.4717345945397193,17.828028390171895,True
mech_019_q0,mixed_TJ_constraint,0,COMPLETE_WINDOW,True,62,6,34,22,2.3378679293477655,0.17392597290350442,0.27608889593552566,0.4503141016711335,7.039023293816394,True
