base_mechanism,TJ_constraint_mode,q_TJ,chen_boundary_status,complete_practical_chen,n_fast_attained,n_fast_beneficial,n_fast_harmful,n_fast_neutral,HR_pct_median,C_TJ_pore_median,C_TJ_constraint_median,P_TJ_multihit_median,P_TJ_pore_drag_median,joint_positive
mech_009,current_all_TJ_multihit,1,COMPLETE_WINDOW,False,62,28,12,22,2.1266606230826977,0.23339919555259397,0.23339919555259397,73.47024466170781,0.0,False
mech_009,pore_relaxed_TJ,1,COMPLETE_WINDOW,True,62,33,8,21,1.5970440388675269,0.2504052333004526,0.28756078499506793,47.11185560047443,0.0,True
mech_009,pore_pinned_drag,1,COMPLETE_WINDOW,True,62,32,12,18,1.4759114229607013,0.22703463908548516,0.23864826804572575,60.06759658047132,61.10880240873719,True
mech_009,mixed_relaxed_pinned,1,COMPLETE_WINDOW,True,62,27,12,23,1.3346939779756193,0.21549879349158285,0.1961253016271043,84.41730842303545,54.33785989055376,True
mech_019,current_all_TJ_multihit,1,COMPLETE_WINDOW,True,62,8,38,16,1.5574660538522187,0.14001923937070587,0.14001923937070587,32.23788949782811,0.0,True
mech_019,pore_relaxed_TJ,1,COMPLETE_WINDOW,True,62,5,35,22,2.274073259760422,0.17796236366281803,0.2766943545494227,2.3965960131947277,0.0,True
mech_019,pore_pinned_drag,1,COMPLETE_WINDOW,True,62,6,34,22,2.409301262111417,0.17039613532296266,0.24148019323385184,2.1122382040945644,14.206481642923226,True
mech_019,mixed_relaxed_pinned,1,COMPLETE_WINDOW,True,62,6,35,21,2.13522532036165,0.17337239508131336,0.20665690122967167,6.075360632062656,7.038479545676746,True
mech_009_q0,current_all_TJ_multihit,0,COMPLETE_WINDOW,False,62,31,12,19,2.2226884919880976,0.25719317488138305,0.25719317488138305,44.99204570732503,0.0,False
mech_009_q0,pore_relaxed_TJ,0,COMPLETE_WINDOW,False,62,29,12,21,1.9517354570814147,0.2504052333004526,0.28756078499506793,44.571204985519365,0.0,False
mech_009_q0,pore_pinned_drag,0,COMPLETE_WINDOW,True,62,26,12,24,1.9605944494379663,0.21766731366082687,0.23911663431695868,56.59675673634489,103.44705389016104,True
mech_009_q0,mixed_relaxed_pinned,0,COMPLETE_WINDOW,True,62,25,12,25,1.7761596587556583,0.21890477948064258,0.19527380512983938,80.20282165559463,55.37948623451388,True
mech_019_q0,current_all_TJ_multihit,0,COMPLETE_WINDOW,True,62,8,38,16,1.69809888118443,0.141012406562112,0.141012406562112,28.96600017401245,0.0,True
mech_019_q0,pore_relaxed_TJ,0,COMPLETE_WINDOW,True,62,5,35,22,2.2355042166433168,0.1782107000961577,0.2767316050144237,0.6220989138381061,0.0,True
mech_019_q0,pore_pinned_drag,0,COMPLETE_WINDOW,True,62,6,34,22,2.4058813894794193,0.17065137557490773,0.24146743122125458,0.8107549789831345,14.207229320882194,True
mech_019_q0,mixed_relaxed_pinned,0,COMPLETE_WINDOW,True,62,6,35,21,2.137429806941492,0.17359586611503974,0.20660103347124006,1.9294034550292833,7.040215520769905,True
