candidate_id,base_mechanism,variant,G0_nm,rho0,initial_topology,heating_rate_C_min,reference_rate_C_min,peak_T_C,hold_time_h,rho_target,comparison_attained,response_class,HR_pct,G_at_target_nm,G_reference_nm,time_to_target_h,connected_fine_pore_fraction,pore_mean_radius_nm,large_pore_fraction,cumulative_PR_desintering_work,reference_PR_work,PR_exposure_difference,connected_fine_difference,mean_radius_difference_nm
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1400.0,20.0,0.85,True,beneficial,1.9974646053818357,142.4269808549706,145.3298940496513,12.709211724181312,0.1113305765170528,54.74848582113087,0.0242541958434215,854412.835735319,2657167.650319314,1802754.8145839951,0.0069173762497641,-0.6893081371039571
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1400.0,20.0,0.85,True,beneficial,2.21173084893172,142.11558795023538,145.3298940496513,8.978681734876119,0.1121259494707712,54.7157547576523,0.0242016673776275,299700.1537981653,2657167.650319314,2357467.496521149,0.0077127492034825,-0.7220392005825289
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1400.0,20.0,0.85,True,beneficial,2.636685044564142,141.49800246796323,145.3298940496513,8.162613953294166,0.1126866965362461,54.65271569089616,0.0241021365175175,171283.85760495695,2657167.650319314,2485883.7927143574,0.0082734962689574,-0.7850782673386689
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1400.0,20.0,0.85,True,beneficial,2.804958290975972,141.253451137239,145.3298940496513,7.88556310712175,0.1129027648578955,54.62787935210019,0.0240629822797949,126856.7236574228,2657167.650319314,2530310.9266618914,0.0084895645906068,-0.8099146061346403
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1400.0,20.0,0.88,True,beneficial,1.6801330685159876,174.46765095085976,177.44903079704198,17.707672753012417,0.0810695762922948,59.69524482326956,0.0323487294225929,855043.5271037166,2657711.090490808,1802667.5633870913,0.0065871389052778,-0.9051098974131122
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1400.0,20.0,0.88,True,beneficial,1.7420404593337773,174.35779688586186,177.44903079704198,13.914699690522896,0.0813963081742086,59.66929612114958,0.0322385354639647,300371.061309215,2657711.090490808,2357340.0291815926,0.0069138707871917,-0.9310585995330952
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1400.0,20.0,0.88,True,beneficial,2.19575809736673,173.55267933461715,177.44903079704198,13.043260843667886,0.0819503138066474,59.57539068756308,0.0320535787192338,171972.2076025428,2657711.090490808,2485738.882888265,0.0074678764196304,-1.0249640331195948
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1400.0,20.0,0.88,True,beneficial,2.377009780614067,173.23104997939143,177.44903079704198,12.744886484055897,0.082167948794557,59.53823408257016,0.0319811594907626,127551.770617253,2657711.090490808,2530159.3198735546,0.00768551140754,-1.0621206381125177
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1450.0,8.0,0.88,True,beneficial,2.5309756834132324,237.5290278391679,243.69693808327827,11.297160785459711,0.0795395507388703,59.682896065144035,0.0320851639878587,821528.4077684633,2648248.4780291687,1826720.0702607057,0.0070341408196894,-0.972525997525672
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1450.0,8.0,0.88,True,beneficial,2.248940446283114,238.2163390763699,243.69693808327827,7.575786058279345,0.080258962353818,59.59650589378455,0.0318561901060589,245705.314237472,2648248.4780291687,2402543.1637916965,0.0077535524346371,-1.0589161688851547
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1450.0,8.0,0.88,True,beneficial,1.8350786804353152,239.2249075276384,243.69693808327827,6.846803444537199,0.0800847199295731,59.63339964813345,0.0318936638014185,110189.81722533188,2648248.4780291687,2538058.660803837,0.0075793100103921,-1.0220224145362593
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1450.0,8.0,0.88,True,beneficial,1.5992207735032904,239.79968602505903,243.69693808327827,6.614473961452517,0.0798995531415743,59.668120175193614,0.0319440574902227,63026.06457595078,2648248.4780291687,2585222.413453218,0.0073941432223934,-0.987301887476093
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1450.0,20.0,0.88,True,beneficial,2.5309756834132324,237.5290278391679,243.69693808327827,11.297160785459711,0.0795395507388703,59.682896065144035,0.0320851639878587,821528.4077684633,2648248.4780291687,1826720.0702607057,0.0070341408196894,-0.972525997525672
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1450.0,20.0,0.88,True,beneficial,2.248940446283114,238.2163390763699,243.69693808327827,7.575786058279345,0.080258962353818,59.59650589378455,0.0318561901060589,245705.314237472,2648248.4780291687,2402543.1637916965,0.0077535524346371,-1.0589161688851547
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1450.0,20.0,0.88,True,beneficial,1.8350786804353152,239.2249075276384,243.69693808327827,6.846803444537199,0.0800847199295731,59.63339964813345,0.0318936638014185,110189.81722533188,2648248.4780291687,2538058.660803837,0.0075793100103921,-1.0220224145362593
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1450.0,20.0,0.88,True,beneficial,1.5992207735032904,239.79968602505903,243.69693808327827,6.614473961452517,0.0798995531415743,59.668120175193614,0.0319440574902227,63026.06457595078,2648248.4780291687,2585222.413453218,0.0073941432223934,-0.987301887476093
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1450.0,20.0,0.9,True,beneficial,2.572331017887537,307.3183153717215,315.4322776912014,14.163568702218315,0.0547500069810246,64.65071730527009,0.0414684978108278,821555.0650780436,2648270.830376268,1826715.7652982243,0.0067900395749589,-1.3275152218717494
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1450.0,20.0,0.9,True,beneficial,2.305930803585146,308.15862763546977,315.4322776912014,10.41253068693578,0.0552003657180463,64.56138337411497,0.0411574385995676,245732.80036959544,2648270.830376268,2402538.0300066723,0.0072403983119806,-1.416849153026874
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1450.0,20.0,0.9,True,beneficial,1.9545545369396415,309.266981796616,315.4322776912014,9.746766285935696,0.0545535258567426,64.70619335180868,0.0414143671949902,110217.5956167142,2648270.830376268,2538053.234759554,0.006593558450677,-1.2720391753331626
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1450.0,20.0,0.9,True,beneficial,2.637214074112639,307.113653269635,315.4322776912014,9.335093358576676,0.0557054163097209,64.44371243812223,0.0408665398207981,63052.664460382926,2648270.830376268,2585218.165915885,0.0077454489036552,-1.5345200890196082
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1450.0,20.0,0.92,True,beneficial,2.6461542402496865,377.41030064362377,387.66861000539865,19.87067542557136,0.0273879695464347,72.87271565990828,0.061202575085644,821576.0238404984,2648290.1281935778,1826714.104353079,0.0049620123780395,-2.008970205149595
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,20.0,1.0,1450.0,20.0,0.92,True,beneficial,2.9076815691788327,376.3964412827799,387.66861000539865,15.832771097721947,0.0283918282349687,72.45631258090374,0.059867625991675,245753.18279899843,2648290.1281935778,2402536.9453945793,0.0059658710665736,-2.4253732841541336
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1450.0,20.0,0.92,True,beneficial,3.2911948967675624,374.9096804965312,387.66861000539865,14.942917145791222,0.0288131514462439,72.2817132472373,0.0593439758997045,110237.26332303158,2648290.1281935778,2538052.8648705464,0.0063871942778487,-2.599972617820569
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,100.0,1.0,1450.0,20.0,0.92,True,beneficial,3.103504775767016,375.6372961797315,387.66861000539865,14.721739779087748,0.0287009592696199,72.32293321903876,0.0594381917326008,63073.267949362256,2648290.1281935778,2585216.8602442155,0.0062750021012248,-2.5587526460191157
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1500.0,8.0,0.88,True,beneficial,1.3133664682454391,297.5801509978879,301.5404825843361,8.436532079253373,0.0776826019750482,59.8353939403236,0.0321884702690032,818367.781943092,2647690.742619174,1829322.960676082,0.0060753406490208,-0.8073614696340456
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,50.0,1.0,1500.0,8.0,0.88,True,beneficial,1.105996290372853,298.2054560329809,301.5404825843361,3.963963228547122,0.0792491338172812,59.610909961472714,0.0316863916584892,100814.26385780852,2647690.742619174,2546876.4787613656,0.0076418724912538,-1.0318454484849298
mech_009_PR_attrition_moderate,mech_009,PR_attrition_moderate,50.0,0.65,baseline,5.0,1.0,1500.0,8.0,0.9,True,beneficial,5.16408491280508,401.0930837471054,422.9337412712565,9.990388326932395,0.0535587656619041,64.7019410472524,0.0413482641843923,818372.5328262552,2647694.738193748,1829322.205367493,0.0067266368368414,-1.3187342226392929
