base_mechanism,sensitivity_id,parameter_group,parameter_value,fast_both_attained,HR_pct,beneficial_fast,chen_boundary_status,complete_practical_chen,joint_positive
mech_009,k_PR_ref_s_0.0001,k_PR_ref_s,0.0001,True,-0.9594725465472774,False,COMPLETE_WINDOW,True,False
mech_009,k_PR_ref_s_0.0002,k_PR_ref_s,0.0002,True,3.0584174236927395,True,COMPLETE_WINDOW,True,True
mech_009,k_PR_ref_s_0.0004,k_PR_ref_s,0.0004,False,nan,False,COMPLETE_WINDOW,True,False
mech_009,Q_PR_J_mol_150000,Q_PR_J_mol,150000.0,True,2.1365377075190484,True,COMPLETE_WINDOW,True,True
mech_009,Q_PR_J_mol_180000,Q_PR_J_mol,180000.0,True,3.0584174236927395,True,COMPLETE_WINDOW,True,True
mech_009,Q_PR_J_mol_220000,Q_PR_J_mol,220000.0,False,nan,False,COMPLETE_WINDOW,True,False
mech_009,renewal_gate_mid_0.25,renewal_gate_mid,0.25,True,1.4771325200497865,True,COMPLETE_WINDOW,True,True
mech_009,renewal_gate_mid_0.35,renewal_gate_mid,0.35,True,3.0584174236927395,True,COMPLETE_WINDOW,True,True
mech_009,renewal_gate_mid_0.45,renewal_gate_mid,0.45,False,nan,False,COMPLETE_WINDOW,True,False
mech_009,renewal_power_1,renewal_power,1.0,False,nan,False,COMPLETE_WINDOW,True,False
mech_009,renewal_power_2,renewal_power,2.0,True,3.0584174236927395,True,COMPLETE_WINDOW,True,True
mech_009,renewal_power_3,renewal_power,3.0,True,1.2540043438611388,True,COMPLETE_WINDOW,True,True
mech_009,partition_baseline,partition,baseline,True,3.0584174236927395,True,COMPLETE_WINDOW,True,True
mech_009,partition_more_smoothing,partition,more_smoothing,True,0.8938406694944883,False,COMPLETE_WINDOW,True,False
mech_009,partition_more_GB_to_TJ,partition,more_GB_to_TJ,True,-1.0386397267722112,False,COMPLETE_WINDOW,True,False
mech_009,partition_more_isolation,partition,more_isolation,False,nan,False,COMPLETE_WINDOW,True,False
mech_019,k_PR_ref_s_0.0001,k_PR_ref_s,0.0001,True,0.017160507292427674,False,COMPLETE_WINDOW,True,False
mech_019,k_PR_ref_s_0.0002,k_PR_ref_s,0.0002,True,3.0536491808141943,True,COMPLETE_WINDOW,True,True
mech_019,k_PR_ref_s_0.0004,k_PR_ref_s,0.0004,True,10.169022722444177,True,NO_OVERLAP,False,False
mech_019,Q_PR_J_mol_150000,Q_PR_J_mol,150000.0,True,2.141088645363905,True,COMPLETE_WINDOW,True,True
mech_019,Q_PR_J_mol_180000,Q_PR_J_mol,180000.0,True,3.0536491808141943,True,COMPLETE_WINDOW,True,True
mech_019,Q_PR_J_mol_220000,Q_PR_J_mol,220000.0,True,5.328964054663776,True,NO_OVERLAP,False,False
mech_019,renewal_gate_mid_0.25,renewal_gate_mid,0.25,True,1.0183306067724465,True,COMPLETE_WINDOW,True,True
mech_019,renewal_gate_mid_0.35,renewal_gate_mid,0.35,True,3.0536491808141943,True,COMPLETE_WINDOW,True,True
mech_019,renewal_gate_mid_0.45,renewal_gate_mid,0.45,True,6.109120487403712,True,NO_OVERLAP,False,False
mech_019,renewal_power_1,renewal_power,1.0,True,6.414962061561913,True,NO_OVERLAP,False,False
mech_019,renewal_power_2,renewal_power,2.0,True,3.0536491808141943,True,COMPLETE_WINDOW,True,True
mech_019,renewal_power_3,renewal_power,3.0,True,1.9693043820848546,True,COMPLETE_WINDOW,True,True
mech_019,partition_baseline,partition,baseline,True,3.0536491808141943,True,COMPLETE_WINDOW,True,True
mech_019,partition_more_smoothing,partition,more_smoothing,True,1.1410368504998882,True,COMPLETE_WINDOW,True,True
mech_019,partition_more_GB_to_TJ,partition,more_GB_to_TJ,True,-0.8922935802766004,False,COMPLETE_WINDOW,True,False
mech_019,partition_more_isolation,partition,more_isolation,True,17.008820332997225,True,NO_OVERLAP,False,False
mech_009_q0,k_PR_ref_s_0.0001,k_PR_ref_s,0.0001,True,-3.0050562835185066,False,COMPLETE_WINDOW,True,False
mech_009_q0,k_PR_ref_s_0.0002,k_PR_ref_s,0.0002,True,3.3530404791222614,True,COMPLETE_WINDOW,True,True
mech_009_q0,k_PR_ref_s_0.0004,k_PR_ref_s,0.0004,False,nan,False,COMPLETE_WINDOW,True,False
mech_009_q0,Q_PR_J_mol_150000,Q_PR_J_mol,150000.0,True,0.9242703036415889,False,COMPLETE_WINDOW,True,False
mech_009_q0,Q_PR_J_mol_180000,Q_PR_J_mol,180000.0,True,3.3530404791222614,True,COMPLETE_WINDOW,True,True
mech_009_q0,Q_PR_J_mol_220000,Q_PR_J_mol,220000.0,False,nan,False,COMPLETE_WINDOW,True,False
mech_009_q0,renewal_gate_mid_0.25,renewal_gate_mid,0.25,True,0.006322884228546734,False,COMPLETE_WINDOW,True,False
mech_009_q0,renewal_gate_mid_0.35,renewal_gate_mid,0.35,True,3.3530404791222614,True,COMPLETE_WINDOW,True,True
mech_009_q0,renewal_gate_mid_0.45,renewal_gate_mid,0.45,False,nan,False,COMPLETE_WINDOW,True,False
mech_009_q0,renewal_power_1,renewal_power,1.0,False,nan,False,NO_OVERLAP,False,False
mech_009_q0,renewal_power_2,renewal_power,2.0,True,3.3530404791222614,True,COMPLETE_WINDOW,True,True
mech_009_q0,renewal_power_3,renewal_power,3.0,True,0.8731966808079352,False,COMPLETE_WINDOW,True,False
mech_009_q0,partition_baseline,partition,baseline,True,3.3530404791222614,True,COMPLETE_WINDOW,True,True
mech_009_q0,partition_more_smoothing,partition,more_smoothing,True,0.8914728802578831,False,COMPLETE_WINDOW,True,False
mech_009_q0,partition_more_GB_to_TJ,partition,more_GB_to_TJ,True,-6.759741036103056,False,COMPLETE_WINDOW,True,False
mech_009_q0,partition_more_isolation,partition,more_isolation,False,nan,False,COMPLETE_WINDOW,True,False
mech_019_q0,k_PR_ref_s_0.0001,k_PR_ref_s,0.0001,True,-1.7004346745310193,False,COMPLETE_WINDOW,True,False
mech_019_q0,k_PR_ref_s_0.0002,k_PR_ref_s,0.0002,True,3.042665196562478,True,COMPLETE_WINDOW,True,True
mech_019_q0,k_PR_ref_s_0.0004,k_PR_ref_s,0.0004,False,nan,False,NO_OVERLAP,False,False
mech_019_q0,Q_PR_J_mol_150000,Q_PR_J_mol,150000.0,True,1.9138017698769056,True,COMPLETE_WINDOW,True,True
mech_019_q0,Q_PR_J_mol_180000,Q_PR_J_mol,180000.0,True,3.042665196562478,True,COMPLETE_WINDOW,True,True
mech_019_q0,Q_PR_J_mol_220000,Q_PR_J_mol,220000.0,False,nan,False,NO_OVERLAP,False,False
mech_019_q0,renewal_gate_mid_0.25,renewal_gate_mid,0.25,True,-0.3557022197476874,False,COMPLETE_WINDOW,True,False
mech_019_q0,renewal_gate_mid_0.35,renewal_gate_mid,0.35,True,3.042665196562478,True,COMPLETE_WINDOW,True,True
mech_019_q0,renewal_gate_mid_0.45,renewal_gate_mid,0.45,False,nan,False,NO_OVERLAP,False,False
mech_019_q0,renewal_power_1,renewal_power,1.0,False,nan,False,NO_OVERLAP,False,False
mech_019_q0,renewal_power_2,renewal_power,2.0,True,3.042665196562478,True,COMPLETE_WINDOW,True,True
mech_019_q0,renewal_power_3,renewal_power,3.0,True,0.3348616498616259,False,COMPLETE_WINDOW,True,False
mech_019_q0,partition_baseline,partition,baseline,True,3.042665196562478,True,COMPLETE_WINDOW,True,True
mech_019_q0,partition_more_smoothing,partition,more_smoothing,True,-0.3879023095060385,False,COMPLETE_WINDOW,True,False
mech_019_q0,partition_more_GB_to_TJ,partition,more_GB_to_TJ,True,-2.6955140038194894,False,COMPLETE_WINDOW,True,False
mech_019_q0,partition_more_isolation,partition,more_isolation,False,nan,False,NO_OVERLAP,False,False
