candidate_id,map_type,prep_growth_tolerance,second_step_growth_tolerance,boundary_status,G0_nm,n_cases
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,125.0,28
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,150.0,96
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,175.0,109
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,200.0,102
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,225.0,103
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,250.0,97
mech_009,kinetic,0.05,0.05,COMPLETE_WINDOW,300.0,64
mech_009,kinetic,0.05,0.05,NO_OVERLAP,75.0,35
mech_009,kinetic,0.05,0.05,NO_OVERLAP,100.0,60
mech_009,kinetic,0.05,0.05,NO_OVERLAP,125.0,64
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,125.0,57
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,150.0,96
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,175.0,109
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,200.0,102
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,225.0,103
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,250.0,97
mech_009,kinetic,0.05,0.1,COMPLETE_WINDOW,300.0,64
mech_009,kinetic,0.05,0.1,NO_OVERLAP,75.0,35
mech_009,kinetic,0.05,0.1,NO_OVERLAP,100.0,60
mech_009,kinetic,0.05,0.1,NO_OVERLAP,125.0,35
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,125.0,28
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,150.0,52
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,175.0,61
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,200.0,55
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,225.0,51
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,250.0,46
mech_009,kinetic,0.1,0.05,COMPLETE_WINDOW,300.0,31
mech_009,kinetic,0.1,0.05,NO_OVERLAP,75.0,35
mech_009,kinetic,0.1,0.05,NO_OVERLAP,100.0,60
mech_009,kinetic,0.1,0.05,NO_OVERLAP,125.0,64
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,125.0,57
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,150.0,52
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,175.0,61
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,200.0,55
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,225.0,51
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,250.0,46
mech_009,kinetic,0.1,0.1,COMPLETE_WINDOW,300.0,31
mech_009,kinetic,0.1,0.1,NO_OVERLAP,75.0,35
mech_009,kinetic,0.1,0.1,NO_OVERLAP,100.0,60
mech_009,kinetic,0.1,0.1,NO_OVERLAP,125.0,35
mech_009,kinetic,0.2,0.05,NO_OVERLAP,75.0,35
mech_009,kinetic,0.2,0.05,NO_OVERLAP,100.0,60
mech_009,kinetic,0.2,0.05,NO_OVERLAP,125.0,64
mech_009,kinetic,0.2,0.1,NO_OVERLAP,75.0,35
mech_009,kinetic,0.2,0.1,NO_OVERLAP,100.0,60
mech_009,kinetic,0.2,0.1,NO_OVERLAP,125.0,35
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,125.0,28
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,150.0,96
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,175.0,109
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,200.0,102
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,225.0,103
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,250.0,97
mech_009,practical,0.05,0.05,COMPLETE_WINDOW,300.0,64
mech_009,practical,0.05,0.05,NO_OVERLAP,75.0,35
mech_009,practical,0.05,0.05,NO_OVERLAP,100.0,60
mech_009,practical,0.05,0.05,NO_OVERLAP,125.0,64
mech_009,practical,0.05,0.05,UPPER_BOUND_RIGHT_CENSORED,250.0,5
mech_009,practical,0.05,0.05,UPPER_BOUND_RIGHT_CENSORED,300.0,84
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,125.0,57
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,150.0,91
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,175.0,108
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,200.0,102
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,225.0,103
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,250.0,97
mech_009,practical,0.05,0.1,COMPLETE_WINDOW,300.0,64
mech_009,practical,0.05,0.1,NO_OVERLAP,75.0,35
mech_009,practical,0.05,0.1,NO_OVERLAP,100.0,60
mech_009,practical,0.05,0.1,NO_OVERLAP,125.0,35
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,150.0,20
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,175.0,35
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,200.0,35
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,225.0,35
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,250.0,35
mech_009,practical,0.05,0.1,UPPER_BOUND_RIGHT_CENSORED,300.0,105
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,125.0,28
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,150.0,52
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,175.0,61
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,200.0,55
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,225.0,51
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,250.0,46
mech_009,practical,0.1,0.05,COMPLETE_WINDOW,300.0,31
mech_009,practical,0.1,0.05,NO_OVERLAP,75.0,35
mech_009,practical,0.1,0.05,NO_OVERLAP,100.0,60
mech_009,practical,0.1,0.05,NO_OVERLAP,125.0,64
